sample_id,field,auto_label,manual_label,final_label,reason
S001,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S001,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S001,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S001,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S001,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S002,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S002,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S002,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S002,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S002,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S003,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S003,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S003,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S003,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S003,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S004,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S004,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S004,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S004,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S004,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S005,eta_over_s,suspect,,suspect,S1jump_above_smooth
S005,sigma_over_T,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S005,tau_s,suspect,,suspect,S1jump_above_smooth
S005,tau_u,suspect,,suspect,S1jump_above_smooth
S005,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S006,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S006,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S006,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S006,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S006,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S007,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S007,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S007,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S007,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S007,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S008,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S008,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S008,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S008,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S008,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S009,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S009,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S009,tau_s,suspect,,suspect,S2_above_smooth;S1jump_above_smooth
S009,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S009,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S010,eta_over_s,suspect,,suspect,S1jump_above_smooth
S010,sigma_over_T,suspect,,suspect,S1jump_above_smooth
S010,tau_s,suspect,,suspect,S1jump_above_smooth
S010,tau_u,suspect,,suspect,S1jump_above_smooth
S010,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S011,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S011,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S011,tau_s,not_smooth,,not_smooth,S2_above_suspect;S1jump_above_suspect
S011,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S011,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S012,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S012,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S012,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S012,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S012,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S013,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S013,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S013,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S013,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S013,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S014,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S014,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S014,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S014,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S014,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S015,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S015,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S015,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S015,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S015,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S016,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S016,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S016,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S016,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S016,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S017,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S017,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S017,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S017,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S017,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S018,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S018,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S018,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S018,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S018,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S019,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S019,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S019,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S019,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S019,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S020,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S020,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S020,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S020,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S020,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S021,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S021,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S021,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S021,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S021,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S022,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S022,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S022,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S022,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S022,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S023,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S023,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
S023,tau_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S023,tau_u,smooth,,smooth,all_metrics_within_smooth_thresholds
S023,zeta_over_s,not_smooth,,not_smooth,exceeds_dual_threshold_policy
S024,eta_over_s,smooth,,smooth,all_metrics_within_smooth_thresholds
S024,sigma_over_T,smooth,,smooth,all_metrics_within_smooth_thresholds
