# production_case: first_canonical_v1_p128_validated_anchored_prod_v1
# source_candidate_case: first_canonical_v1_match_validated_anchored_plus5_candidate_p128_a20_phi36_ns24_g560
# source_sharded_action_runs: see ../../first_canonical_v1_p128_validated_anchored_prod_v1_convergence/download_manifest.csv
# git_commit: c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f
# script: scripts/relaxtime/run_phase_guided_transport_scan.jl
# title: phase_guided_transport_scan
T_MeV,muq_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s,quality_flag,quality_reason,quality_metric,run_id
120.0,0.0,0.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.3938109973402607e-10,models,phase_aware_default_hadron,unknown,hadron,first_order_possible,-0.5,0.01716628543660906,0.017166285436260895,1.8600541012263234,1.8600541012263234,2.7828116637075984,1.3657243015894697e-14,8.535776884934185e-14,-21.609279277822512,21.609279277822512,-21.593550946670135,0.025863534108581415,-4264.093828513009,4264.093828513009,-4260.990204419979,-631.8909529668675,0.0009217873255020327,0.0009217873255020327,0.0003050411773926536,0.0009217873254845994,0.0009217873254845994,0.0003050411773865485,1004.5073411217373,1004.5073411217373,1220.8671842020162,1004.5073411148401,1004.5073411148401,1220.867184198705,0.0009955128838414421,0.0009955128838414421,0.0008190899165281606,0.0009955128838482776,0.0009955128838482776,0.0008190899165303821,4.067822352010995,0.03870736983107132,3.621055019653835,157.2802206741463,140.0061957678237,0.06365007006659468,0.00040469214624555436,0.8901703924862173,false,ok,1.0000000000068663,20260610T012018_d0fac199
120.0,0.0,0.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,2.582807762372051e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.01632143418797703,0.01632143418797703,1.8603406213316798,1.8603406213316798,2.782979002932707,0.0,0.0,-21.60916342440643,21.60916342440643,-21.5948980727984,0.023457822976302046,-4264.070967508244,4264.070967508244,-4261.256028751088,-631.8982615353294,0.0008362118058414492,0.0008362118058414492,0.0002765510718813332,0.0008362118058414492,0.0008362118058414492,0.0002765510718813332,1101.868783529421,1101.868783529421,1331.113198830687,1101.8687835295236,1101.8687835295236,1331.113198830687,0.0009075490792986049,0.0009075490792986049,0.0007512509085466566,0.0009075490792985204,0.0009075490792985204,0.0007512509085466566,3.6746014854959586,0.03679431471213078,3.132664060444562,156.6471658179097,133.5445349557499,0.06050425848360052,0.00038624547190296485,0.8525180411561686,false,ok,1.000000000000093,20260610T012018_d0fac199
120.0,0.0,0.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,5.404460191854795e-11,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.0155880464679443,0.0155880464679443,1.8605785148131726,1.8605785148131726,2.783117951011031,0.0,0.0,-21.609067041605925,21.609067041605925,-21.596017302871086,0.021458879496286595,-4264.051948581258,4264.051948581258,-4261.476883041703,-631.9043308788756,0.0007651420162942488,0.0007651420162942488,0.0002528859063896178,0.0007651420162942488,0.0007651420162942488,0.0002528859063896178,1200.1407144385278,1200.1407144385278,1441.8671511018072,1200.1407144386478,1200.1407144386478,1441.8671511018072,0.0008332356264305546,0.0008332356264305546,0.0006935451710900321,0.0008332356264304712,0.0008332356264304712,0.0006935451710900321,3.36391169675909,0.03522478590911036,2.754770684192284,156.76082701993857,128.37439553491086,0.057923338655676795,0.0003695013592159058,0.8189188458324654,false,ok,1.0000000000001001,20260610T012018_d0fac199
120.0,0.0,0.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,3.2549507036411896e-11,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.014943825540546976,0.014943825540546976,1.8607791487534064,1.8607791487534064,2.7832351401570374,0.0,0.0,-21.608985622817304,21.608985622817304,-21.596961572818994,0.019772245652876805,-4264.035882457551,4264.035882457551,-4261.663212979207,-631.9094491980289,0.0007051941135640418,0.0007051941135640418,0.000232923380685521,0.0007051941135640418,0.0007051941135640418,0.000232923380685521,1299.2546312321151,1299.2546312321151,1552.9480041456775,1299.254631232112,1299.254631232112,1552.9480041456775,0.0007696720688628028,0.0007696720688628028,0.0006439365628021329,0.0007696720688628047,0.0007696720688628047,0.0006439365628021329,3.113949144707737,0.03391698081393845,2.4569062498914795,157.4909193106584,124.26035428777948,0.055772795069160074,0.0003541334021877513,0.7890001203350014,false,ok,1.0000000000000024,20260610T012018_d0fac199
120.0,0.0,0.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,7.432061630533604e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.014372207819693063,0.014372207819693063,1.8609506171082533,1.8609506166006065,2.7833352942030953,0.0,0.0,-21.60891594645251,21.60891594645251,-21.59776870342519,0.018330431719715174,-4264.022133430882,4264.022133430882,-4261.822481624516,-631.9138223623531,0.0006539562855840164,0.0006539562859763938,0.00021586223446035086,0.0006539562855840164,0.0006539562859763938,0.00021586223446035086,1399.1731829250884,1399.1731829250884,1664.4125075008576,1399.1731829251396,1399.1731829251396,1664.4125075008576,0.0007147078090143326,0.0007147078090143326,0.000600812596332574,0.0007147078090143065,0.0007147078090143065,0.000600812596332574,2.9097523674429673,0.03281340061191012,2.2183610250528254,158.7388890744675,121.02066437785433,0.0539580771616978,0.0003399171902758184,0.7623882533352063,false,ok,1.0000000000000366,20260610T012018_d0fac199
120.0,0.0,0.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,7.244217637550329e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.013860610613116022,0.013860610613116022,1.861098831102487,1.861098831604809,2.7834218649541844,0.0,0.0,-21.608855650392574,21.608855650392574,-21.598466404960046,0.01708398691529358,-4264.010235391444,4264.010235391444,-4261.96015696161,-631.917601168596,0.0006096645415347942,0.0006096645411721324,0.0002011157213769521,0.0006096645415347942,0.0006096645411721324,0.0002011157213769521,1499.8446887634557,1499.8446887634557,1776.2334709929853,1499.844688763542,1499.844688763542,1776.2334709929853,0.0006667357010307836,0.0006667357010307836,0.000562989053145677,0.0006667357010307452,0.0006667357010307452,0.000562989053145677,2.7406481601082806,0.03187150143102916,2.0245921063741545,160.4220474820695,118.50817472599094,0.05240922615166053,0.00032669590604445035,0.7387274790844238,false,ok,1.0000000000000575,20260610T012018_d0fac199
120.0,0.0,0.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,7.104756439863125e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.2,0.01339928827728961,0.01339928827728961,1.861228213631242,1.861228214129289,2.783497434375645,0.0,0.0,-21.608802964339304,21.608802964339304,-21.599075427470236,0.015995878975859072,-4263.999839011643,4263.999839011643,-4262.080333534541,-631.9208985038638,0.0005709996344147998,0.000570999634077404,0.00018824464930398114,0.0005709996344147998,0.000570999634077404,0.00018824464930398114,1601.2553381716125,1601.2553381716125,1888.8039066686345,1601.2553381717155,1601.2553381717155,1888.8039066686345,0.0006245100179599378,0.0006245100179599378,0.0005294355843237022,0.0006245100179598977,0.0006245100179598977,0.0005294355843237022,2.5990483170620395,0.031060573672404262,1.8652968509902017,162.48236942680765,116.61108800618594,0.0510757434355606,0.0003143463725679379,0.717684561208439,false,ok,1.0000000000000644,20260610T012018_d0fac199
120.0,0.0,0.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.2743097008455608e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012980564064741351,0.012980564064741351,1.8613421327159836,1.8613421327159843,2.783563969823321,0.0,0.0,-21.608756535963195,21.608756535963195,-21.59961160734515,0.015037842918104418,-4263.990677440382,4263.990677440382,-4262.186136290209,-631.9238004961043,0.0005369556408054135,0.0005369556408054132,0.00017691392758642488,0.0005369556408054135,0.0005369556408054132,0.00017691392758642488,1703.364064485005,1703.364064485005,2001.9844243794403,1703.3640644852264,1703.3640644852264,2001.9844243794403,0.000587073556880713,0.000587073556880713,0.0004995043856597297,0.0005870735568806367,0.0005870735568806367,0.0004995043856597297,2.4791796591820954,0.030356216274488628,1.7328486265976022,164.86271818927912,115.23252610328736,0.04991750411511815,0.00030278224612193883,0.6989604888777142,false,ok,1.0000000000001301,20260610T012018_d0fac199
120.0,0.0,0.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,5.894801515767082e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012598300171881313,0.012598300171881313,1.8614432027539078,1.8614432023191902,2.783622998171336,0.0,0.0,-21.60871531474745,21.60871531474745,-21.600087235108223,0.014187940848829333,-4263.98254338235,4263.98254338235,-4262.279990480491,-631.9263739671361,0.0005067523853525169,0.0005067523856147973,0.0001668635525400945,0.0005067523853525169,0.0005067523856147973,0.0001668635525400945,1806.0843104551766,1806.0843104551766,2115.4374319731874,1806.0843104554706,1806.0843104554706,2115.4374319731874,0.0005536840081114353,0.0005536840081114353,0.00047271547004216704,0.0005536840081113452,0.0005536840081113452,0.00047271547004216704,2.376620769692339,0.02973868938179328,1.6215385986108364,167.5099152875618,114.28991816981193,0.04890204813969009,0.00029193524488231435,0.6822874811536506,false,ok,1.0000000000001628,20260610T012018_d0fac199
120.0,0.0,0.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,6.843479300573251e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012247524416827624,0.012247524416827624,1.8615334769487881,1.8615334774380357,2.7836757196080004,0.0,0.0,-21.60867847242698,21.60867847242698,-21.6005119917279,0.013428891473707683,-4263.975273398501,4263.975273398501,-4262.363806421656,-631.9286715335257,0.00047977563184603523,0.00047977563156609884,0.00015788875848667285,0.00047977563184603523,0.00047977563156609884,0.00015788875848667285,1909.4143760415236,1909.4143760415236,2229.434304365667,1909.414376041809,1909.414376041809,2229.434304365667,0.0005237207871416242,0.0005237207871416242,0.00044854427782052385,0.0005237207871415459,0.0005237207871415459,0.00044854427782052385,2.2882002995826953,0.02919424770406547,1.5271981929251954,170.3938336282443,113.72481458467993,0.04800677287077393,0.000281740083244517,0.6674232990895571,false,ok,1.0000000000001494,20260610T012018_d0fac199
