# tr_p_max_fm: 8.0
# sigma_grid_n: 128
# provenance.equilibrium_backend: models.solve_constraint(FixedMu) with phase-aware xi/T continuity and legacy fallback
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# tau_p_nodes: 28
# tau_interpolation_mode: linear
# gc_every_n: 5
# tau_threshold_subtraction: true
# tau_asym_extra_points: 10
# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tau_asym_window: 0.6
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# git_commit: f196bce86483267108100538d0befbf4ca99803a
# tau_n_sigma_points: 6
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# provenance.integration_mode: finite_15
# tau_asym_fit_min_points: 8
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# tau_angle_nodes: 8
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
190.0,0.0,0.0,-0.6,0.9628688363590852,0.0,true,0,9.369835463663964e-11,models,phase_aware_default_hadron,unknown,hadron,crossover_possible,0.0,0.6227735650774086,0.6227735650774086,0.15672895600060724,0.15672895600060724,1.9905090529398584,0.0,0.0,-22.94285017494047,22.94285017494047,-9.090926326112982,14.386096346420391,-4527.243346790615,4527.243346790615,-1793.8850409707402,-90.6520239341889,0.5242499540908013,0.5242499540908013,0.2571753790862832,0.5242499540908013,0.5242499540908013,0.2571753790862832,0.6075834510222413,0.6075834510222413,1.179300396605942,0.607583451022241,0.607583451022241,1.179300396605942,1.6458644459745067,1.6458644459745067,0.8479603694512666,1.6458644459745075,1.6458644459745075,0.8479603694512666,2.5908248950825654,0.016759411496471074,NaN,0.1800922802610887,NaN,0.017405705599366748,0.0966488156745688,NaN
190.0,0.0,0.0,-0.5,0.9628688363590852,0.0,true,0,1.8528307212073948e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.6078405656248801,0.6078405656248801,0.2500409108521763,0.25004091085217617,2.0494817261477962,0.0,0.0,-22.692315250065846,22.692315250065846,-10.281771179074658,12.889132561314812,-4477.806046580365,4477.806046580365,-2028.8708599305498,-91.16303868561631,0.4576043310037851,0.4576043310037851,0.2186143557975526,0.4576043310037851,0.4576043310037851,0.2186143557975526,0.222836484771249,0.222836484771249,1.293832128302821,0.22283648477124907,0.22283648477124907,1.293832128302821,4.48759547174935,4.48759547174935,0.7728977957223446,4.487595471749349,4.487595471749349,0.7728977957223446,1.1037376783982449,0.005835592576122217,NaN,0.08563320092703379,NaN,0.006060630852057128,0.07077431167405807,NaN
190.0,0.0,0.0,-0.4,0.9628688363590852,0.0,true,0,2.3865582910570733e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5935254109492896,0.5935254109492896,0.43175109594791766,0.4317510959479173,2.1080250625827825,0.0,0.0,-22.51154649521731,22.51154649521731,-11.314880219449742,11.628443930230146,-4442.135494035435,4442.135494035435,-2232.731147291707,-91.73404181319862,0.39859198336650975,0.39859198336650975,0.18909844685464178,0.39859198336650975,0.39859198336650975,0.18909844685464178,0.9178010516868828,0.9178010516868828,0.9289363144668471,0.917801051686882,0.917801051686882,0.9289363144668471,1.089560747573822,1.089560747573822,1.0765000618733902,1.089560747573823,1.089560747573823,1.0765000618733902,1.7941020884723708,0.014595960714850245,NaN,0.15428565500567903,NaN,0.015158825546833812,0.09825168481331487,NaN
190.0,0.0,0.0,-0.3,0.9628688363590852,0.0,true,0,4.512564355710623e-11,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5769408696834822,0.5769408696834822,0.7078353166045425,0.7078353166045425,2.189660186587718,0.0,0.0,-22.379515241915552,22.379515241915552,-12.389761398952817,10.374989267216485,-4416.082165502971,4416.082165502971,-2444.8342047318392,-92.52374749263129,0.3359396952899219,0.3359396952899219,0.16251365999239165,0.3359396952899219,0.3359396952899219,0.16251365999239165,1.484001466677811,1.484001466677811,2.2186171784687874,1.4840014666778147,1.4840014666778147,2.2186171784687874,0.6738537814512203,0.6738537814512203,0.4507312075759574,0.6738537814512185,0.6738537814512185,0.4507312075759574,2.392104239720659,0.01835121396103949,NaN,0.23056450258501704,NaN,0.019058892829506555,0.08266186952381747,NaN
190.0,0.0,0.0,-0.2,0.9628688363590852,0.0,true,0,1.053975093758242e-10,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5611383060647678,0.5611383060647678,0.92083942866581,0.9208394286658097,2.2673232985047,0.0,0.0,-22.28249227339139,22.28249227339139,-13.311246811552252,9.317204091641688,-4396.936916094654,4396.936916094654,-2626.6681386827336,-93.25717813915429,0.28525774079381105,0.2852577407938111,0.1412855039333959,0.28525774079381105,0.2852577407938111,0.1412855039333959,1.8550537858491014,1.8550537858491014,2.8192491020674275,1.8550537858491003,1.8550537858491003,2.8192491020674275,0.5390679276408563,0.5390679276408563,0.35470437829231705,0.5390679276408566,0.5390679276408566,0.35470437829231705,2.3416474057609244,0.017826056557815013,NaN,0.25132511671195207,NaN,0.018513483752596076,0.07366348415472812,NaN
190.0,0.0,0.0,-0.1,0.9628688363590852,0.0,true,0,2.0126065298900637e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.54794112170078,0.54794112170078,1.0594612970285844,1.059461297028585,2.3261967455918335,0.0,0.0,-22.208336907270656,22.208336907270656,-14.012588562507938,8.511801436791185,-4382.304061617593,4382.304061617593,-2765.061788627268,-93.81430517433003,0.2493273494348651,0.24932734943486498,0.1255937323624006,0.2493273494348651,0.24932734943486498,0.1255937323624006,1.9965525284344852,1.9965525284344852,3.3484229809573494,1.9965525284344956,1.9965525284344956,3.3484229809573494,0.5008633560891629,0.5008633560891629,0.29864805184023957,0.5008633560891602,0.5008633560891602,0.29864805184023957,2.1119710068559705,0.015834302480675477,NaN,0.24812268267058524,NaN,0.01644492155395748,0.0662773809188184,NaN
190.0,0.0,0.0,0.0,0.9628688363590852,0.0,true,0,8.680043190929779e-15,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5368059789350476,0.5368059789350476,1.156106230640862,1.156106230640862,2.37111259272959,0.0,0.0,-22.14942744098373,22.14942744098373,-14.559388791180416,7.882733725710425,-4370.679634518218,4370.679634518218,-2872.9602266332377,-94.24484913752471,0.2228446737682642,0.2228446737682642,0.11361349896011208,0.2228446737682642,0.2228446737682642,0.11361349896011208,2.8321485850098855,2.8321485850098855,3.8358958067304014,2.832148585009887,2.832148585009887,3.8358958067304014,0.35308881931295616,0.35308881931295616,0.26069529788724083,0.353088819312956,0.353088819312956,0.26069529788724083,2.3783822615470434,0.01861013874315995,NaN,0.30172048737225277,NaN,0.019327802542172652,0.06405863489914972,NaN
190.0,0.0,0.0,0.1,0.9628688363590852,0.0,true,0,8.135185512983295e-11,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5271802255767933,0.5271802255767933,1.2280241612530398,1.2280241612530398,2.406543838399861,0.0,0.0,-22.101245601631014,22.101245601631014,-15.000727105320745,7.374336179743441,-4361.17205764863,4361.17205764863,-2960.0481834973752,-94.59013979836179,0.20240071259792236,0.20240071259792236,0.10411976837679396,0.20240071259792236,0.20240071259792236,0.10411976837679396,3.244787068273066,3.244787068273066,4.289882906998104,3.244787068273079,3.244787068273079,4.289882906998104,0.3081866325768544,0.3081866325768544,0.23310659560630337,0.3081866325768532,0.3081866325768532,0.23310659560630337,2.3386264519612743,0.018493838589703025,NaN,0.31713043655173273,NaN,0.019207017499532065,0.060565039762113373,NaN
190.0,0.0,0.0,0.2,0.9628688363590852,0.0,true,0,5.946128808651301e-12,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.2,0.5186901620348576,0.5186901620348576,1.2840978631284605,1.2840978631284605,2.435324466718897,0.0,0.0,-22.060950869559804,22.060950869559804,-15.367033156263208,6.9520556284783686,-4353.22081984299,4353.22081984299,-3032.3302504321,-94.87566517337697,0.1860434412435291,0.1860434412435291,0.09637162019368584,0.1860434412435291,0.1860434412435291,0.09637162019368584,3.628379110363952,3.628379110363952,4.720542664869286,3.6283791103639524,3.6283791103639524,4.720542664869286,0.2756051585523799,0.2756051585523799,0.21184005123861974,0.2756051585523798,0.2756051585523798,0.21184005123861974,2.292746204365856,0.018298088810903293,NaN,0.32979399574621654,NaN,0.019003719011297753,0.057622998770182336,NaN
190.0,0.0,0.0,0.3,0.9628688363590852,0.0,true,0,6.170979033303423e-13,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.2,0.5110830076194285,0.5110830076194285,1.3293276111836787,1.3293276111836787,2.4592582419738775,0.0,0.0,-22.026654478150856,22.026654478150856,-15.677766322097623,6.593720677533202,-4346.453216487646,4346.453216487646,-3093.6462877563376,-95.1174722191023,0.1725941379597888,0.1725941379597888,0.08990138757859466,0.1725941379597888,0.1725941379597888,0.08990138757859466,3.989320620422032,3.989320620422032,5.129364631015202,3.989320620422041,3.989320620422041,5.129364631015202,0.250669248012011,0.250669248012011,0.19495591987229818,0.25066924801201046,0.25066924801201046,0.19495591987229818,2.2462979126236204,0.018071037993223207,NaN,0.34067228845125874,NaN,0.018767912420507425,0.05509081030872466,NaN
