center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi_prev,xi_curr,xi_next,tauinv_prev,tauinv_curr,tauinv_next,kink_metric_tauinv,tau_prev,tau_curr,tau_next,kink_metric_tau
-0.1,baseline,128,true,u,-0.12,-0.1,-0.08,0.35132010717401596,0.35227480816213114,0.35318924617110997,5.714711668775581e-5,2.8464069649867203,2.838692909144271,2.831343283638735,6.418981351240465e-5
-0.1,baseline,256,true,u,-0.12,-0.1,-0.08,0.35133440089144113,0.35228966351626023,0.3532089781155078,5.102055111808445e-5,2.8462911615335673,2.8385732071126863,2.8311851112487183,5.8102880011484263e-5
-0.08,baseline,128,true,u,-0.1,-0.08,-0.06,0.35227480816213114,0.35318924617110997,0.3540703164338601,4.723777208731193e-5,2.838692909144271,2.831343283638735,2.8242977555188498,5.37019632002553e-5
-0.08,baseline,256,true,u,-0.1,-0.08,-0.06,0.35228966351626023,0.3532089781155078,0.35409222904969834,5.105145578311908e-5,2.8385732071126863,2.8311851112487183,2.8241229768972023,5.756626635908008e-5
-0.06,baseline,128,true,u,-0.08,-0.06,-0.04,0.35318924617110997,0.3540703164338601,0.35491946469253516,4.507862223047177e-5,2.831343283638735,2.8242977555188498,2.8175405957695068,5.105134010372464e-5
-0.06,baseline,256,true,u,-0.08,-0.06,-0.04,0.3532089781155078,0.35409222904969834,0.354942240020032,4.6936872839675536e-5,2.8311851112487183,2.8241229768972023,2.8173598046362773,5.293007652938091e-5
-0.04,baseline,128,true,u,-0.06,-0.04,-0.02,0.3540703164338601,0.35491946469253516,0.3557340048709938,4.8754835475649974e-5,2.8242977555188498,2.8175405957695068,2.8110891461237952,5.4251233166065895e-5
-0.04,baseline,256,true,u,-0.06,-0.04,-0.02,0.35409222904969834,0.354942240020032,0.355761339770367,4.3544014368236664e-5,2.8241229768972023,2.8173598046362773,2.8108731562723177,4.907500570396753e-5
-0.02,baseline,128,true,u,-0.04,-0.02,0.0,0.35491946469253516,0.3557340048709938,0.3565200651181524,4.002981288013494e-5,2.8175405957695068,2.8110891461237952,2.8048912188675703,4.509326746818987e-5
-0.02,baseline,256,true,u,-0.04,-0.02,0.0,0.354942240020032,0.355761339770367,0.35654836595627915,4.5077360631176427e-5,2.8173598046362773,2.8108731562723177,2.8046685821093416,5.0175547828268094e-5
0.0,baseline,128,true,u,-0.02,0.0,0.02,0.3557340048709938,0.3565200651181524,0.35727552385095973,4.291695944385382e-5,2.8110891461237952,2.8048912188675703,2.798960279230205,4.7593221630757566e-5
0.0,baseline,256,true,u,-0.02,0.0,0.02,0.355761339770367,0.35654836595627915,0.3573063581838128,4.071531543922365e-5,2.8108731562723177,2.8046685821093416,2.798718738404201,4.541186425027619e-5
0.02,baseline,128,true,u,0.0,0.02,0.04,0.3565200651181524,0.35727552385095973,0.35800402130342696,3.773177637453218e-5,2.8048912188675703,2.798960279230205,2.793264713505685,4.204666900637381e-5
0.02,baseline,256,true,u,0.0,0.02,0.04,0.35654836595627915,0.3573063581838128,0.3580369426973704,3.8353241340760904e-5,2.8046685821093416,2.798718738404201,2.793007873618357,4.269434366838206e-5
0.04,baseline,128,true,u,0.02,0.04,0.06,0.35727552385095973,0.35800402130342696,0.3587069500598356,3.5710068235307855e-5,2.798960279230205,2.793264713505685,2.7877909804457115,3.970849298196227e-5
0.04,baseline,256,true,u,0.02,0.04,0.06,0.3573063581838128,0.3580369426973704,0.3587410531651049,3.697110921525594e-5,2.798718738404201,2.793007873618357,2.787525963859413,4.0987178923257286e-5
0.06,baseline,128,true,u,0.04,0.06,0.08,0.35800402130342696,0.3587069500598356,0.35938213809648195,3.8667664172211086e-5,2.793264713505685,2.7877909804457115,2.782553427103085,4.235965303775155e-5
0.06,baseline,256,true,u,0.04,0.06,0.08,0.3580369426973704,0.3587410531651049,0.3594203756853638,3.454852358954275e-5,2.793007873618357,2.787525963859413,2.7822574001074414,3.826798561484926e-5
0.08,baseline,128,true,u,0.06,0.08,0.1,0.3587069500598356,0.35938213809648195,0.36003534592911735,3.0580545999626684e-5,2.7877909804457115,2.782553427103085,2.77750507361818,3.3997524697707605e-5
0.08,baseline,256,true,u,0.06,0.08,0.1,0.3587410531651049,0.3594203756853638,0.3600755454540101,3.359958595340915e-5,2.787525963859413,2.7822574001074414,2.7771949876216264,3.704748276497658e-5
0.1,baseline,128,true,u,0.08,0.1,0.12,0.35938213809648195,0.36003534592911735,0.3606657175186532,3.171389053578922e-5,2.782553427103085,2.77750507361818,2.7726505498773424,3.489277947835885e-5
0.1,baseline,256,true,u,0.08,0.1,0.12,0.3594203756853638,0.3600755454540101,0.36070761648461197,3.2074849758804024e-5,2.7822574001074414,2.7771949876216264,2.772328485175363,3.527120717578051e-5
