# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# sigma_grid_n: 60
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: semi_infinite
# gc_every_n: 5
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
180.0,0.0,0.0,0.0,0.9121915291822912,0.0,true,6,6.78895550887404e-11,0.43600287626409207,0.43600287626409207,1.458553655016459,2.5363928706672647,0.12985094320836,0.06470549552766881,0.12985094320836,0.06470549552766881,5.75343407314114,3.795066294997591,5.753434073141198,3.795066294997591,0.17380923936685364,0.26350000823915376,0.17380923936685186,0.26350000823915376,20,4,8,6,60,semi_infinite,5
190.0,0.0,0.0,0.0,0.9628688363590852,0.0,true,5,7.251144129583054e-13,0.5368059789348891,0.5368059789348891,1.1561062306455878,2.3711125927313397,0.22284508020604724,0.113613482069834,0.22284508020604724,0.113613482069834,2.8300480761434033,2.032735066450755,2.830048076141089,2.032735066450755,0.3533508877215725,0.49194802436603025,0.35335088772186146,0.49194802436603025,20,4,8,6,60,semi_infinite,5
200.0,0.0,0.0,0.0,1.013546143535879,0.0,true,1,8.82913075983538e-10,0.6053204264634099,0.6053204264634099,0.7272073081809464,2.177534284074522,0.34330577212565194,0.17880032327557838,0.34330577212565194,0.17880032327557838,1.4421222726423393,1.1583298562185498,1.4421222726440595,1.1583298562185498,0.6934224780869257,0.863311944029977,0.6934224780860986,0.863311944029977,20,4,8,6,60,semi_infinite,5
