xi,process,mode,rate
-0.1,uubar_to_uubar,pchip,0.6723215455610816
-0.1,uubar_to_uubar,linear,0.7893392119955565
-0.1,uubar_to_uubar,direct,0.4966869080876663
-0.1,uubar_to_ddbar,pchip,0.4363430472936129
-0.1,uubar_to_ddbar,linear,0.5427014541898375
-0.1,uubar_to_ddbar,direct,0.2767310067609895
-0.1,udbar_to_udbar,pchip,0.3144113407386027
-0.1,udbar_to_udbar,linear,0.31434240960614684
-0.1,udbar_to_udbar,direct,0.3153190707414325
0.1,uubar_to_uubar,pchip,0.41519040573313404
0.1,uubar_to_uubar,linear,0.415295698153052
0.1,uubar_to_uubar,direct,0.42019965590588765
0.1,uubar_to_ddbar,pchip,0.22926204293922428
0.1,uubar_to_ddbar,linear,0.22945790741664876
0.1,uubar_to_ddbar,direct,0.23378344882068583
0.1,udbar_to_udbar,pchip,0.2810586123157823
0.1,udbar_to_udbar,linear,0.2809826345689436
0.1,udbar_to_udbar,direct,0.2818987980242953
