# format: scan_csv_v1
# mesons: pi,K
# note: mu_fm denotes quark chemical potential (muB/3)
# script: scripts/relaxtime/run_meson_density_scan.jl
# workflow_entry: Models.solve_gap_and_meson_density_point
# continuation: MesonMassWorkflow.continuation_state
T_MeV,muB_MeV,xi,T_fm,muB_fm,mu_fm,Phi,Phibar,m_u,m_d,m_s,m_pi,m_K,n_pi,n_K,kpi_ratio,d_pi,d_K,mu_pi,mu_K,q_nodes
208.0,0.0,0.0,1.0540879892773143,0.0,0.0,0.6442742608795485,0.6442742608795485,0.3973380871836013,0.397338087183601,2.0509368786227866,0.8443694248248552,2.5345272035166038,0.34478978412740713,0.19562210621856546,0.5673663061498334,3,4,0.0,0.0,256
210.0,0.0,0.0,1.064223450712673,0.0,0.0,0.6522911882693095,0.6522911882693097,0.344063888513439,0.34406388851343883,2.027008146794822,0.9088104342899425,2.5754403912509383,0.3471183684400915,0.1993808956781241,0.5743887786005623,3,4,0.0,0.0,256
212.0,0.0,0.0,1.074358912148032,0.0,0.0,0.6598578162625703,0.6598578162625702,0.30138406375626253,0.3013840637562623,2.0046873913406933,0.9733570582851271,2.6098179840363414,0.3492940508453487,0.20396268242304605,0.5839283031858774,3,4,0.0,0.0,256
214.0,0.0,0.0,1.0844943735833907,0.0,0.0,0.6670569917062402,0.6670569917062418,0.26703637239871697,0.26703637239871686,1.983298058990992,1.0371426657176388,2.6387067158452915,0.3514560168858303,0.20927526693175083,0.5954522241106871,3,4,0.0,0.0,256
216.0,0.0,0.0,1.0946298350187493,0.0,0.0,0.6739459462873927,0.6739459462873996,0.2390882847241788,0.23908828472417887,1.9623818117355385,1.0997747003508838,2.663196220777254,0.3536814572296574,0.21521882812958082,0.6085103522682896,3,4,0.0,0.0,256
218.0,0.0,0.0,1.1047652964541081,0.0,0.0,0.6805644662745135,0.6805644662745135,0.216047325539925,0.21604732553992473,1.941642370290932,1.161112206759697,2.6842207158872218,0.3560113385606389,0.221707395758695,0.6227537489537904,3,4,0.0,0.0,256
220.0,0.0,0.0,1.114900757889467,0.0,0.0,0.6869411600438926,0.6869411600438926,0.19680118119654483,0.19680118119654486,1.920891098613084,1.221137542247394,2.702527453139479,0.3584667026301756,0.2286725221958631,0.6379184468683579,3,4,0.0,0.0,256
