# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s
120.0,0.0,0.0,0.2,0.6081276257177173,0.0,true,8,4.113431817387436e-12,0.010844965055333451,0.01084496505533345,1.861870490636805,1.861870490636805,2.7838723434673343,0.0,0.0,-21.608532078459888,21.608532078459888,-21.60208911300284,0.01059475870618776,-4263.9468094462545,4263.9468094462545,-4262.675438401511,-631.9372429283404,0.0003790262020197465,0.0003790262020197465,0.0001243904865779116,0.0003790262020197465,0.0003790262020197465,0.0001243904865779116,2430.3210625387746,2430.3210625387746,1556.593606960048,2430.321062538825,2430.321062538825,1556.593606960048,0.0004114682687049483,0.0004114682687049483,0.0006424284383082825,0.00041146826870493977,0.00041146826870493977,0.0006424284383082825,1.9100009401165874,0.027426780740057402,1.243856214121824,180.27790845307982,117.40297713390702
130.0,0.0,0.0,0.2,0.6588049278608604,0.0,true,3,1.3114509478384662e-13,0.01792922101449008,0.01792922101449008,1.8600670184310857,1.8600670184310857,2.782778094190418,0.0,0.0,-21.609404203169078,21.609404203169078,-21.592362500406683,0.02586760062304111,-4264.118903198744,4264.118903198744,-4260.75611511775,-458.76449147153505,0.0009337597362431851,0.0009337597362431851,0.0003402160230329602,0.0009337597362431851,0.0009337597362431851,0.0003402160230329602,967.5456736931964,967.5456736931964,614.5164352878986,967.5456736931964,967.5456736931964,614.5164352878986,0.0010335429398210453,0.0010335429398210453,0.0016272957769331324,0.0010335429398210453,0.0010335429398210453,0.0016272957769331324,2.023823664025464,0.026002691134493713,1.3536920676952926,78.23778067080481,52.33156671243468
140.0,0.0,0.0,0.2,0.7094822300040036,0.0,true,3,6.052158774139116e-12,0.02905836850672435,0.02905836850672435,1.856156682732121,1.856156682732121,2.7803516953738043,0.0,0.0,-21.611462038908517,21.611462038908517,-21.569059253059702,0.0597658180227776,-4264.524969751701,4264.524969751701,-4256.157755228512,-341.0083166427801,0.002160361590124938,0.002160361590124938,0.0008604577918715223,0.002160361590124938,0.002160361590124938,0.0008604577918715223,412.5297216878117,412.5297216878117,258.352540853229,412.5297216878057,412.5297216878057,258.352540853229,0.0024240677639143916,0.0024240677639143916,0.0038706799503400416,0.0024240677639144267,0.0024240677639144267,0.0038706799503400416,2.137094747181443,0.02482461482248748,1.5009050338153316,35.757809695953064,25.11310115831286
150.0,0.0,0.0,0.2,0.7601595321471466,0.0,true,3,3.69334340888372e-10,0.04734536218794115,0.04734536218794115,1.8477126690521533,1.8477126690521533,2.7750137725812545,0.0,0.0,-21.616150118532687,21.616150118532687,-21.513084367394477,0.1355843698323311,-4265.4500544397,4265.4500544397,-4245.1123989648495,-258.64338079258175,0.004857979035947562,0.004857979035947562,0.0020889813486974326,0.004857979035947562,0.004857979035947562,0.0020889813486974326,181.67803721178979,181.67803721178979,113.5049826981614,181.6780372117897,181.6780372117897,113.5049826981614,0.0055042426445539895,0.0055042426445539895,0.008810185916324521,0.005504242644553992,0.005504242644553992,0.008810185916324521,2.2506913648664226,0.023846104103716608,1.7196629417485627,16.59993233475005,12.683342068670338
160.0,0.0,0.0,0.2,0.8108368342902897,0.0,true,4,4.496403249731884e-15,0.08152366699046115,0.08152366699046115,1.8279672578746609,1.8279672578746609,2.762368255719435,0.0,0.0,-21.626995995984526,21.626995995984526,-21.364887995703096,0.3232561585720871,-4267.590238899638,4267.590238899638,-4215.869253528105,-199.52828057985263,0.011264682237111016,0.011264682237111016,0.0051754045514003305,0.011264682237111016,0.011264682237111016,0.0051754045514003305,77.60786042738036,77.60786042738036,47.68374286714822,77.60786042738144,77.60786042738144,47.68374286714822,0.01288529273314686,0.01288529273314686,0.0209715081046826,0.012885292733146682,0.012885292733146682,0.0209715081046826,2.3503056950754972,0.022972450427930186,2.087308866918184,7.270722096857969,6.457135654084399
170.0,0.0,0.0,0.2,0.8615141364334329,0.0,true,4,8.781722571349349e-10,0.1822248671721741,0.1822248671721741,1.7588960537970082,1.7588960537970089,2.7181940479254427,0.0,0.0,-21.656787399997057,21.656787399997057,-20.733424745876942,1.0717904849974134,-4273.468887279219,4273.468887279219,-4091.2645048296595,-155.57878655427126,0.03383100762400986,0.03383100762400985,0.016430443841040553,0.03383100762400986,0.03383100762400985,0.016430443841040553,25.15335921411433,25.15335921411433,15.501686483194923,25.153359214090177,25.153359214090177,15.501686483194923,0.0397561212992525,0.0397561212992525,0.06450911009483262,0.03975612129929068,0.03975612129929068,0.06450911009483262,2.4094964933513885,0.022043831617314238,1.1579949596252366,2.2481040157369967,1.0804303414095258
180.0,0.0,0.0,0.2,0.9121914385765759,0.0,true,8,2.2315482794965646e-14,0.41059894787201134,0.41059894787201134,1.53116780166536,1.53116780166536,2.5777750689260177,0.0,0.0,-21.78361714143508,21.78361714143508,-18.11659171430339,4.020017369220086,-4298.49581966796,4298.49581966796,-3574.892693208345,-120.55164546212374,0.10752849045123594,0.10752849045123594,0.05411755207929551,0.10752849045123594,0.10752849045123594,0.05411755207929551,7.158314616632213,7.158314616632213,4.568177214970914,7.158314616632281,7.158314616632281,4.568177214970914,0.13969768773176278,0.13969768773176278,0.2189056932210908,0.13969768773176144,0.13969768773176144,0.2189056932210908,2.3009462384812234,0.020388606068900295,1.5689907462385837,0.5723722131398712,0.3902945191858661
190.0,0.0,0.0,0.2,0.9628687407197191,0.0,true,6,2.1094237467877974e-15,0.5186901623612379,0.5186901623612379,1.2840977345669318,1.2840977345669313,2.43532422422554,0.0,0.0,-22.060942106314783,22.060942106314783,-15.3670270246991,6.952053585841989,-4353.219523012777,4353.219523012777,-3032.3293417027994,-94.87566514927711,0.1860437984356835,0.18604379843568356,0.09637157441449813,0.1860437984356835,0.18604379843568356,0.09637157441449813,3.667319129349553,3.667319129349553,2.492228924084732,3.667319129345189,3.667319129345189,2.492228924084732,0.27267875107922857,0.27267875107922857,0.4012472491335236,0.27267875107955303,0.27267875107955303,0.4012472491335236,2.1373289376198725,0.018477998121095417,0.8690659849550437,0.3074385016209585,0.12500852794416253
200.0,0.0,0.0,0.2,1.0135460428628622,0.0,true,5,7.993605777301127e-15,0.5897094213274744,0.5897094213274744,0.9556165743811516,0.9556165743811509,2.267762755099667,0.0,0.0,-22.49389130096092,22.49389130096092,-12.153730238477142,10.201964809883684,-4438.652088744716,4438.652088744716,-2398.259126767979,-75.46268591889108,0.28504811775957845,0.28504811775957856,0.15136625963910413,0.28504811775957845,0.28504811775957856,0.15136625963910413,1.943978235899988,1.943978235899988,1.4897144149037427,1.9439782359020077,1.9439782359020077,1.4897144149037427,0.514409051260308,0.514409051260308,0.6712696003982848,0.5144090512597735,0.5144090512597735,0.6712696003982848,1.8279351264712276,0.015580451200808441,0.6196769359772477,0.17917481196370333,0.06074094035071592
210.0,0.0,0.0,0.2,1.0642233450060052,0.0,true,4,3.8923753109543213e-10,0.6414084018270234,0.6414084018270234,0.5502328414777228,0.550232841477722,2.0970305663222857,0.0,0.0,-23.10019239265042,23.10019239265042,-8.47899601534037,13.738841988311716,-4558.29166426453,4558.29166426453,-1673.134846719069,-60.63654250131285,0.40025078217990767,0.4002507821799077,0.22030776982951206,0.40025078217990767,0.4002507821799077,0.22030776982951206,1.0478528803085552,1.0478528803085552,0.9248586773165102,1.0478528803119211,1.0478528803119211,0.9248586773165102,0.9543324437926207,0.9543324437926207,1.0812462752704157,0.9543324437895552,0.9543324437895552,1.0812462752704157,1.4654271908847327,0.012301497073435605,0.34666221009652726,0.10666307918319762,0.02523227287943549
