center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi_prev,xi_curr,xi_next,tauinv_prev,tauinv_curr,tauinv_next,kink_metric_tauinv,tau_prev,tau_curr,tau_next,kink_metric_tau
-0.1,baseline,128,true,u,-0.12,-0.1,-0.08,0.35132010717401596,0.35227480816213114,0.35318924617110997,5.714711668775581e-5,2.8464069649867203,2.838692909144271,2.831343283638735,6.418981351240465e-5
-0.08,baseline,128,true,u,-0.1,-0.08,-0.06,0.35227480816213114,0.35318924617110997,0.3540703164338601,4.723777208731193e-5,2.838692909144271,2.831343283638735,2.8242977555188498,5.37019632002553e-5
-0.06,baseline,128,true,u,-0.08,-0.06,-0.04,0.35318924617110997,0.3540703164338601,0.35491946469253516,4.507862223047177e-5,2.831343283638735,2.8242977555188498,2.8175405957695068,5.105134010372464e-5
-0.04,baseline,128,true,u,-0.06,-0.04,-0.02,0.3540703164338601,0.35491946469253516,0.3557340048709938,4.8754835475649974e-5,2.8242977555188498,2.8175405957695068,2.8110891461237952,5.4251233166065895e-5
-0.02,baseline,128,true,u,-0.04,-0.02,0.0,0.35491946469253516,0.3557340048709938,0.3565200651181524,4.002981288013494e-5,2.8175405957695068,2.8110891461237952,2.8048912188675703,4.509326746818987e-5
0.0,baseline,128,true,u,-0.02,0.0,0.02,0.3557340048709938,0.3565200651181524,0.35727552385095973,4.291695944385382e-5,2.8110891461237952,2.8048912188675703,2.798960279230205,4.7593221630757566e-5
0.02,baseline,128,true,u,0.0,0.02,0.04,0.3565200651181524,0.35727552385095973,0.35800402130342696,3.773177637453218e-5,2.8048912188675703,2.798960279230205,2.793264713505685,4.204666900637381e-5
0.04,baseline,128,true,u,0.02,0.04,0.06,0.35727552385095973,0.35800402130342696,0.3587069500598356,3.5710068235307855e-5,2.798960279230205,2.793264713505685,2.7877909804457115,3.970849298196227e-5
0.06,baseline,128,true,u,0.04,0.06,0.08,0.35800402130342696,0.3587069500598356,0.35938213809648195,3.8667664172211086e-5,2.793264713505685,2.7877909804457115,2.782553427103085,4.235965303775155e-5
0.08,baseline,128,true,u,0.06,0.08,0.1,0.3587069500598356,0.35938213809648195,0.36003534592911735,3.0580545999626684e-5,2.7877909804457115,2.782553427103085,2.77750507361818,3.3997524697707605e-5
0.1,baseline,128,true,u,0.08,0.1,0.12,0.35938213809648195,0.36003534592911735,0.3606657175186532,3.171389053578922e-5,2.782553427103085,2.77750507361818,2.7726505498773424,3.489277947835885e-5
