center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
-0.1,baseline,128,true,u,-0.12,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,128,4.292187933656402,41.192311626795586,0.05609139834185448,0.1965655897002938,0.17131702834054344,6.60520393011588,2.313016032124647,false,0.0,0.0,4.292187897991233,41.558187706314925,0.22161657547055574
-0.1,baseline,128,true,u,-0.12,uubar_to_uubar,true,true,false,3.0522942112582996,128,4.2921879336564,41.192311626795586,0.17571563119726674,101.01476268882408,1.219638800842038,4.2921879336564,3.5665169484389025e-8,false,0.0,0.0,4.292187897991231,41.558187706314925,0.6887856575472358
-0.1,baseline,128,true,u,-0.12,ud_to_ud,true,true,false,3.0522942112582996,128,4.292187933656402,41.192311626795586,0.05609139834185448,0.1965655897002938,0.17131702834054344,6.60520393011588,2.313016032124647,false,0.0,0.0,4.292187897991233,41.558187706314925,0.22161657547055574
-0.1,baseline,128,true,u,-0.12,ss_to_ss,true,true,false,3.0522942112582996,128,21.450163120276788,58.35028681341597,0.07085369697279607,0.11829404065851022,0.08008962174388604,58.35028681341597,36.90012372880436,false,0.0,0.0,21.450163084611614,58.716162892935316,0.08140248437598968
-0.1,baseline,128,true,u,-0.12,udbar_to_udbar,true,true,false,3.0522942112582996,128,4.292187933656402,41.192311626795586,0.030874121127264162,0.4017173720671826,0.2896890777707792,9.729244923074749,5.437057025083516,false,0.0,0.0,4.292187897991233,41.558187706314925,0.31970605999395396
-0.1,baseline,128,true,u,-0.12,subar_to_subar,true,true,false,3.0522942112582996,128,11.233213313352685,49.40059057130516,0.02651625313338803,0.4275364210463823,0.2891331261592838,16.77744008622912,5.5442453745559686,false,0.0,0.0,11.233194711673152,49.76746069545561,0.24799977317406124
-0.1,baseline,128,true,u,-0.12,ssbar_to_uubar,true,true,false,3.0522942112582996,128,21.450163120276788,41.55414946630108,0.20142330263513325,3220.2524759739267,25.429251771585793,21.450163120276788,3.5665173925281124e-8,false,0.0,0.0,21.450163084611614,41.558187706314925,2.653796738240813
-0.1,baseline,128,true,u,-0.12,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,128,4.2921879336564,41.192311626795586,0.10429331048528874,0.13824944193509753,0.1236268280910244,41.192311626795586,36.90012372880435,false,0.0,0.0,4.292187897991231,41.558187706314925,0.16858038611135207
-0.1,baseline,128,true,u,-0.12,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,128,11.233213313352685,49.40059057130516,0.10775225389445903,0.2657774109188239,0.19660397220941433,12.149967757120306,0.9167730454471545,false,0.0,0.0,11.233194711673152,49.76746069545561,0.2055903269982568
-0.1,baseline,128,true,u,-0.12,dubar_to_dubar,true,true,false,3.0522942112582996,128,4.292187933656402,41.192311626795586,0.030874121127264162,0.40171737206718233,0.28968907788265147,9.729244923074749,5.437057025083516,false,0.0,0.0,4.292187897991233,41.558187706314925,0.31970606002284563
