# format: scan_csv_v1
# mesons: pi,K
# note: mu_fm denotes quark chemical potential (muB/3)
# script: scripts/relaxtime/run_strict_bw_meson_density_scan.jl
# strict_bw_stage: reduced_stage1
# workflow_entry: Models.solve_gap_and_strict_bw_meson_density_point
# continuation: MesonMassWorkflow.continuation_state
T_MeV,muB_MeV,xi,T_fm,muB_fm,mu_fm,Phi,Phibar,m_u,m_d,m_s,m_pi,m_K,gamma_pi,gamma_K,n_pi,n_K,kpi_ratio,d_pi,d_K,qmax,q_nodes,omega_max,omega_nodes,gamma_zero_tol,pi_q_integral_estimate,pi_omega_shell_at_qmax,pi_mode,K_q_integral_estimate,K_omega_shell_at_qmax,K_mode
208.0,0.0,0.0,1.0540879892773143,0.0,0.0,0.6442742608795485,0.6442742608795485,0.3973380871836013,0.397338087183601,2.0509368786227866,0.8443694248248552,2.5345272035166038,0.07937887273384375,0.22279245570213196,0.07776192249500921,0.039677127708410635,0.51023851308405,3,4,12.0,48,10.0,48,1.0e-12,0.02592064083166974,1.8458791623537326e-5,strict_bw_reduced,0.009919281927102659,1.3228063718924867e-5,strict_bw_reduced
210.0,0.0,0.0,1.064223450712673,0.0,0.0,0.6522911882693095,0.6522911882693097,0.344063888513439,0.34406388851343883,2.027008146794822,0.9088104342899425,2.5754403912509383,0.17727840893476415,0.34801926506212205,0.07214369405008085,0.03744280107706444,0.5190031030442152,3,4,12.0,48,10.0,48,1.0e-12,0.024047898016693617,1.896658931697821e-5,strict_bw_reduced,0.00936070026926611,1.3586834768790621e-5,strict_bw_reduced
212.0,0.0,0.0,1.074358912148032,0.0,0.0,0.6598578162625703,0.6598578162625702,0.30138406375626253,0.3013840637562623,2.0046873913406933,0.9733570582851271,2.6098179840363414,0.24374447652496634,0.43171234638267014,0.06935049016505995,0.0366288784824,0.528170433910708,3,4,12.0,48,10.0,48,1.0e-12,0.023116830055019987,2.0100121181087907e-5,strict_bw_reduced,0.0091572196206,1.4396599793055064e-5,strict_bw_reduced
214.0,0.0,0.0,1.0844943735833907,0.0,0.0,0.6670569917062402,0.6670569917062418,0.26703637239871697,0.26703637239871686,1.983298058990992,1.0371426657176388,2.6387067158452915,0.30121996115040867,0.497658337211923,0.06736854257145448,0.036395937598059244,0.5402512242187201,3,4,12.0,48,10.0,48,1.0e-12,0.022456180857151495,2.1464449104578924e-5,strict_bw_reduced,0.009098984399514811,1.5432258492685536e-5,strict_bw_reduced
216.0,0.0,0.0,1.0946298350187493,0.0,0.0,0.6739459462873927,0.6739459462873996,0.2390882847241788,0.23908828472417887,1.9623818117355385,1.0997747003508838,2.663196220777254,0.3547250988545214,0.5539212846554805,0.06579740390997332,0.036489240309302985,0.5545696051964154,3,4,12.0,48,10.0,48,1.0e-12,0.02193246796999111,2.298627038702085e-5,strict_bw_reduced,0.009122310077325746,1.663431325559297e-5,strict_bw_reduced
218.0,0.0,0.0,1.1047652964541081,0.0,0.0,0.6805644662745135,0.6805644662745135,0.216047325539925,0.21604732553992473,1.941642370290932,1.161112206759697,2.6842207158872218,0.4063075613281442,0.6043989462288137,0.06448335191556663,0.03679125353794891,0.5705542972723058,3,4,12.0,48,10.0,48,1.0e-12,0.02149445063852221,2.464037545665786e-5,strict_bw_reduced,0.009197813384487228,1.7979779129943564e-5,strict_bw_reduced
220.0,0.0,0.0,1.114900757889467,0.0,0.0,0.6869411600438926,0.6869411600438926,0.19680118119654483,0.19680118119654486,1.920891098613084,1.221137542247394,2.702527453139479,0.4569941009083322,0.6512829626529253,0.06335031837571822,0.03723700746150499,0.587795111630847,3,4,12.0,48,10.0,48,1.0e-12,0.021116772791906074,2.6416493996630954e-5,strict_bw_reduced,0.009309251865376247,1.9458849201044196e-5,strict_bw_reduced
