route,scope,target_count,rho_base_step,rho_max,base_rho_keys_per_target,expected_base_rho_keys,targeted_refinement_points,expected_unique_solves,wall_time_status,cost_unit,stop_condition
maxwell_cep_local,representative_xi_pilot,11,0.00625,4.0,641,7051,not_budgeted_in_preflight,7051,not_measured_solver_free_preflight,base_rho_curve_point,no_numerical_dispatch_from_preflight
maxwell_cep_local,all_eligible_candidates,484,0.00625,4.0,641,310244,not_budgeted_in_preflight,310244,not_measured_solver_free_preflight,base_rho_curve_point,no_numerical_dispatch_from_preflight
