target_id,target_kind,xi,T_MeV,target_mu_MeV,cep_T_low_MeV,cep_T_high_MeV,distance_below_CEP_MeV,grid_status,grid_unresolved,boundary_row_present,priority,reason,reason_detail,diagnostic_count,representative_xi,pilot_selection,rank_within_xi
maxwell_xi_m0p5_T_147p062,maxwell_fixed_xi_T,-0.5,147.0625,,147.0625,147.125,0.0,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,True,input_incomplete,1
maxwell_xi_m0p5_T_147,maxwell_fixed_xi_T,-0.5,147.0,,147.0625,147.125,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,True,input_incomplete,2
maxwell_xi_m0p5_T_144,maxwell_fixed_xi_T,-0.5,144.0,210.92698490601464,147.0625,147.125,3.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,True,pilot_candidate,3
maxwell_xi_m0p5_T_143,maxwell_fixed_xi_T,-0.5,143.0,213.65981358298268,147.0625,147.125,4.0625,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,True,pilot_candidate,4
maxwell_xi_m0p4875_T_146p625,maxwell_fixed_xi_T,-0.4875,146.625,,146.6875,146.75,0.0625,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,1
maxwell_xi_m0p4875_T_146p5,maxwell_fixed_xi_T,-0.4875,146.5,,146.6875,146.75,0.1875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,2
maxwell_xi_m0p4875_T_146,maxwell_fixed_xi_T,-0.4875,146.0,,146.6875,146.75,0.6875,geometry_tolerance_exceeded,True,False,1,input_incomplete,missing boundary row; rho geometry status,1,False,input_incomplete,3
maxwell_xi_m0p4875_T_145,maxwell_fixed_xi_T,-0.4875,145.0,210.17325877083806,146.6875,146.75,1.6875,rho:geometry_tolerance_exceeded,True,True,1,rho_geometry,rho geometry status,1,False,full_only,4
maxwell_xi_m0p4875_T_144,maxwell_fixed_xi_T,-0.4875,144.0,212.9121813506452,146.6875,146.75,2.6875,rho:rho_geometry_not_converged|temperature:interpolation_tolerance_exceeded,True,True,1,mixed_geometry_interpolation,rho plus interpolation status,2,False,full_only,5
maxwell_xi_m0p4875_T_143,maxwell_fixed_xi_T,-0.4875,143.0,215.61671357377594,146.6875,146.75,3.6875,temperature:interpolation_tolerance_exceeded,True,True,2,temperature_interpolation,temperature interpolation status,1,False,full_only,6
