# format: scan_csv_v1
# mesons: pi,K
# note: mu_fm denotes quark chemical potential (muB/3); current helper only supports xi=0
# script: scripts/relaxtime/run_phase_shift_meson_density_scan.jl
# phase_shift_scheme: gbu_reference
# workflow_entry: Models.solve_gap_and_phase_shift_meson_density_point
# phase_shift_integrator: GL_hard_cutoff_phase_e3
# continuation: MesonMassWorkflow.continuation_state
T_MeV,muB_MeV,xi,T_fm,muB_fm,mu_fm,Phi,Phibar,m_u,m_d,m_s,m_pi,m_K,n_pi,n_K,kpi_ratio,d_pi,d_K,scheme,qmax,q_nodes,omega_min,omega_max,omega_nodes,eta,pi_q_integral_estimate,pi_omega_shell_at_qmax,K_q_integral_estimate,K_omega_shell_at_qmax
208.0,0.0,0.0,1.0540879892773143,0.0,0.0,0.6442742608795485,0.6442742608795485,0.3973380871836013,0.397338087183601,2.0509368786227866,0.8443694248248552,2.5345272035166038,0.2615021756704353,0.20271745000776198,0.7752036842065961,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.09188210084803074,0.00016069325915792957,0.05342050731752658,0.00015771856001936505
210.0,0.0,0.0,1.064223450712673,0.0,0.0,0.6522911882693095,0.6522911882693097,0.344063888513439,0.34406388851343883,2.027008146794822,0.9088104342899425,2.5754403912509383,0.2481450793805678,0.19814416707042992,0.7985012943438062,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.08802727088525268,0.00016796188775272975,0.05271741730457033,0.00016374737765753218
212.0,0.0,0.0,1.074358912148032,0.0,0.0,0.6598578162625703,0.6598578162625702,0.30138406375626253,0.3013840637562623,2.0046873913406933,0.9733570582851271,2.6098179840363414,0.23797183859791304,0.19458997577956796,0.8177016949823006,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.08522238854597362,0.00017562204653413715,0.05226486867336213,0.00017037514047757346
214.0,0.0,0.0,1.0844943735833907,0.0,0.0,0.6670569917062402,0.6670569917062418,0.26703637239871697,0.26703637239871686,1.983298058990992,1.0371426657176388,2.6387067158452915,0.22951508616888924,0.19172081836184843,0.8353299191007,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.08296927320088916,0.0001835647696546133,0.05198003720305696,0.0001774798486755642
216.0,0.0,0.0,1.0946298350187493,0.0,0.0,0.6739459462873927,0.6739459462873996,0.2390882847241788,0.23908828472417887,1.9623818117355385,1.0997747003508838,2.663196220777254,0.22196788683573276,0.18924221767925567,0.8525657489333324,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.08099089044881952,0.00019170279876688353,0.05178754437920648,0.00018495571444852938
218.0,0.0,0.0,1.1047652964541081,0.0,0.0,0.6805644662745135,0.6805644662745135,0.216047325539925,0.21604732553992473,1.941642370290932,1.161112206759697,2.6842207158872218,0.2149615215386058,0.187024560005024,0.8700373846741474,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.07916067635627466,0.00019996856097137197,0.05165456086953737,0.00019271767106910213
220.0,0.0,0.0,1.114900757889467,0.0,0.0,0.6869411600438926,0.6869411600438926,0.19680118119654483,0.19680118119654486,1.920891098613084,1.221137542247394,2.702527453139479,0.20833034009746193,0.18495933191953265,0.8878175489609638,3,4,phase_shift_gbu_reference,12.0,48,0.05,10.0,48,1.0e-6,0.07742255135534357,0.00020830894473380693,0.051552824833954104,0.0002006978544792657
