xi,T_CEP_MeV,muq_CEP_MeV,muB_CEP_MeV
-0.5,147.1435546875,202.22990194985857,606.6897058495757
-0.25,139.3017578125,253.98698409541208,761.9609522862363
0.0,131.0009765625,291.205498444835,873.6164953345049
0.25,120.8251953125,321.82488627907225,965.4746588372168
0.5,107.0068359375,348.3415217846109,1045.0245653538327
