xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.5,60.0,351.3828910011063,296.21508098214673,0.34754286279198887,1.935930324527164,60.0,60.0
-0.5,65.0,347.68510687527726,294.99011412952905,0.3774208147991217,1.9550916009111843,65.0,65.0
-0.5,70.0,343.62825278595045,293.54599965102796,0.4122190453655147,1.9765603950969979,70.0,70.0
-0.5,75.0,339.1518994096988,291.8333154325238,0.44929259630973517,2.002079141908012,75.0,75.0
-0.5,80.0,334.2309702135983,289.82237828206564,0.48947137056811296,2.0307249400938283,80.0,80.0
-0.5,85.0,328.8222406950706,287.455868452178,0.5339372456611647,2.063739884451104,85.0,85.0
-0.5,90.0,322.8796069372006,284.6898724717482,0.5836664778398196,2.1013711403649604,90.0,90.0
-0.5,95.0,316.354994142481,281.46261363291256,0.6394271224923728,2.143483871798035,95.0,95.0
-0.5,100.0,309.19831878270406,277.71051262449305,0.7017879922693242,2.190093883052035,100.0,100.0
-0.5,105.0,301.3567352831223,273.36581408867295,0.771144702409112,2.240762748167066,105.0,105.0
-0.5,110.0,292.77335016433284,268.3574486291495,0.8504337956113872,2.294441552820137,110.0,110.0
-0.5,115.0,283.39419938057966,262.6122978826484,0.9395388993978173,2.3493705489380576,115.0,115.0
-0.5,120.0,273.161236022485,256.05609951014424,1.041451383238408,2.402892893687588,120.0,120.0
-0.5,125.0,262.020162745008,248.61305799996634,1.159406188506718,2.4511189432828293,125.0,125.0
-0.5,130.0,249.93148800480597,240.20251239718087,1.299108201081136,2.4886832962876095,130.0,130.0
-0.5,135.0,236.89864143274522,230.73231813635346,1.4691795376800934,2.507068849287768,135.0,135.0
-0.5,140.0,223.0073639677248,220.06808724680425,1.6829845765310725,2.4929554553358977,140.0,140.0
-0.5,145.0,208.48936012706037,207.98289839884887,1.968265785050595,2.406699215454702,145.0,145.0
-0.25,60.0,359.39174746557984,322.85213322154016,0.40130371930889924,1.9666633370695557,60.0,60.0
-0.25,65.0,356.418685125329,321.69298953138264,0.43345443367996866,1.9805088796977004,65.0,65.0
-0.25,70.0,353.1384062702794,320.3418643256707,0.46891934857406414,1.997236125635577,70.0,70.0
-0.25,75.0,349.50230236913836,318.7597764591648,0.5081720255451302,2.017397620941778,75.0,75.0
-0.25,80.0,345.48555936068453,316.90340006564713,0.5506422063686034,2.0408585547821474,80.0,80.0
-0.25,85.0,341.05011187456887,314.73218847358737,0.5974339858895036,2.0679808557484605,85.0,85.0
-0.25,90.0,336.154129025268,312.1934650556907,0.649527229887425,2.098681690527919,90.0,90.0
-0.25,95.0,330.7526009896576,309.23597240656073,0.7077612474531421,2.133509312000579,95.0,95.0
-0.25,100.0,324.7973933095538,305.8029248219952,0.7728261740396088,2.171913885073791,100.0,100.0
-0.25,105.0,318.23636053679115,301.8274352768367,0.8479204569667766,2.213136272991625,105.0,105.0
-0.25,110.0,311.0202938493924,297.24424328925875,0.9325663072564092,2.25655586943838,110.0,110.0
-0.25,115.0,303.0967710746989,291.9831297069052,1.0305408986309152,2.300211115170652,115.0,115.0
-0.25,120.0,294.417241709367,285.97123035556376,1.1457694813567982,2.340989671893692,120.0,120.0
-0.25,125.0,284.94584358488714,279.1338351802628,1.2837023386085222,2.37402641683626,125.0,125.0
-0.25,130.0,274.68373579172794,271.3793011926533,1.457626572765915,2.387770541330304,130.0,130.0
-0.25,135.0,263.71663897473604,262.5904287213648,1.695264295699134,2.3605879520181996,135.0,135.0
0.0,60.0,365.7025996476804,342.3696101097888,0.46371943148350836,1.9588345568587733,60.0,60.0
0.0,65.0,363.22837603320517,341.25089609815257,0.4990001617245505,1.9630269491544718,65.0,65.0
0.0,70.0,360.47457602997656,339.9514609875213,0.5364122678041483,1.9728439449426856,70.0,70.0
0.0,75.0,357.4146920354447,338.43256375485,0.5770919430822729,1.9863270275064338,75.0,75.0
0.0,80.0,354.02140391469703,336.6589920865348,0.622572959928165,2.0035688350052268,80.0,80.0
0.0,85.0,350.2527713979744,334.58553542252736,0.6728700208076471,2.0248601592762165,85.0,85.0
0.0,90.0,346.07276355236894,332.16386489170435,0.7291699574787336,2.0480218713779075,90.0,90.0
0.0,95.0,341.4460996543766,329.3449147528664,0.7929602552919431,2.0751148357918874,95.0,95.0
0.0,100.0,336.3258103233986,326.0737823427403,0.8645626824868479,2.10310404691018,100.0,100.0
0.0,105.0,330.66362924901466,322.2851529264732,0.9471643773670153,2.133199291588277,105.0,105.0
0.0,110.0,324.4150327235293,317.91507710248413,1.0428321205399458,2.162096475660615,110.0,110.0
0.0,115.0,317.53543902847764,312.88580729813316,1.1563038681100666,2.1870696574284745,115.0,115.0
0.0,120.0,309.98969001213464,307.1178932972804,1.295247300079877,2.2010488078991717,120.0,120.0
0.0,125.0,301.7745462903302,300.50761070896874,1.4762328207063697,2.189517064465751,125.0,125.0
0.0,130.0,292.9859698852973,292.88634819952614,1.7717839805824853,2.0849604788361873,130.0,130.0
0.25,60.0,371.1970951548148,357.578872706353,0.5411624146368588,1.8894754681806658,60.0,60.0
0.25,65.0,369.1063739282481,356.47775876506023,0.5778732897520606,1.8909316290640876,65.0,65.0
0.25,70.0,366.7664966107095,355.20205334904176,0.6191230022253718,1.8969126071317646,70.0,70.0
0.25,75.0,364.1471492838063,353.7156088848631,0.6644603766799978,1.906281704430161,75.0,75.0
0.25,80.0,361.2253978696935,351.9796277556581,0.7144004061684898,1.9184263271664301,80.0,80.0
0.25,85.0,357.9708305471085,349.95088944682783,0.7699185064788455,1.9321133659901997,85.0,85.0
0.25,90.0,354.34781542061546,347.58676360863024,0.833071579669544,1.9467408130300188,90.0,90.0
0.25,95.0,350.3241418061657,344.83480845249875,0.9053967513985768,1.9622965997806403,95.0,95.0
0.25,100.0,345.8572276635483,341.6365417170822,0.9884694093304937,1.9771108710530334,100.0,100.0
0.25,105.0,340.9099467208895,337.9298107542827,1.086688848854734,1.9872391061089965,105.0,105.0
0.25,110.0,335.44614519917775,333.6381583769266,1.2066466228810124,1.9886472790914913,110.0,110.0
0.25,115.0,329.4418217758749,328.66945686489686,1.3619780442862377,1.9682032388663486,115.0,115.0
0.25,120.0,322.92617082818407,322.8781895622423,1.6174584276680013,1.86116301239275,120.0,120.0
0.5,60.0,376.3144988933299,369.61169908872427,0.6420867946147112,1.7717784272338775,60.0,60.0
0.5,65.0,374.535761146549,368.56745989512535,0.6830283875479238,1.7696384511860292,65.0,65.0
0.5,70.0,372.5309302735439,367.32881845728866,0.7289138236250516,1.7703866737629628,70.0,70.0
0.5,75.0,370.27898684548484,365.8666853437687,0.7807878619888448,1.7726446687616995,75.0,75.0
0.5,80.0,367.75622476392584,364.14633217540774,0.8397208523241854,1.7751857566127902,80.0,80.0
