xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.5,60.0,322.175572679635,0.0488564796475493,2.7857868506317347,60.0,60.0
-0.5,65.0,320.09846921015117,0.04963105595872931,2.7880968384004223,65.0,65.0
-0.5,70.0,317.68693804845236,0.061231056073953134,2.7921962022309654,70.0,70.0
-0.5,75.0,314.92337190465673,0.07989847130892767,2.7988070991520875,75.0,75.0
-0.5,80.0,311.7578853113546,0.09676244276691812,2.8078971385784244,80.0,80.0
-0.5,85.0,308.14001447967667,0.12336387626232154,2.8194015752108528,85.0,85.0
-0.5,90.0,304.02186997266836,0.15027394791099505,2.8333300071320524,90.0,90.0
-0.5,95.0,299.34494999020217,0.18847246598137887,2.8492983972441004,95.0,95.0
-0.5,100.0,294.0488799517609,0.23266481425064142,2.8666216925670245,100.0,100.0
-0.5,105.0,288.07126391170254,0.2858047409765344,2.884213825708301,105.0,105.0
-0.5,110.0,281.3461337273506,0.34952476202450916,2.900451285786465,110.0,110.0
-0.5,115.0,273.8063451650024,0.43031794592713,2.912818154189651,115.0,115.0
-0.5,120.0,265.38346426973595,0.5284004711790705,2.918150783708776,120.0,120.0
-0.5,125.0,256.01007827622004,0.6506055250177526,2.9120843903875477,125.0,125.0
-0.5,130.0,245.6256827645567,0.8107319078403019,2.888463126310137,130.0,130.0
-0.5,135.0,234.18961097453746,1.0262666122296062,2.8382882782321803,135.0,135.0
-0.5,140.0,221.70778558287168,1.3298355730364972,2.7450748464041608,140.0,140.0
-0.5,145.0,208.25539689840713,1.7851969882065337,2.5511605287678383,145.0,145.0
-0.25,60.0,340.1560395544383,0.0713595421425056,2.623681447457671,60.0,60.0
-0.25,65.0,338.32577414830325,0.08800174096387904,2.6246291098887453,65.0,65.0
-0.25,70.0,336.21355677694305,0.10554953506138035,2.6276933427686533,70.0,70.0
-0.25,75.0,333.79224343074804,0.13153129172809855,2.6330926238291332,75.0,75.0
-0.25,80.0,331.0217034577863,0.15777152860854532,2.640833578006263,80.0,80.0
-0.25,85.0,327.8624469440965,0.1912700742414708,2.6510231522543997,85.0,85.0
-0.25,90.0,324.2660941777216,0.23103345766508254,2.6633387591492945,90.0,90.0
-0.25,95.0,320.18326911605146,0.2775418850478665,2.677709224678782,95.0,95.0
-0.25,100.0,315.5594031456899,0.33303457163467787,2.693666519558782,100.0,100.0
-0.25,105.0,310.33632261556215,0.3988116460177067,2.7099288915536386,105.0,105.0
-0.25,110.0,304.4538596558622,0.48142429395625774,2.724829691158344,110.0,110.0
-0.25,115.0,297.8501943255194,0.5814712524285818,2.735930339368437,115.0,115.0
-0.25,120.0,290.4652242748496,0.7064063853981366,2.738773784771817,120.0,120.0
-0.25,125.0,282.2450179101822,0.8697769433025188,2.7258480531024447,125.0,125.0
-0.25,130.0,273.1525696350531,1.0922426098263753,2.6838664645757775,130.0,130.0
-0.25,135.0,263.18949380847687,1.4297931183237174,2.5754646225480093,135.0,135.0
0.0,60.0,353.3898039993313,0.12108845774518229,2.4955564835955077,60.0,60.0
0.0,65.0,351.75013345247487,0.1439832368809206,2.492311868851558,65.0,65.0
0.0,70.0,349.85496647031954,0.17311641102730713,2.4919239384023655,70.0,70.0
0.0,75.0,347.67872101276816,0.20324416122813516,2.4940807762744055,75.0,75.0
0.0,80.0,345.1882396219762,0.24130755552014102,2.4985080417034773,80.0,80.0
0.0,85.0,342.34583588475476,0.28489473143654415,2.5046641959980853,85.0,85.0
0.0,90.0,339.1102453273756,0.33531173708836354,2.5122614189906542,90.0,90.0
0.0,95.0,335.43528831082614,0.39423042650952306,2.5208353159332795,95.0,95.0
0.0,100.0,331.2706106843899,0.46597935909916977,2.5294448102350824,100.0,100.0
0.0,105.0,326.5625292507451,0.550708746940127,2.5364132348330157,105.0,105.0
0.0,110.0,321.25384431485065,0.6565947734067015,2.5386251679119485,110.0,110.0
0.0,115.0,315.28686870545096,0.7893861053089153,2.530529827573969,115.0,115.0
0.0,120.0,308.60568200139994,0.9629840835282806,2.503193319436279,120.0,120.0
0.0,125.0,301.16365710161733,1.2084484145363636,2.428797347614105,125.0,125.0
0.0,130.0,292.9373212053375,1.6525138094603549,2.1981322697071697,130.0,130.0
0.25,60.0,363.9924439345879,0.19749716229735273,2.3535452464650684,60.0,60.0
0.25,65.0,362.48925129215377,0.2321055147576993,2.347126930848157,65.0,65.0
0.25,70.0,360.7563540579707,0.269176450851827,2.342547642154286,70.0,70.0
0.25,75.0,358.76709849297384,0.3110744632092202,2.3395336313119195,75.0,75.0
0.25,80.0,356.49037574667466,0.35979884028675524,2.33745007842493,80.0,80.0
0.25,85.0,353.89138168778345,0.416937525735159,2.3355726367016096,85.0,85.0
0.25,90.0,350.9309956032762,0.48346827032332507,2.3328875421703006,90.0,90.0
0.25,95.0,347.56588794012845,0.5622367423320306,2.327845639060278,95.0,95.0
0.25,100.0,343.74871292146736,0.6575789476250699,2.3180270435332546,100.0,100.0
0.25,105.0,339.42854604026775,0.7769434761718719,2.29975118888164,105.0,105.0
0.25,110.0,334.55065452766615,0.9296997487071603,2.260731545109219,110.0,110.0
0.25,115.0,329.05965163763057,1.1412866705498055,2.1807027845820106,115.0,115.0
0.25,120.0,322.9021801952132,1.528134875564146,1.9529353879062694,120.0,120.0
0.5,60.0,372.79874678035435,0.32336003831766624,2.1610821343062367,60.0,60.0
0.5,65.0,371.42290311259376,0.36739752445805085,2.150610047069017,65.0,65.0
0.5,70.0,369.83273908726187,0.4178203985689898,2.1381080923625753,70.0,70.0
0.5,75.0,368.00280311939616,0.4759731610788327,2.1243880777739457,75.0,75.0
0.5,80.0,365.90425697753494,0.5426637361921334,2.108611833132727,80.0,80.0
0.5,85.0,363.50433722978744,0.6234146651976733,2.087301349919076,85.0,85.0
0.5,90.0,360.7661918247773,0.720113534224574,2.058257720523666,90.0,90.0
0.5,95.0,357.64923899085943,0.8407034857460802,2.0140601320138796,95.0,95.0
0.5,100.0,354.1079399182954,1.0006752635787721,1.9419425325825663,100.0,100.0
0.5,105.0,350.09341671813144,1.2559101738720149,1.788427678948704,105.0,105.0
