# baseline=D:\Desktop\Julia_RelaxTime\tests\baselines\relaxtime\baseline_total_cross_section_fixedpoints_v1.csv
# rtol=1.000000e-09, atol=1.000000e-12
process,s,n_points,sigma_fast,sigma_legacy,baseline_sigma,fast_relerr,legacy_relerr,fast_vs_legacy_relerr,pass
uu_to_uu,25.000000,6,1.2169457021263998e-01,1.2169457021263998e-01,1.2169457021263998e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
uu_to_uu,31.000000,6,1.1869919936992240e-01,1.1869919936992240e-01,1.1869919936992240e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
ud_to_ud,31.000000,6,2.4563406674599625e-01,2.4563406674599625e-01,2.4563406674599625e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
us_to_us,31.000000,6,1.5868507158183126e-01,1.5868507158183126e-01,1.5868507158183126e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
uubar_to_uubar,31.000000,6,2.6885733867918238e-01,2.6885733867918238e-01,2.6885733867918238e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
