# baseline=D:\Desktop\Julia_RelaxTime\tests\baselines\relaxtime\baseline_transport_fixedpoints_v1.csv
# rtol=8.000000e-02, atol=1.000000e-06
T,mu,xi,backend,eta,sigma,zeta,baseline_eta,baseline_sigma,baseline_zeta,eta_relerr,sigma_relerr,zeta_relerr,pass
0.750000,0.000000,0.000000,legacy,4.8286662668648537e-03,9.4890203907585825e-05,2.9235793756713330e-03,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,9.961972e-07,1.015379e-06,1.212474e-06,true
0.750000,0.000000,0.000000,models,4.8286662668648537e-03,9.4890203907585825e-05,2.9235793756713330e-03,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,9.961972e-07,1.015379e-06,1.212474e-06,true
0.900000,0.000000,0.000000,legacy,9.5106909516052385e-02,1.8091359880392191e-03,4.1729501490550262e-02,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,1.185042e-06,1.254230e-06,4.072660e-07,true
0.900000,0.000000,0.000000,models,9.5106909516052385e-02,1.8091359880392191e-03,4.1729501490550262e-02,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,1.185042e-06,1.254230e-06,4.072660e-07,true
1.050000,0.000000,0.000000,legacy,3.7897031949886550e-01,7.8825070782400954e-03,1.0871384903450058e-01,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,3.463003e-07,4.047176e-07,1.848533e-06,true
1.050000,0.000000,0.000000,models,3.7897031949886550e-01,7.8825070782400954e-03,1.0871384903450058e-01,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,3.463003e-07,4.047176e-07,1.848533e-06,true
0.900000,0.150000,0.000000,legacy,9.8436945548290064e-02,1.8761180660009629e-03,4.1798453515205024e-02,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,1.166962e-06,1.237054e-06,3.348763e-07,true
0.900000,0.150000,0.000000,models,9.8436945548290064e-02,1.8761180660009629e-03,4.1798453515205024e-02,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,1.166962e-06,1.237054e-06,3.348763e-07,true
0.900000,0.000000,0.200000,legacy,7.3798253967509650e-02,1.4110024464863767e-03,3.8817152229079110e-02,7.3798351949531535e-02,1.4110044049167590e-03,3.8817125923482493e-02,1.327699e-06,1.387969e-06,6.776802e-07,true
0.900000,0.000000,0.200000,models,7.3798253967509650e-02,1.4110024464863767e-03,3.8817152229079110e-02,7.3798351949531535e-02,1.4110044049167590e-03,3.8817125923482493e-02,1.327699e-06,1.387969e-06,6.776802e-07,true
