# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.m_u: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_d: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.m_s: fm^-1
# x_label: Temperature
# y_unit.M_u_plus_M_d: fm^-1
# y_unit.M_u_plus_M_s: fm^-1
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_u_plus_M_d,M_u_plus_M_s
20260328T063557_884e94d3,220.0,0.0,-0.3,1.527461354685275,2.7701686789060416,0.7393473651655675,0.8820508376746837,7.771561172376096e-15,2.220446049250313e-16,good,good,newton,newton,0.1126605667107683,0.11266056671076839,1.8010260134620144,ok,,,2026-03-28T06:35:58Z,0.2253211334215367,1.9136865801727827
20260328T063557_884e94d3,221.0,0.0,-0.3,1.55615251533973,2.774568495873852,0.7672130420528915,0.9039399661552775,2.1652811951173475e-16,6.865708505265483e-12,good,good,newton,newton,0.1093111782358454,0.10931117823584549,1.7885590894069483,ok,,,2026-03-28T06:36:07Z,0.21862235647169087,1.8978702676427937
20260328T063557_884e94d3,222.0,0.0,-0.3,1.5845735986196225,2.778885006786047,0.7952629407845283,0.9260183977435905,1.5441803461766425e-16,7.049778929562057e-12,good,good,newton,newton,0.10615017762035774,0.10615017762035768,1.7759855945160377,ok,,,2026-03-28T06:36:07Z,0.21230035524071542,1.8821357721363954
20260328T063557_884e94d3,223.0,0.0,-0.3,1.6127345584724349,2.7831367391398327,0.8234993413961016,0.9483020436272043,1.1102230246251565e-16,7.16238622815931e-12,good,good,newton,newton,0.10316243240501088,0.10316243240501097,1.7633087419181963,ok,,,2026-03-28T06:36:07Z,0.20632486481002185,1.8664711743232072
20260328T063557_884e94d3,224.0,0.0,-0.3,1.6406445109103442,2.7873410178491596,0.8519238980584932,0.9708049126656075,4.440892098500626e-16,7.24562488537585e-12,good,good,newton,newton,0.10033438931020777,0.10033438931020788,1.7505321498428037,ok,,,2026-03-28T06:36:08Z,0.20066877862041566,1.8508665391530115
20260328T063557_884e94d3,225.0,0.0,-0.3,1.6683118029054285,2.7915140999598624,0.8805377157631623,0.9935393190452227,1.5367079452454634e-17,7.333687640131682e-12,good,good,newton,newton,0.09765387319490652,0.09765387319490668,1.737659814359206,ok,,,2026-03-28T06:36:08Z,0.19530774638981319,1.8353136875541125
20260328T063557_884e94d3,226.0,0.0,-0.3,1.695744092387753,2.795671285769006,0.9093413636429692,1.0165160528883075,9.719690373820012e-9,7.452564153375116e-12,good,good,newton,newton,0.095109915905327,0.09510991590532686,1.7246960842108943,ok,,,2026-03-28T06:36:08Z,0.19021983181065386,1.8198060001162213
20260328T063557_884e94d3,227.0,0.0,-0.3,1.722948336002016,2.79982701135319,0.9383351265565781,1.039744521045926,9.306052624808392e-9,7.623680254195079e-12,good,good,newton,newton,0.09269260998294669,0.09269260998294669,1.7116456386337016,ok,,,2026-03-28T06:36:08Z,0.18538521996589338,1.8043382486166482
20260328T063557_884e94d3,228.0,0.0,-0.3,1.7499309482249563,2.803994923421058,0.9675187445606044,1.0632328647264517,8.92119486306566e-9,8.335887535793063e-12,good,good,newton,newton,0.09039298307985098,0.09039298307985098,1.6985134646359348,ok,,,2026-03-28T06:36:08Z,0.18078596615970197,1.7889064477157857
20260328T063557_884e94d3,229.0,0.0,-0.3,1.7766977776339146,2.8081879411967137,0.9968916550759335,1.0869880580468343,8.56233684142425e-9,9.004685885827257e-12,good,good,newton,newton,0.08820288979133693,0.08820288979133693,1.685304836128624,ok,,,2026-03-28T06:36:09Z,0.17640577958267387,1.773507725919961
