T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,3.050000,0.000000,388.102882,388.102882,388.102882,388.102882,1164.308646,0.000000,0.000000,21.770168,0.732407,-18.705190,0.729086,0.729086,0.005828,-0.166692,-0.166692,-2.065820,0.098885,0.123893,37.754955,37.754955,462.372175,3,0.000000,true,
50.000000,3.000000,0.000000,387.291740,387.291740,387.291740,387.291740,1161.875220,0.000000,0.000000,21.764200,0.720482,-18.755365,0.717185,0.717185,0.005630,-0.174219,-0.174219,-2.066217,0.097446,0.123173,39.212659,39.212659,462.481064,3,0.000000,true,
50.000000,2.950000,0.000000,386.480466,386.480466,386.480466,386.480466,1159.441397,0.000000,0.000000,21.758329,0.708098,-18.805559,0.705283,0.705283,0.005435,-0.182306,-0.182306,-2.066627,0.095960,0.122403,40.778861,40.778861,462.598003,3,0.000000,true,
50.000000,2.900000,0.000000,385.670072,385.670072,385.670072,385.670072,1157.010215,0.000000,0.000000,21.752563,0.695247,-18.855771,0.693379,0.693379,0.005242,-0.191010,-0.191010,-2.067055,0.094426,0.121583,42.464750,42.464750,462.724321,3,0.000000,true,
50.000000,2.850000,0.000000,384.861848,384.861848,384.861848,384.861848,1154.585543,0.000000,0.000000,21.746910,0.681924,-18.906005,0.681475,0.681475,0.005051,-0.200396,-0.200396,-2.067503,0.092843,0.120708,44.282810,44.282810,462.861579,3,0.000000,true,
50.000000,2.800000,0.000000,384.057412,384.057412,384.057412,384.057412,1152.172237,0.000000,0.000000,21.741382,0.668118,-18.956264,0.669569,0.669569,0.004863,-0.210535,-0.210535,-2.067974,0.091209,0.119779,46.246929,46.246929,463.011619,3,0.000000,true,
50.000000,2.750000,0.000000,383.258773,383.258773,383.258773,383.258773,1149.776319,0.000000,0.000000,21.735991,0.653823,-19.006548,0.657661,0.657661,0.004677,-0.221507,-0.221507,-2.068474,0.089524,0.118791,48.372480,48.372480,463.176615,3,0.000000,true,
50.000000,2.700000,0.000000,382.468389,382.468389,382.468389,382.468389,1147.405168,0.000000,0.000000,21.730752,0.639029,-19.056863,0.645753,0.645753,0.004494,-0.233399,-0.233399,-2.069008,0.087786,0.117744,50.676366,50.676366,463.359127,3,0.000000,true,
50.000000,2.650000,0.000000,381.689235,381.689235,381.689235,381.689235,1145.067705,0.000000,0.000000,21.725682,0.623727,-19.107211,0.633843,0.633843,0.004313,-0.246304,-0.246304,-2.069580,0.085994,0.116632,53.176970,53.176970,463.562162,3,0.000000,true,
50.000000,2.600000,0.000000,380.924848,380.924848,380.924848,380.924848,1142.774545,0.000000,0.000000,21.720801,0.607906,-19.157596,0.621932,0.621932,0.004135,-0.260326,-0.260326,-2.070200,0.084145,0.115455,55.894003,55.894003,463.789239,3,0.000000,true,
50.000000,2.550000,0.000000,380.179358,380.179358,380.179358,380.179358,1140.538074,0.000000,0.000000,21.716131,0.591555,-19.208024,0.610020,0.610020,0.003960,-0.275569,-0.275569,-2.070874,0.082239,0.114207,58.848156,58.848156,464.044438,3,0.000000,true,
50.000000,2.500000,0.000000,379.457459,379.457459,379.457459,379.457459,1138.372378,0.000000,0.000000,21.711697,0.574661,-19.258500,0.598106,0.598106,0.003787,-0.292141,-0.292141,-2.071612,0.080273,0.112884,62.060517,62.060517,464.332438,3,0.000000,true,
50.000000,2.450000,0.000000,378.764311,378.764311,378.764311,378.764311,1136.292933,0.000000,0.000000,21.707524,0.557211,-19.309031,0.586192,0.586192,0.003617,-0.310150,-0.310150,-2.072425,0.078246,0.111482,65.551666,65.551666,464.658524,3,0.000000,true,
50.000000,2.400000,0.000000,378.105306,378.105306,378.105306,378.105306,1134.315918,0.000000,0.000000,21.703636,0.539190,-19.359624,0.574275,0.574275,0.003449,-0.329689,-0.329689,-2.073324,0.076156,0.109996,69.340405,69.340405,465.028529,3,0.000000,true,
50.000000,2.350000,0.000000,377.485676,377.485676,377.485676,377.485676,1132.457028,0.000000,0.000000,21.700056,0.520582,-19.410288,0.562358,0.562358,0.003284,-0.350838,-0.350838,-2.074323,0.074000,0.108419,73.442127,73.442127,465.448708,3,0.000000,true,
50.000000,2.300000,0.000000,376.909888,376.909888,376.909888,376.909888,1130.729664,0.000000,0.000000,21.696799,0.501367,-19.461033,0.550439,0.550439,0.003122,-0.373647,-0.373647,-2.075432,0.071776,0.106744,77.866916,77.866916,465.925508,3,0.000000,true,
50.000000,2.250000,0.000000,376.380811,376.380811,376.380811,376.380811,1129.142433,0.000000,0.000000,21.693870,0.481523,-19.511871,0.538519,0.538519,0.002961,-0.398130,-0.398130,-2.076666,0.069480,0.104962,82.617606,82.617606,466.465246,3,0.000000,true,
50.000000,2.200000,0.000000,375.898675,375.898675,375.898675,375.898675,1127.696025,0.000000,0.000000,21.691261,0.461024,-19.562813,0.526599,0.526599,0.002802,-0.424252,-0.424252,-2.078036,0.067111,0.103062,87.688167,87.688167,467.073694,3,0.000000,true,
50.000000,2.150000,0.000000,375.459884,375.459884,375.459884,375.459884,1126.379652,0.000000,0.000000,21.688939,0.439840,-19.613872,0.514678,0.514678,0.002645,-0.451931,-0.451931,-2.079550,0.064664,0.101033,93.062826,93.062826,467.755641,3,0.000000,true,
50.000000,2.100000,0.000000,375.055768,375.055768,375.055768,375.055768,1125.167304,0.000000,0.000000,21.686849,0.417935,-19.665063,0.502756,0.502756,0.002488,-0.481033,-0.481033,-2.081216,0.062134,0.098859,98.716286,98.716286,468.514505,3,0.000000,true,
50.000000,2.050000,0.000000,374.671329,374.671329,374.671329,374.671329,1124.013988,0.000000,0.000000,21.684909,0.395269,-19.716399,0.490835,0.490835,0.002331,-0.511385,-0.511385,-2.083036,0.059518,0.096522,104.615170,104.615170,469.352071,3,0.000000,true,
50.000000,2.000000,0.000000,374.283948,374.283948,374.283948,374.283948,1122.851843,0.000000,0.000000,21.683001,0.371794,-19.767894,0.478914,0.478914,0.002172,-0.542784,-0.542784,-2.085010,0.056808,0.093998,110.720496,110.720496,470.268418,3,0.000000,true,
50.000000,1.950000,0.000000,373.861819,373.861819,373.861819,373.861819,1121.585458,0.000000,0.000000,21.680973,0.347456,-19.819558,0.466994,0.466994,0.002012,-0.575013,-0.575013,-2.087135,0.053998,0.091259,116.990727,116.990727,471.262053,3,0.000000,true,
50.000000,1.900000,0.000000,373.361671,373.361671,373.361671,373.361671,1120.085013,0.000000,0.000000,21.678632,0.322196,-19.871400,0.455076,0.455076,0.001849,-0.607860,-0.607860,-2.089404,0.051082,0.088268,123.384864,123.384864,472.330221,3,0.000000,true,
50.000000,1.850000,0.000000,372.724911,372.724911,372.724911,372.724911,1118.174734,0.000000,0.000000,21.675730,0.295951,-19.923424,0.443159,0.443159,0.001682,-0.641129,-0.641129,-2.091810,0.048052,0.084977,129.865183,129.865183,473.469327,3,0.000000,true,
50.000000,1.800000,0.000000,371.870734,371.870734,371.870734,371.870734,1115.612203,0.000000,0.000000,21.671941,0.268659,-19.975623,0.431245,0.431245,0.001510,-0.674652,-0.674652,-2.094344,0.044902,0.081323,136.399510,136.399510,474.675451,3,0.000000,true,
50.000000,1.750000,0.000000,370.683391,370.683391,370.683391,370.683391,1112.050172,0.000000,0.000000,21.666818,0.240278,-20.027975,0.419333,0.419333,0.001333,-0.708304,-0.708304,-2.096999,0.041629,0.077220,142.963377,142.963377,475.944967,3,0.000000,true,
50.000000,1.700000,0.000000,368.987977,368.987977,368.987977,368.987977,1106.963931,0.000000,0.000000,21.659710,0.210832,-20.080424,0.407424,0.407424,0.001151,-0.742012,-0.742012,-2.099767,0.038246,0.072548,149.543186,149.543186,477.275478,3,0.000000,true,
50.000000,1.650000,0.000000,366.503592,366.503592,366.503592,366.503592,1099.510776,0.000000,0.000000,21.649598,0.180543,-20.132836,0.395518,0.395518,0.000965,-0.775801,-0.775801,-2.102649,0.034798,0.067141,156.143616,156.143616,478.667731,4,0.000000,true,
50.000000,1.600000,0.000000,362.760604,362.760604,362.760604,362.760604,1088.281813,0.000000,0.000000,21.634818,0.150299,-20.184864,0.383612,0.383612,0.000777,-0.809900,-0.809900,-2.105657,0.031439,0.060796,162.809778,162.809778,480.130926,4,0.000000,true,
50.000000,1.550000,0.000000,357.076594,357.076594,357.076594,357.076594,1071.229782,0.000000,0.000000,21.613065,0.123244,-20.235518,0.371700,0.371700,0.000601,-0.845109,-0.845109,-2.108845,0.028651,0.053488,169.698163,169.698163,481.699499,4,0.000000,true,
50.000000,1.500000,0.000000,349.567887,349.567887,349.567887,349.567887,1048.703661,0.000000,0.000000,21.585219,0.108002,-20.282361,0.359766,0.359766,0.000468,-0.883402,-0.883402,-2.112357,0.027579,0.046463,177.195215,177.195215,483.464116,4,0.000000,true,
50.000000,1.450000,0.000000,343.298856,343.298856,343.298856,343.298856,1029.896569,0.000000,0.000000,21.562696,0.110722,-20.323777,0.347798,0.347798,0.000404,-0.925737,-0.925737,-2.116274,0.028655,0.042411,185.490139,185.490139,485.483346,4,0.000000,true,
50.000000,1.400000,0.000000,340.110900,340.110900,340.110900,340.110900,1020.332700,0.000000,0.000000,21.551617,0.122670,-20.362281,0.335809,0.335809,0.000382,-0.969483,-0.969483,-2.120415,0.030455,0.041214,194.069605,194.069605,487.653677,4,0.000000,true,
