T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark
50.0,371.09152885151445,339.0441684062343,0.3416731338074157,1.3351791017732957
55.0,368.29467034407156,341.48035205845105,0.36601267467663384,1.3310529737593717
60.0,365.46057370264117,343.174282422858,0.3962315210470205,1.3364889386814744
65.0,362.5651994540798,344.0452108091136,0.4303571654840321,1.357271615601521
70.0,359.56622883108236,344.04378402626656,0.47080970080834644,1.3981663455571531
75.0,356.3911180479658,343.167762446737,0.5173111208915829,1.4641760165902034
80.0,352.99021764456904,341.4283036559125,0.5693934892416245,1.5595019128899348
85.0,349.2942456597526,338.8996771081736,0.6276488360394387,1.6768451414053251
90.0,345.244466320079,335.74424479115424,0.6934875008514373,1.7912586340089065
95.0,340.7677882855859,332.1335549867218,0.7652428003373887,1.8855240751943778
100.0,335.7956601108253,328.1399434827259,0.845408415723819,1.9620241751593734
105.0,330.2707574278638,323.7473727289761,0.9343860181661074,2.026650938096857
110.0,324.1378257313519,318.8989141700829,1.035854867157541,2.080826939471441
115.0,317.35008783019356,313.5116507490371,1.1541215502443012,2.1247585403726617
120.0,309.8742136891723,307.48293047385806,1.2970378425402325,2.1514864329213483
125.0,301.71194905528904,300.6920667382334,1.4832380389064415,2.147645619250198
130.0,292.97449777115435,292.9380476721235,1.806198227701721,2.027632369508048
