T_MeV,mu_transition_MeV,rho_hadron,rho_quark,area_residual,converged
50.0,356.48501388608497,0.08093213180139579,1.5460607058318094,2.951849909066384e-5,true
55.0,355.78527940830736,0.0987596746252059,1.5832878769882688,2.2577825517136607e-5,true
60.0,354.7700231802437,0.12776522686771827,1.6387135905908,6.218226792850667e-7,true
65.0,353.38413699478406,0.15535927614957243,1.722241221414576,6.868645964689009e-6,true
70.0,351.57772142712827,0.18982969481092887,1.8398772848365563,6.86965888313431e-5,true
75.0,349.324180439335,0.22692984092536317,1.9789030644303482,2.312988209990461e-5,true
80.0,346.64530657384216,0.26648869248109225,2.103119530728643,7.387301914688335e-5,true
85.0,343.56888146709275,0.3107725491779865,2.1996362370276583,5.155877382440055e-5,true
90.0,340.0947486587219,0.3620067541758248,2.2740513924200956,4.678520537831649e-5,true
95.0,336.19835506608695,0.4219570221698154,2.334082387704627,4.296173469236879e-5,true
100.0,331.83971557687505,0.49169878884194856,2.382393156711742,8.036831058452418e-6,true
105.0,326.96900114987943,0.5770592687111269,2.420182821238852,4.27015129318151e-5,true
110.0,321.5302836994697,0.6811054305159054,2.4470799348354833,3.683536807190524e-5,true
115.0,315.46340984940935,0.8123028697700573,2.45735223228727,1.2570525185364703e-5,true
120.0,308.70935036369326,0.9859800410833667,2.4422638295845065,1.5999149131665398e-5,true
125.0,301.2166494810966,1.2351461612351884,2.3743965808257994,9.91690741186694e-5,true
130.0,292.9565461351233,1.7228394162653222,2.107195231440705,2.8207884493970754e-5,true
