window_id,mode_key,plot_panel,plot_series,recipe_xi,render_xi,observable,raw_production_value_current,recipe_raw_production_value,marker,marker_status,marker_semantics,render_marker,coexistence_side,canonical_data_modified
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,-0.0900000000,eta_over_s,2.974229185774831,2.9673201092765433,star,suppressed_historical_non_CEP,historical first-order branch marker retained for audit only; not a CEP,False,,False
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,-0.0900000000,zeta_over_s,2.2750108159671187,2.2679324110856416,star,suppressed_historical_non_CEP,historical first-order branch marker retained for audit only; not a CEP,False,,False
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,T120.0,muB900.0,-0.09,-0.0900000000,sigma_over_T,0.07593053726280358,0.07593174850764002,star,suppressed_historical_non_CEP,historical first-order branch marker retained for audit only; not a CEP,False,,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,-0.0030000000,eta_over_s,1.3812790994548003,2.043764613817372,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,minus,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,0.0030000000,eta_over_s,1.8521625790161882,2.043764613817372,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,plus,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,-0.0030000000,zeta_over_s,0.757204967519553,1.5189756421733125,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,minus,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,0.0030000000,zeta_over_s,1.3530064572391725,1.5189756421733125,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,plus,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,-0.0030000000,sigma_over_T,0.09773074303252219,0.07283449888090611,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,minus,False
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,muB900.0,alpha1.0,0.0,0.0030000000,sigma_over_T,0.07379002366476001,0.07283449888090611,star,reconciled_direct_coexistence_side_point,first-order boundary; current raw grid has no unique xi=0 transport value; retain xi=+/-0.003 side point,True,plus,False
