mode_key,mode,plot_panel,plot_series,plot_series_label,T_MeV,muB_MeV,xi,observable,raw_value,clean_value,display_status,value_source,phase_structure,phase_reference_kind,quality_flag,quality_reason,run_id,canonical_data_modified
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,tau_ubar,0.611384206822947,0.611384206822947,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,tau_dbar,0.611384206822947,0.611384206822947,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,tau_sbar,1.086178493447026,1.086178493447026,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,eta,1.744938477047589,1.744938477047589,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,sigma,0.011779922375812369,0.011779922375812369,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4900000000,zeta,0.30507145474671515,0.30507145474671515,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,eta_over_s,0.10590491245199458,0.10590491245199458,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,zeta_over_s,0.018603275214948655,0.018603275214948655,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,sigma_over_T,0.011484214748811424,0.011484214748811424,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_u,0.6106880306232529,0.6106880306232529,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_d,0.6106880306232529,0.6106880306232529,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_s,1.0923061048099605,1.0923061048099605,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_ubar,0.6106880306238734,0.6106880306238734,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_dbar,0.6106880306238734,0.6106880306238734,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,tau_sbar,1.0923061048099605,1.0923061048099605,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,eta,1.7174827493586342,1.7174827493586342,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,sigma,0.011644955535052081,0.011644955535052081,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4800000000,zeta,0.30169331642409186,0.30169331642409186,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,eta_over_s,0.10518185118434079,0.10518185118434079,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,zeta_over_s,0.01856192972426117,0.01856192972426117,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,sigma_over_T,0.011354941882557534,0.011354941882557534,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_u,0.6100336732250913,0.6100336732250913,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_d,0.6100336732250913,0.6100336732250913,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_s,1.0985619532572952,1.0985619532572952,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_ubar,0.6100336732257474,0.6100336732257474,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_dbar,0.6100336732257474,0.6100336732257474,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,tau_sbar,1.0985619532572952,1.0985619532572952,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.0,"alpha_T=1.0, T=200.089 MeV",200.08890140807532,0.0,-0.4700000000,eta,1.69104358476468,1.69104358476468,raw,current prod_v2 raw point,no_transition,crossover,false,ok,20260825T064003_f48b4d90,False
