T_MeV,meson,q,omega_thr,mass_ref,gamma_ref,threshold_ref,delta_min,delta_max,current_below,current_above,gbu_below,gbu_above
208.0,pi,0.0,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.6813844698384345e-5,2.5791626364792006,-3.360957001180995e-5,6.292220259906824,-8.879420382873906e-16,7.423048416325895
208.0,pi,2.0,2.155639254809361,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.6176715970517657e-5,2.1748702147687835,3.8878390061654655,0.8933136887698627,0.0637367586808125,1.0343151976838387
208.0,pi,4.0,4.080046641507307,0.8453988732731724,0.07256096460410094,0.8042267073873247,-4.0273284609306655e-6,1.569996373464893,4.575223632384685,0.09409423409628395,0.2510249185078472,0.08369411530140601
208.0,K,0.0,2.4538439205892284,2.5315894049371632,0.21180203708310893,2.4538439205892284,-0.1633353563180494,2.212805576300483,-0.4669079104053509,0.6491944227592692,-0.006767561780536027,0.75315054146561
208.0,K,2.0,3.165651589580369,2.5315894049371632,0.21180203708310893,2.4538439205892284,-0.007312642426322227,1.9865663203416313,5.183028448240065,0.2685876228205593,0.09516867737614107,0.2854333423939643
208.0,K,4.0,4.692691124143237,2.5315894049371632,0.21180203708310893,2.4538439205892284,-1.2053352124605752e-6,1.4874977934642777,4.767270619751488,0.04286910917012901,0.18592411923117236,0.03345413186023872
210.0,pi,0.0,0.6980303235506904,0.909686481009134,0.17433872030007808,0.6980303235506904,-2.6974260211211385e-6,2.4774742518385553,-2.3192057044228103e-5,5.803164681504268,-1.3652894399605091e-17,6.51654832021527
210.0,pi,2.0,2.1183121423898514,0.909686481009134,0.17433872030007808,0.6980303235506904,-5.306092679664729e-6,2.0973742604103016,3.728200293052734,0.8781311143533823,0.051928446072448516,0.9749306416265923
210.0,pi,4.0,4.060449030907331,0.909686481009134,0.17433872030007808,0.6980303235506904,-5.100762617677053e-6,1.5159875681026846,4.5529438200581,0.09232991595468529,0.23838011584022284,0.07764285603930907
210.0,K,0.0,2.376754001793583,2.572283695554165,0.3408672502723144,2.376754001793583,-0.16994804389829835,2.131646909038998,-0.48817990306071884,0.6389726490062114,-0.0075020205509365515,0.7075391200404577
210.0,K,2.0,3.1062774481751965,2.572283695554165,0.3408672502723144,2.376754001793583,-0.010949564748709192,1.9147370502940468,5.123195854222181,0.2663719923550001,0.09179860572606276,0.2700539539485243
210.0,K,4.0,4.652844246806658,2.572283695554165,0.3408672502723144,2.376754001793583,-1.3498005143214644e-6,1.41488569939736,4.751516317663208,0.04319165323755378,0.18130159321287606,0.03178609752010489
212.0,pi,0.0,0.6116056058989852,0.9740069109697355,0.24189142422807122,0.6116056058989852,-1.886134913858547e-6,2.4032125337462733,-1.9902749422788316e-5,5.341911409262175,-6.089895422585909e-18,5.783146771908927
212.0,pi,2.0,2.091425690089673,0.9740069109697355,0.24189142422807122,0.6116056058989852,-2.4858331796585005e-6,2.0383729067093697,3.589585206938569,0.857222389384726,0.043303260289374555,0.9223248478219438
212.0,pi,4.0,4.04648754071566,0.9740069109697355,0.24189142422807122,0.6116056058989852,-1.3643323219139015e-20,1.4716149427559315,4.534378766231116,0.09185446036140589,0.22733954924499028,0.07321481014751903
212.0,K,0.0,2.3110898056020854,2.6069453759028143,0.42656959113794474,2.3110898056020854,-0.1747873949139648,2.072514105455652,-0.5079087575884679,0.6289873892382732,-0.008254417209412513,0.6730868947424375
212.0,K,2.0,3.0563272222649664,2.6069453759028143,0.42656959113794474,2.3110898056020854,-0.013929536665451221,1.8600068153124663,5.065173124502034,0.26549741949922046,0.08858513483799821,0.2584218064083515
212.0,K,4.0,4.619646749434191,2.6069453759028143,0.42656959113794474,2.3110898056020854,-9.665278580084242e-7,1.3521839548880688,4.739557480273796,0.04367957840361269,0.177360844978552,0.030534220593268425
