T_MeV,meson,q,window_type,window_center,omega_thr,mass_ref,gamma_ref,threshold_ref,delta_min,delta_max,current_window_sum,gbu_window_sum
208.0,pi,0.0,pole_window,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.2377343098885955e-5,2.579377526766428,7.413785876101282,8.52617182891083
208.0,pi,0.0,threshold_window,0.8042267073873247,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.2377343098885955e-5,2.5787816562857353,6.892987707714429,7.914312007879131
208.0,pi,2.0,pole_window,0.8453988732731724,2.155639254809361,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.12862542923912576,0.33589841924492014,2.3378954026227112,0.07662912776671774
208.0,pi,2.0,threshold_window,2.155639254809361,2.155639254809361,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.6176715970517657e-5,2.1748702147687835,0.9332017681196025,0.9417887994212555
208.0,K,0.0,pole_window,2.5315894049371632,2.4538439205892284,2.5315894049371632,0.21180203708310893,2.4538439205892284,-8.554095073334308e-6,2.209712594096695,0.609917052652605,0.6871447653403054
208.0,K,0.0,threshold_window,2.4538439205892284,2.4538439205892284,2.5315894049371632,0.21180203708310893,2.4538439205892284,-8.554095073334308e-6,2.1947488942595457,0.5128491488662884,0.5690646880360454
208.0,K,2.0,pole_window,2.5315894049371632,3.165651589580369,2.5315894049371632,0.21180203708310893,2.4538439205892284,-0.008333823439822384,0.14341930825740995,0.037504675245341346,0.0003870297514416499
208.0,K,2.0,threshold_window,3.165651589580369,3.165651589580369,2.5315894049371632,0.21180203708310893,2.4538439205892284,-4.0819588833245365e-6,1.9468304957663258,0.19048769214149494,0.1872226055228943
210.0,pi,0.0,pole_window,0.909686481009134,0.6980303235506904,0.909686481009134,0.17433872030007808,0.6980303235506904,-3.5783418859121417e-6,2.4656864674134247,6.862745150823196,7.1452727477760165
210.0,pi,0.0,threshold_window,0.6980303235506904,0.6980303235506904,0.909686481009134,0.17433872030007808,0.6980303235506904,-3.5783418859121417e-6,2.331947468185432,4.2779410134306,4.032680395803919
210.0,pi,2.0,pole_window,0.909686481009134,2.1183121423898514,0.909686481009134,0.17433872030007808,0.6980303235506904,0.13871889238562257,0.32583574443032376,2.0408464719895623,0.06859607888543692
210.0,pi,2.0,threshold_window,2.1183121423898514,2.1183121423898514,0.909686481009134,0.17433872030007808,0.6980303235506904,-6.647929953055062e-6,2.06993809855481,0.8178889366310401,0.7120947505904084
210.0,K,0.0,pole_window,2.572283695554165,2.376754001793583,2.572283695554165,0.3408672502723144,2.376754001793583,-3.7056882937019275e-6,2.113807532816918,0.6192751515354716,0.6307618436532862
210.0,K,0.0,threshold_window,2.376754001793583,2.376754001793583,2.572283695554165,0.3408672502723144,2.376754001793583,-3.7056882937019275e-6,1.985247924233696,0.38137772528144154,0.34467942606723606
210.0,K,2.0,pole_window,2.572283695554165,3.1062774481751965,2.572283695554165,0.3408672502723144,2.376754001793583,-0.011575356296469929,0.13545855414699834,0.029873098363082436,0.0002820946548849902
210.0,K,2.0,threshold_window,3.1062774481751965,3.1062774481751965,2.572283695554165,0.3408672502723144,2.376754001793583,-2.7113775890099597e-6,1.762950493962697,0.1521901197509568,0.12137646544587706
212.0,pi,0.0,pole_window,0.9740069109697355,0.6116056058989852,0.9740069109697355,0.24189142422807122,0.6116056058989852,-2.032220492867813e-6,2.3774307455511017,6.543484832407113,6.285428584976186
212.0,pi,0.0,threshold_window,0.6116056058989852,0.6116056058989852,0.9740069109697355,0.24189142422807122,0.6116056058989852,-2.032220492867813e-6,1.6516880440735853,2.263637349532805,1.1483007963172538
212.0,pi,2.0,pole_window,0.9740069109697355,2.091425690089673,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.15285226163159846,0.31702267229543013,1.7434753246047654,0.06177261750440921
212.0,pi,2.0,threshold_window,2.091425690089673,2.091425690089673,0.9740069109697355,0.24189142422807122,0.6116056058989852,-5.527327762955963e-6,1.954747031712135,0.7232932430708202,0.5501615551363008
212.0,K,0.0,pole_window,2.6069453759028143,2.3110898056020854,2.6069453759028143,0.42656959113794474,2.3110898056020854,-2.6986382459471535e-6,2.034536256739381,0.6101849099681156,0.5711869269532727
212.0,K,0.0,threshold_window,2.3110898056020854,2.3110898056020854,2.6069453759028143,0.42656959113794474,2.3110898056020854,-2.6986382459471535e-6,1.706751712067418,0.28704835060430745,0.19440949563033316
212.0,K,2.0,pole_window,2.6069453759028143,3.0563272222649664,2.6069453759028143,0.42656959113794474,2.3110898056020854,-0.014471014634076648,0.12969052264599257,0.02571284817737664,0.00022904221285467472
212.0,K,2.0,threshold_window,3.0563272222649664,3.0563272222649664,2.6069453759028143,0.42656959113794474,2.3110898056020854,-2.3258282938945954e-6,1.5725442982101994,0.12742598344174838,0.08076352046688323
