# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.M_sigma_prime: fm^-1
# y_unit.Gamma_sigma: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_u: fm^-1
# y_unit.M_sigma: fm^-1
# y_unit.Gamma_eta: fm^-1
# y_unit.Gamma_sigma_prime: fm^-1
# y_unit.m_d: fm^-1
# y_unit.Gamma_eta_prime: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.M_eta: fm^-1
# y_unit.M_eta_prime: fm^-1
# y_unit.m_s: fm^-1
# x_label: Temperature
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,governance_candidate_count_pi,governance_candidate_count_K,governance_selection_reason_pi,governance_selection_reason_K,second_pass_triggered_pi,second_pass_triggered_K,second_pass_candidate_count_pi,second_pass_candidate_count_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_eta,M_eta_prime,M_sigma,M_sigma_prime,Gamma_eta,Gamma_eta_prime,Gamma_sigma,Gamma_sigma_prime,residual_eta,residual_eta_prime,residual_sigma,residual_sigma_prime,root_quality_eta,root_quality_eta_prime,root_quality_sigma,root_quality_sigma_prime,selected_method_eta,selected_method_eta_prime,selected_method_sigma,selected_method_sigma_prime,governance_candidate_count_eta,governance_candidate_count_eta_prime,governance_candidate_count_sigma,governance_candidate_count_sigma_prime,governance_selection_reason_eta,governance_selection_reason_eta_prime,governance_selection_reason_sigma,governance_selection_reason_sigma_prime,second_pass_triggered_eta,second_pass_triggered_eta_prime,second_pass_triggered_sigma,second_pass_triggered_sigma_prime,second_pass_candidate_count_eta,second_pass_candidate_count_eta_prime,second_pass_candidate_count_sigma,second_pass_candidate_count_sigma_prime
20260417T044725_49da00e9,170.0,0.0,-0.3,0.6334585812763539,2.493971611073087,0.0,0.0,9.597243444403603e-9,2.718774094745413e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,1.5867077737001127,1.5867077737001132,2.6141009990617476,ok,,,2026-04-17T04:48:11Z,2.504216061188591,4.455992839360932,3.152913012428155,5.729802464445189,0.0,1.1135969301069812,0.0,0.8959034707386878,2.0176915693781439e-13,6.787984896394761e-10,1.3881673588400645e-12,2.050246084017715e-11,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,175.0,0.0,-0.3,0.6086379339594925,2.4843931991943657,0.0,0.0,2.6645352591003757e-15,1.2700440699120463e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,1.4289980520330983,1.428998052033097,2.5230580851773996,ok,,,2026-04-17T04:48:11Z,2.4297010863804767,4.2469666927881695,2.8455323364413854,5.547206895032445,0.0,0.9681247349042948,2.5220134270008448e-9,0.8575614085476233,2.407220256461784e-11,1.1866818291905723e-9,2.6395449992389075e-9,6.174949440662658e-11,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,180.0,0.0,-0.3,0.5859356968806761,2.480550902253722,0.0,0.0,1.9984014443252818e-15,4.765965400110872e-12,good,good,newton,newton,0,0,none,none,false,false,0,0,1.2459234094969376,1.2459234094969378,2.4246079765057336,ok,,,2026-04-17T04:48:11Z,2.31611374726515,4.024742476542467,2.489986039920838,5.350089013714853,0.0,0.7933727139194423,3.245556113253287e-13,0.8180860954801752,1.9251822358512527e-12,2.5245665349893365e-9,5.0459636469213365e-14,1.649111958101912e-10,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,185.0,0.0,-0.3,0.5723719940285753,2.488806010246545,0.0,0.0,1.8772243759457297e-9,1.8932788670156242e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,1.0102639474099693,1.0102639474099695,2.3114585715625497,ok,,,2026-04-17T04:48:11Z,2.0997080654752756,3.7781798889907314,2.0362654684867016,5.124211021172681,0.3604409219311046,0.5631094467562374,0.0026751162857356296,0.7753152869057336,1.301990459889879e-11,5.724587470723463e-16,7.93297300072382e-9,6.89008461396412e-10,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,190.0,0.0,-0.3,0.6056244665548368,2.520443136027016,0.0,0.0,1.354472090042691e-13,7.016609515630989e-14,good,good,newton,newton,0,0,none,none,false,false,0,0,0.7033751588401923,0.7033751588401927,2.188626416609918,ok,,,2026-04-17T04:48:11Z,2.1618074027487006,3.5352646613139473,1.4713181803663478,4.881501385119274,1.1245208846583559,0.28514692740506103,0.01874049756762405,0.735715371608612,2.6924643070636023e-14,1.994931997373328e-15,8.128428758530891e-10,1.4043620710779692e-9,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,195.0,0.0,-0.3,0.7226172876253171,2.5175754116277314,0.0,0.0,3.219646771412954e-14,2.459101811069786e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,0.430361605778734,0.4303616057787337,2.0939836088443378,ok,,,2026-04-17T04:48:11Z,2.218151923689163,3.381152395653233,1.077742572735497,4.70268481440738,1.5015484391732556,0.13797495042439062,0.08715053315759766,0.7257032535785286,6.446232436729815e-15,0.0010603469874478735,3.5524361230443446e-13,6.673939179080435e-11,good,degraded,good,good,trust_region,current,newton,newton,0,337,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,200.0,0.0,-0.3,0.8701386292108098,2.606460093293839,0.19308370971405994,0.40258558901702707,3.3864117622875635e-9,9.377831844403772e-12,good,good,newton,newton,0,0,none,none,false,false,0,0,0.28394800552327576,0.2839480055232755,2.030604442903165,ok,,,2026-04-17T04:48:19Z,2.269265881183266,3.289880010934951,1.0309217149185979,4.59346462677798,1.669523931358029,0.1807479158264657,0.20828915642708182,0.744803410097161,7.273695534770752e-15,0.004408513391140997,1.473099420223889e-12,2.324113124174687e-13,good,degraded,good,good,trust_region,trust_region,newton,newton,0,337,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,205.0,0.0,-0.3,1.0543014390395045,2.6731399880292344,0.3369588884959083,0.5518886892392747,6.389856247551643e-9,2.4702462297909733e-13,good,good,newton,newton,0,0,none,none,false,false,0,0,0.20746043508666218,0.20746043508666245,1.9752054617874513,ok,,,2026-04-17T04:48:21Z,2.3196934107398928,3.229916660007984,1.1276424461584091,4.504518522259232,1.770581551891214,0.23282081340040345,0.3382744110421818,0.7769132532330253,4.145989107584569e-15,0.007059979209714071,6.0374483190628325e-12,3.59989815734707e-14,good,degraded,good,good,newton,trust_region,newton,newton,0,337,0,0,none,global_fallback_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,210.0,0.0,-0.3,1.2227183859182047,2.715670425480168,0.46938893904828216,0.6672711113137225,1.2763527778294241e-9,5.506213813739905e-15,good,good,newton,newton,0,0,none,none,false,false,0,0,0.16248592596045422,0.16248592596045422,1.9196695653075524,ok,,,2026-04-17T04:48:23Z,2.3697720740928037,3.177962099090137,1.261501367158653,4.4190974941755545,1.8517408352364682,0.29299106352125803,0.46878133169604924,0.8172595219120662,2.4424906541753444e-15,0.009722837258873459,6.695646901505592e-11,6.38378239159465e-14,good,degraded,good,good,current,trust_region,newton,newton,0,336,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,215.0,0.0,-0.3,1.3795024415391204,2.7460314918066357,0.6025588963980969,0.7744631443702873,3.2761199092347006e-10,4.3135404229250124e-16,good,good,newton,newton,0,0,none,none,false,false,0,0,0.13323689978606437,0.1332368997860643,1.861824714160367,ok,,,2026-04-17T04:48:26Z,2.4194097227382745,3.1291817575957106,1.4023563132263084,4.333116469806236,1.9261557585268838,0.3637351810013485,0.6017064929534349,0.8651956158917399,2.0747292772682613e-15,0.012588855209771821,5.5654395154924874e-11,8.076872504148014e-14,good,degraded,good,good,current,trust_region,newton,newton,0,337,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,220.0,0.0,-0.3,1.5274234792270023,2.7701964350129673,0.739294994606392,0.8819513503097647,1.3403067544714986e-10,4.263578601282347e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,0.11277087611028093,0.11277087611028089,1.801163639607652,ok,,,2026-04-17T04:48:29Z,2.4686528535232144,3.0773794780137886,1.541979210986528,4.246035969954409,1.998380991153708,0.44002906182444823,0.7384938950182185,0.9211789892456544,1.4779844015322396e-15,0.015946490503212424,2.9024699310653546e-11,9.509060205914466e-14,good,degraded,good,good,current,trust_region,newton,newton,0,387,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,225.0,0.0,-0.3,1.668276452453217,2.791600834024764,0.8804973142770159,0.9934938011026508,6.850442435535342e-11,4.5618857028585035e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,0.09767658294301101,0.09767658294301099,1.7377961942462197,ok,,,2026-04-17T04:48:32Z,2.517680429669666,3.020936435783891,1.6780961367101739,4.158619770414945,2.070503028599131,0.5211163655700468,0.8797926111940856,0.9860079555496396,1.5612511283791264e-15,0.01983578853976318,1.930375304048937e-11,1.0857981180834031e-13,good,degraded,good,good,current,trust_region,newton,newton,0,386,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,230.0,0.0,-0.3,1.8032230501432533,2.812519440459589,1.0264182312557415,1.1109872967202097,3.8291370074716724e-11,5.460523810896234e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,0.08610452106367256,0.0861045210636725,1.6721566803664005,ok,,,2026-04-17T04:48:34Z,2.5667531879331755,2.9645426101331016,1.8101473185787917,4.072282056927635,2.1437995496280275,0.6152117328502573,1.0258041365286084,1.0605585911358655,1.5265566588595902e-15,0.024310672651520617,1.2316592190586562e-11,1.2273515537231106e-13,good,degraded,good,good,current,trust_region,newton,newton,0,386,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,235.0,0.0,-0.3,1.933010724875047,2.8346097625231534,1.1770054239406358,1.2353616523759834,2.298783385867864e-11,6.8010158615905425e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,0.07696828213215035,0.07696828213215046,1.6048924020203696,ok,,,2026-04-17T04:48:37Z,2.616171704204878,2.9048652884419104,1.9380682985687379,3.988807733570239,2.21925188395064,0.718777817150108,1.1764675828233875,1.1456346263206807,1.4641066137244252e-15,0.029632534150045353,7.953526726112159e-12,1.3702927681435995e-13,good,degraded,good,good,newton,trust_region,newton,newton,0,386,0,0,none,no_candidate_passed_constraints,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,240.0,0.0,-0.3,2.0581167103516673,2.85911899806562,1.332028043773428,1.3669197353873486,1.458322351766128e-11,9.595747302118824e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,0.06958721657809828,0.06958721657809824,1.5367907816888113,ok,,,2026-04-17T04:48:39Z,2.6662410009781707,2.893649181780088,2.0619189763966492,3.9101489434188843,2.29770832162838,0.9465215629246432,1.3315529833475586,1.2418466430357118,1.7555401576885288e-15,0.043166432602836556,5.2672866068803614e-12,1.4779844015322396e-13,good,degraded,good,good,current,trust_region,newton,newton,0,387,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,245.0,0.0,-0.3,2.1788482555797355,2.8869520319454054,1.4911452237108744,1.5055084639791487,9.656497823584687e-12,1.1102230246251565e-16,good,good,newton,newton,0,0,none,none,false,false,0,0,0.06351202952524823,0.06351202952524822,1.4687073333772975,ok,,,2026-04-17T04:48:41Z,2.717239236823296,2.8299135199089087,2.1817768613007154,3.838226577259899,2.3799243390643707,1.1086315876536124,1.490722095150784,1.3495123422116724,1.9637069748057456e-15,0.0535961951192694,3.5818292776212957e-12,1.484090628167678e-13,good,degraded,good,good,current,trust_region,newton,newton,0,387,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,250.0,0.0,-0.3,2.295414561444204,2.9186910603963963,1.6539585540755881,1.6506472546867632,6.616041048346233e-12,2.220446049250313e-16,good,good,newton,newton,0,0,none,none,false,false,0,0,0.05843323129893645,0.05843323129893645,1.4014902806966365,ok,,,2026-04-17T04:48:42Z,2.7693976641827187,2.9724606649898493,2.2977175170120674,3.774737993747052,2.4665753758418694,2.414185860672614,1.6535790421387482,1.468591589380599,2.7026991755718655e-15,0.031247134864460298,2.4965585154745895e-12,1.3383738561856262e-13,good,degraded,good,good,current,trust_region,newton,newton,0,387,0,0,joint_pair_objective_min,joint_pair_objective_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,255.0,0.0,-0.3,2.4079773129565014,2.954612792419481,1.820057236858794,1.8016506906193754,4.6631587480305825e-12,6.661338147750939e-16,good,good,newton,newton,0,0,none,none,false,false,0,0,0.05413010590246147,0.05413010590246147,1.3359105927201855,ok,,,2026-04-17T04:48:44Z,2.8228687582856007,2.9068508914075144,2.4098214590923224,3.7209979695748356,2.557994873607226,2.511518649946865,1.8197151763419328,1.5986714165270497,3.1910238340593367e-15,0.014346320874685549,1.7797430196253572e-12,1.0430545316353346e-13,good,bad,good,good,newton,trust_region,newton,newton,0,337,0,0,none,global_fallback_min,none,none,false,true,false,false,0,306,0,0
20260417T044725_49da00e9,260.0,0.0,-0.3,2.5166832410636633,2.9947226692434628,1.9890544788556257,1.9577460253703292,3.3704150581570502e-12,1.1102230246251565e-15,good,good,newton,newton,0,0,none,none,false,false,0,0,0.050440790785707026,0.050440790785706964,1.27260887850604,ok,,,2026-04-17T04:48:45Z,2.9272410036661975,2.877647441631957,2.518185896570149,3.677840678086257,1.2804498525800123,2.6547245175289143,1.9887463763771724,1.7390058090603218,8.821807881420618e-9,1.7687240561059525e-14,1.2929657344784573e-12,6.794564910705958e-14,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,120.0,0.0,-0.15,0.6838363372397666,2.5219455085264904,2.3381842200798954e-10,0.0,9.548584145591121e-12,6.2910787690384495e-12,good,good,newton,newton,0,0,none,none,false,false,0,0,1.86134155817942,1.86134155817942,2.7835639820544227,ok,,,2026-04-17T04:48:45Z,2.6082499761816416,4.851009026434501,3.6897150552983033,6.070293334268333,1.920700126519675e-10,1.3592934070113634,0.0,0.9727797156779954,5.120404100722453e-12,9.698908343125368e-13,5.592526441944301e-12,1.6653345369377348e-15,good,good,good,good,newton,newton,newton,newton,0,0,0,18,none,none,none,mixed_branch_score_min,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,125.0,0.0,-0.15,0.6837503431802816,2.5218718654258567,3.0414482089021685e-14,0.0,2.5752755483665624e-10,3.0699776054632366e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8603066938387631,1.8603066938387631,2.782940319630442,ok,,,2026-04-17T04:48:45Z,2.607972839858265,4.849512201939615,3.687695617495797,6.069033867909011,3.578465406145876e-14,1.3584087877245647,0.0,0.9724370548781798,1.4124231645373797e-9,8.247569294184132e-14,2.4732854653208847e-11,4.760081218080359e-15,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260417T044725_49da00e9,130.0,0.0,-0.15,0.683618332598244,2.5217537332482047,6.074191410552475e-18,0.0,6.074574177006298e-10,7.909264354566403e-10,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8587587340218432,1.8587587340218432,2.7819961862174147,ok,,,2026-04-17T04:48:45Z,2.607543257128117,4.84725869363199,3.6846754570085474,6.06713017134602,1.0344433775091572e-17,1.3570754389590196,0.0,0.9719354167883919,3.4037775098472167e-9,4.2164882696482664e-13,1.2612269562062295e-10,2.8047009159593017e-14,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
