xi,mu_MeV,T_MeV,rho,cep_mu_proxy_MeV,cep_mu_source,filter_status
-0.5,221.04914914144055,145.00776405003788,3.2243459136938593,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.5,243.15406405558457,145.00776405003788,3.9731525223340314,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.5,265.2589789697287,145.00776405003788,4.78644349957527,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.5,287.3638938838727,145.00776405003788,5.718253368374157,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.5,309.46880879801677,145.00776405003788,6.810299004971479,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.5,331.5737237121608,145.00776405003788,8.120735285544436,202.33883159063282,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,221.65816087079344,145.00776405003788,3.177174011863055,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,243.82397695787282,145.00776405003788,3.9289177702647295,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,265.98979304495214,145.00776405003788,4.737139805479622,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,288.1556091320315,145.00776405003788,5.661656857145067,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,310.32142521911084,145.00776405003788,6.744003733996656,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4875,332.4872413061902,145.00776405003788,8.041114681834138,205.4752329298986,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,222.38763627521598,145.00776405003788,3.1343588897267587,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,244.62639990273755,145.00776405003788,3.8910479905474533,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,266.86516353025917,145.00776405003788,4.6956737791048235,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,289.1039271577808,145.00776405003788,5.614776621599997,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,311.34269078530235,145.00776405003788,6.689959747150607,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.475,333.581454412824,145.00776405003788,7.977263696468794,208.70302471139712,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,222.71338362170906,145.00776405003788,3.1114404926323758,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,244.98472198388,145.00776405003788,3.871273282336599,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,267.2560603460509,145.00776405003788,4.673921587047528,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,289.52739870822177,145.00776405003788,5.590017773960716,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,311.79873707039275,145.00776405003788,6.661206824792352,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.46875,334.0700754325636,145.00776405003788,7.943045622602938,210.1999886145935,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,222.96866696244996,145.00776405003788,3.085662228480978,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,245.26553365869495,145.00776405003788,3.8492647288009305,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,267.56240035493994,145.00776405003788,4.6494554072621055,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,289.8592670511849,145.00776405003788,5.5618365128184575,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,312.1561337474299,145.00776405003788,6.628067576866991,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4625,334.4530004436749,145.00776405003788,7.903119346990994,211.6782842710092,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,223.35476109020505,145.00776405003788,3.0646043283341604,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,245.69023719922552,145.00776405003788,3.8325499960602545,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,268.02571330824605,145.00776405003788,4.6314668782930655,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,290.36118941726653,145.00776405003788,5.541740229497115,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,312.696665526287,145.00776405003788,6.605185911101931,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45625,335.03214163530754,145.00776405003788,7.876444538418823,213.13842596736504,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,223.67053881912486,145.00776405003788,3.040496804850643,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,246.03759270103734,145.00776405003788,3.813581320406386,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,268.40464658294985,145.00776405003788,4.610743941271621,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,290.7717004648623,145.00776405003788,5.518197660190319,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,313.13875434677476,145.00776405003788,6.5778886909966,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.45,335.5058082286873,145.00776405003788,7.844024288794962,214.58090311276464,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,224.17686575179707,145.00776405003788,2.9852691279926176,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,246.59455232697678,145.00776405003788,3.772085476160509,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,269.0122389021565,145.00776405003788,4.565053604265984,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,291.42992547733616,145.00776405003788,5.465745903560678,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,313.8476120525159,145.00776405003788,6.516392125871836,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4375,336.2652986276956,145.00776405003788,7.770185289449863,217.58023890759063,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,224.90246000645843,142.92360627814153,1.7917744758592893,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,247.39270600710424,141.00809095740786,3.4301260625317886,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,269.8829520077501,141.00809095740786,4.203156581457092,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,292.37319800839595,141.00809095740786,5.063340623047628,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,314.86344400904176,141.00809095740786,6.060615150900183,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.425,337.3536900096876,141.00809095740786,7.247515445857681,220.3465222325703,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,225.50058254716,143.35725528140733,2.4572058530707275,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,248.05064080187603,141.00809095740786,3.395013418425498,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,270.600699056592,141.00809095740786,4.167593576262291,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,293.15075731130804,141.00809095740786,5.0235166837135505,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,315.700815566024,141.00809095740786,6.014859531726434,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4125,338.25087382074,141.00809095740786,7.193612863033867,223.05083868165676,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,226.0594437138264,143.79472431657575,2.31663681589022,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,248.66538808520906,141.00809095740786,3.359284353035478,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,271.27133245659167,141.00809095740786,4.131819265841449,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,293.87727682797436,141.00809095740786,4.983399062254582,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,316.48322119935693,141.00809095740786,5.968641448962296,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.4,339.0891655707396,141.00809095740786,7.139018598182101,225.69615128408822,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3875,249.32979740805465,141.00809095740786,3.3260015532515395,228.44206297683934,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3875,271.99614262696866,141.00809095740786,4.099343818110257,228.44206297683934,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3875,294.6624878458827,141.00809095740786,4.947327060377773,228.44206297683934,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3875,317.32883306479675,141.00809095740786,5.927441681463002,228.44206297683934,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3875,339.99517828371086,141.00809095740786,7.090803325951047,228.44206297683934,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.375,249.9519370099733,141.00809095740786,3.2918885089075682,230.97541004821028,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.375,272.6748403745163,141.00809095740786,4.0665512830328066,230.97541004821028,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.375,295.3977437390593,141.00809095740786,4.910843509727736,230.97541004821028,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.375,318.1206471036024,141.00809095740786,5.885638815626793,230.97541004821028,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.375,340.8435504681454,141.00809095740786,7.041719186486915,230.97541004821028,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3625,250.53246001169816,141.00809095740786,3.2567960830161016,233.4574160543056,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3625,273.3081381945798,141.00809095740786,4.033422756380445,233.4574160543056,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3625,296.08381637746146,141.00809095740786,4.87393918176666,233.4574160543056,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.3625,318.8594945603431,141.00809095740786,5.843229251550586,233.4574160543056,muq_last_first_order_MeV,excluded_response_peak_above_CEP
