xi,method,calculation_sha,anchor_T_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,331.5505602466334,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,322.2141648444237,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,294.0528896355364,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.0,ambiguous,false,130.0,245.5925407029007,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.0947265625,ambiguous,false,147.0947265625,202.24673663492905,NaN,NaN,0.125,ambiguous,,ambiguous,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
-0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,ambiguous,confirmed_first_order,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,360.39784304787133,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,353.4343584491875,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,331.2714274236549,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,ambiguous,false,120.0,308.60458458322216,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.9619140625,ambiguous,false,130.9619140625,291.2621803649386,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.0,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,378.938538500733,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,378.4644988096019,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,372.80976224202766,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,90.0,ambiguous,false,90.0,360.7664939982558,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,354.1079947780863,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,106.9599609375,ambiguous,false,106.9599609375,348.3790223062989,NaN,NaN,0.125,ambiguous,,ambiguous,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
0.5,independent_oracle,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125,not_found,,not_found,standard
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,322.2136953673357,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,294.05282944972663,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.0,ambiguous,false,130.0,245.59254633720363,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.0947265625,ambiguous,false,147.0947265625,202.2467365305761,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
-0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,353.43426783108384,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,331.2714172604834,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,ambiguous,false,120.0,308.6045851999012,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.9619140625,ambiguous,false,130.9619140625,291.26218104103003,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,378.9384984731856,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,378.4644575212865,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,372.80974794603776,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,90.0,ambiguous,false,90.0,360.76648682398786,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,354.1079949180489,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,106.9599609375,ambiguous,false,106.9599609375,348.37902189967997,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,memoized_dense,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,331.57372371262966,NaN,NaN,0.125,,,,
