# schema: xs_vs_s_by_process_v1
# T_MeV: 160.0
# muB_MeV: 0.0
# xi: 0.0
# n_points: 64
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 80.0
# n_threshold: 180
# sqrt_tail_max_mev: 1100.0
# n_tail: 240
process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001,13.2290510146968,717.7130049982387,0.06240769545127235,256.757837293537
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001065102892679065,13.229053414679862,717.7130701011314,0.062407717217845125,256.7576581894959
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001134444171993311,13.229055970909004,717.7131394424107,0.062407742984444264,256.75744617188485
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.0012082997691729822,13.229058693556325,717.7132132980079,0.06240777297414328,256.75719940529433
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.00128696357936959,13.229061593456175,717.7132919618181,0.062407807441565315,256.7569157947439
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001370748631159154,13.229064682148243,717.7133757468699,0.062407846625912165,256.75659337218235
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001459988332183482,13.229067971923493,717.7134649865709,0.06240789081521802,256.7562297677897
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.0015550377958863106,13.229071475873083,717.7135600360347,0.06240794029773369,256.7558226100125
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.001656275254623787,13.229075207940431,717.7136612734934,0.06240799539775682,256.7553692307482
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.0017641035647725488,13.22907918297674,717.7137691018036,0.06240805644645292,256.75486690544807
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.0018789518098246921,13.229083416800066,717.7138839500485,0.062408123817884326,256.75431255667075
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.002001277007848844,13.229087926258286,717.7140062752466,0.06240819790071118,256.75370298694656
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.0021315659301119057,13.229092729296125,717.7141365641688,0.062408279102575924,256.7530348427132
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.002270337038098333,13.229097845026581,717.7142753352769,0.06240836787099843,256.7523044424016
ud_to_ud,160.0,0.0,0.0,u,d,u,d,1.8185855870884209,1.8185855870884213,1.8185855870884209,1.8185855870884213,13.22901415026295,717.7120049982387,0.002418142546634955,13.229103293806974,717.7144231407854,0.06240846468317675,256.7515078603762
