T_MeV,mu_transition_MeV,rho_hadron,rho_quark,area_residual,converged
50.0,356.46420978050423,0.08477826673046687,2.5914334542623525,4.3970000605738496e-5,true
55.0,355.1317877632205,0.09900075257697383,2.558993808120822,4.780090777700631e-5,true
60.0,353.6220418795009,0.12305815677750048,2.5355318098638553,2.7174702891728797e-5,true
65.0,351.91042875297194,0.14520833110295428,2.519673990540556,1.6995443715954288e-5,true
70.0,349.9642972647689,0.17433765616370334,2.5101236960696798,6.398930080258269e-5,true
75.0,347.7519902204531,0.20433347712912328,2.5057061039472486,2.2109685249951916e-5,true
80.0,345.23663510488046,0.24195016195187125,2.5054733398817786,1.787735354464036e-5,true
85.0,342.3771382488633,0.28541179604691547,2.5086000293975044,9.185016781187842e-5,true
90.0,339.13005398899816,0.33570186338714814,2.514332041652243,4.321174934767682e-5,true
95.0,335.44746185534694,0.39450684119266166,2.5217865379955753,7.028747773060555e-5,true
100.0,331.2778390772155,0.4662125078482251,2.529769731921949,2.7917207179983805e-5,true
105.0,326.56654364479783,0.5508824091469788,2.536417517605901,1.0229103752631974e-5,true
110.0,321.2559057748856,0.6567087088802596,2.5384955556227564,8.12276477270904e-5,true
115.0,315.2878479380847,0.7894522156739254,2.5303761110110923,7.271905467526058e-5,true
120.0,308.60603548607224,0.9630266314524866,2.503067586504368,7.923392269998305e-5,true
125.0,301.16381259460917,1.2084883869804768,2.428697882635297,4.0428855543114123e-7,true
130.0,292.93733808344933,1.6525719760622029,2.1980098892615074,8.714667480434085e-5,true
