mode_key,mode,scan_rows,diagnostic_rows,failed_rows,xi_count,scan_sha256,diagnostics_sha256,failed_sha256,manifest_sha256,effective_config_sha256,calculation_sha,workflow_head_sha,source_solver_called,derived_solver_called
mode_a,mode_a_fixed_muB_phase_scaled,910,38220,0,103,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,6eaf02101e330762569d028fe1398c94184e243ea6d7e39a8db69718a6e4e246,f95962de51e1300bec4e4cc44d09c43a38facc2c3445f9343de29fa13ebba123,3d0a91170a62f570e119d1189d8e79526c008a1a77a94464772d53c3ca9e5f72,426f5fd061fe217c4a2f277fb155713a0fe9599494ee54b750278e50bee75cd6,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571,True,False
mode_b,mode_b_fixed_T_sparse_muB,909,38178,0,101,3b73b937f1f09cf7112b3a42219088f98b852e5ef0354174b66f71823f7bb29c,ada5d7c204a02e705cfbb5744bedbcc68158d54cce55faa0c8b92d0ba50d0d0f,f95962de51e1300bec4e4cc44d09c43a38facc2c3445f9343de29fa13ebba123,093ff05502f63515ac70b1a3e992971ecbc649c343bc7e591fa4fb1b8fc54921,283b7fcc1737dc5d594258d4f7ca2aaabd93f33975b9861f1fa27012e6487668,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571,True,False
