kind,xi,muB_MeV,T_MeV,variable,curve_parameter,plot_order_key,source_csv
crossover,0.3,523.861598382,184.97056094,phi_u,174.620532794,174.620532794,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,589.34429818,178.401150062,phi_u,196.448099393,196.448099393,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,654.826997977,170.966460681,phi_u,218.275665992,218.275665992,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,720.309697775,162.796647235,phi_u,240.103232592,240.103232592,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,785.792397573,154.07549074,phi_u,261.930799191,261.930799191,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,851.27509737,144.537448544,phi_u,283.75836579,283.75836579,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,916.757797168,133.23643695,phi_u,305.585932389,305.585932389,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,982.240496966,118.424510529,phi_u,327.413498989,327.413498989,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
first_order,-0.3,1032.30278089,30,mu_transition_MeV,30,30,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1030.06541361,35,mu_transition_MeV,35,35,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1027.41616123,40,mu_transition_MeV,40,40,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1024.29409914,45,mu_transition_MeV,45,45,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1020.62880524,50,mu_transition_MeV,50,50,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1016.34252004,55,mu_transition_MeV,55,55,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1011.36591694,60,mu_transition_MeV,60,60,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1005.66737829,65,mu_transition_MeV,65,65,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,999.134398212,70,mu_transition_MeV,70,70,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,991.652230322,75,mu_transition_MeV,75,75,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,983.11859509,80,mu_transition_MeV,80,80,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,973.389251521,85,mu_transition_MeV,85,85,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,962.325725689,90,mu_transition_MeV,90,90,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,949.77179929,95,mu_transition_MeV,95,95,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,935.558606499,100,mu_transition_MeV,100,100,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,919.509310094,105,mu_transition_MeV,105,105,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,901.438475434,110,mu_transition_MeV,110,110,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,881.158877094,115,mu_transition_MeV,115,115,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,858.485248092,120,mu_transition_MeV,120,120,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,833.250494419,125,mu_transition_MeV,125,125,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,805.332579806,130,mu_transition_MeV,130,130,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,774.715705188,135,mu_transition_MeV,135,135,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,741.596018817,140,mu_transition_MeV,140,140,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1078.80518591,35,mu_transition_MeV,35,35,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1076.05543191,40,mu_transition_MeV,40,40,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1072.9226464,45,mu_transition_MeV,45,45,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1069.39262934,50,mu_transition_MeV,50,50,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1065.39536329,55,mu_transition_MeV,55,55,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1060.86612564,60,mu_transition_MeV,60,60,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1055.73128626,65,mu_transition_MeV,65,65,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1049.89289179,70,mu_transition_MeV,70,70,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1043.25597066,75,mu_transition_MeV,75,75,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1035.70990531,80,mu_transition_MeV,80,80,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1027.13141475,85,mu_transition_MeV,85,85,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1017.39016197,90,mu_transition_MeV,90,90,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,1006.34238557,95,mu_transition_MeV,95,95,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,993.833517232,100,mu_transition_MeV,100,100,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,979.699630934,105,mu_transition_MeV,105,105,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,963.767717325,110,mu_transition_MeV,110,110,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,945.863543814,115,mu_transition_MeV,115,115,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,925.818106458,120,mu_transition_MeV,120,120,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,903.491437784,125,mu_transition_MeV,125,125,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0,878.81201425,130,mu_transition_MeV,130,130,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1114.78262852,35,mu_transition_MeV,35,35,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1112.23256574,40,mu_transition_MeV,40,40,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1109.35733484,45,mu_transition_MeV,45,45,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1106.12083731,50,mu_transition_MeV,50,50,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1102.48210326,55,mu_transition_MeV,55,55,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1098.37436947,60,mu_transition_MeV,60,60,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,0.3,1093.72736896,65,mu_transition_MeV,65,65,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
