q_inv_fm,weight,band,order,density,bound,landau,pair,root_count,negative_root_count,topology_evaluated,omega_tail
8.079420287004927,0.20245707258075143,tail1,8,3.779501225911752e-9,0.0,3.792859539888738e-9,-1.335831397698521e-11,0,0,false,7.596289230204922e-15
8.406667045172746,0.44476206890674924,tail1,8,3.158584807181783e-9,0.0,3.168208009127004e-9,-9.623201945221082e-12,0,0,false,5.550532672312189e-15
8.948935180167343,0.6274132917557749,tail1,8,2.279130034858883e-9,0.0,2.2846909611397825e-9,-5.56092628089956e-12,0,0,false,3.2785328842302736e-15
9.6331307150087,0.7253675667567239,tail1,8,1.4442036960579002e-9,0.0,1.4469659219354449e-9,-2.7622258775446718e-12,0,0,false,1.6698030985669522e-15
10.3668692849913,0.7253675667567239,tail1,8,8.454618200970551e-10,0.0,8.467554371408582e-10,-1.29361704380306e-12,0,0,false,8.008811494490563e-16
11.051064819832657,0.6274132917557749,tail1,8,4.951239513071439e-10,0.0,4.957573927533256e-10,-6.334414461816848e-13,0,0,false,4.0001346959287207e-16
11.593332954827254,0.44476206890674924,tail1,8,3.1732962904975775e-10,0.0,3.176878793450682e-10,-3.5825029531045637e-13,0,0,false,2.29473653708593e-16
11.920579712995073,0.20245707258075143,tail1,8,2.4072322990554325e-10,0.0,2.409768161532383e-10,-2.5358624769502734e-13,0,0,false,1.6374077569869675e-16
12.079420287004927,0.20245707258075143,tail2,8,2.1010015968674765e-10,0.0,2.1031450379552008e-10,-2.1434410877243598e-13,0,0,false,1.3892257828670177e-16
12.406667045172746,0.44476206890674924,tail2,8,1.5814058865127141e-10,0.0,1.5829206205738808e-10,-1.5147340611668065e-13,0,0,false,9.89092213756961e-17
12.948935180167343,0.6274132917557749,tail2,8,9.774458062806331e-11,0.0,9.782959765561347e-11,-8.501702755015432e-14,0,0,false,5.61622492060635e-17
13.6331307150087,0.7253675667567239,tail2,8,5.239943555234331e-11,0.0,5.2440304388372086e-11,-4.086883602877148e-14,0,0,false,2.736283631437891e-17
14.3668692849913,0.7253675667567239,tail2,8,2.638094126645626e-11,0.0,2.6399493136285546e-11,-1.8551869829284017e-14,0,0,false,1.2584520324126288e-17
15.051064819832657,0.6274132917557749,tail2,8,1.37154931108628e-11,0.0,1.3724343455476813e-11,-8.850344614012564e-15,0,0,false,6.070722404189997e-18
15.593332954827254,0.44476206890674924,tail2,8,8.097647798005343e-12,0.0,8.102559210720045e-12,-4.911412714700812e-15,0,0,false,3.3965160927841706e-18
15.920579712995073,0.20245707258075143,tail2,8,5.872469294030851e-12,0.0,5.875908523248263e-12,-3.4392292174117586e-15,0,0,false,2.3895680636917665e-18
