xi,method,calculation_sha,source_job,curve_file,curve_sha256,raw_curve_copy_in_repository
-0.5,independent_oracle,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-independent_oracle-xi--0.5,curve_points.csv,0c1f374bcbfe1ae4e5e3cb6ecf62dbb3e44b33fe6ea102b2ba4b510a0ffa7431,False
0.0,independent_oracle,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-independent_oracle-xi-0.0,curve_points.csv,611d07caae5799e17a43554a1dd6f5f23394e9717cbfa1b1f848d57437baac90,False
0.5,independent_oracle,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-independent_oracle-xi-0.5,curve_points.csv,157a4f2522ecff0c583b0a8f88943ed2c331aaf83b61eb7f8b81d880867282ec,False
-0.5,memoized_dense,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-memoized_dense-xi--0.5,curve_points.csv,06a5039d4df4a174b46073ffe720a95d11a5b0ea8508c66d075b9c572c22f5ba,False
0.0,memoized_dense,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-memoized_dense-xi-0.0,curve_points.csv,95aa666cfbf01276157156bdc5b56984c1018beaa3a1998b34291f3e288e4705,False
0.5,memoized_dense,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-memoized_dense-xi-0.5,curve_points.csv,2e6bb22adaeb9c123a3e5c976e4a549a50b600bc0b4469036d11386f218bc46b,False
-0.5,production_hybrid,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-production_hybrid-xi--0.5,curve_points.csv,5ee2780b16bda44fe0cd24315ddaf3c9c3cdeeb79cfbb41772dd228d62c302a1,False
0.0,production_hybrid,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-production_hybrid-xi-0.0,curve_points.csv,da386decb46c9d953068d6b5252c7e180a99e40c23eff5e2ed86f25c1e83a866,False
0.5,production_hybrid,4c9703c3be45b76608ab57d375082e29418bfd05,job-artifacts/cep-maxwell-endpoint-local-production-shadow-production_hybrid-xi-0.5,curve_points.csv,d8fee3f81bf59939b29bdfdc0ce550741fd603bc9090bf2201cd764e81226424,False
