T_MeV,mu_low_MeV,mu_high_MeV,xi
50.0,359.28733150000005,373.8200905,0.2
60.0,356.20455,370.18836999999996,0.2
70.0,353.075545,366.28531250000003,0.2
80.0,349.4696815,360.336791,0.2
90.0,307.4723755,351.90017550000005,0.2
100.0,338.86141150000003,344.053923,0.2
110.0,330.82444799999996,333.358304,0.2
120.0,320.0987035,320.452407,0.2
120.5,319.47377800000004,319.744819,0.2
121.0,318.838503,319.03977999999995,0.2
121.5,318.19269599999996,318.3263435,0.2
122.0,317.534803,317.6126305,0.2
122.5,316.86454749999996,316.90042100000005,0.2
123.0,316.178724,316.1824725,0.2
123.0625,316.091993,316.09499700000003,0.2
123.09375,316.0481325,316.04835249999996,0.2
123.1015625,316.037055,316.03734099999997,0.2
