T_MeV,xi,status,mu_coex_MeV,rho_gas,rho_liquid,area_residual,iterations,reason
50.0,0.2,success,365.0055892037908,0.13167025343557862,2.45572863099443,5.550727591709738e-5,9,
60.0,0.2,success,362.3127537609963,0.18221755150430372,2.409105488990582,4.431290827626574e-6,10,
70.0,0.2,success,358.88078774387645,0.24729358175985985,2.385424326320738,8.41320057127868e-5,10,
80.0,0.2,success,354.4668121082981,0.3330063675190329,2.376092142044269,7.11901942631512e-5,8,
90.0,0.2,success,322.62875983514084,0.3853057666768378,1.4188797437856666,8.352053910301582e-5,11,
100.0,0.2,success,341.45750659379723,0.6121237995582551,2.3670095298990224,6.264827114449423e-5,9,
110.0,0.2,success,332.10438997742455,0.8607403870034369,2.329571184970139,2.2008234530149218e-5,8,
120.0,0.2,success,320.2739851450893,1.329925805264949,2.1470656034642843,9.126765168611474e-6,5,
120.5,0.2,success,319.60983231150794,1.3696320414448058,2.1240697662029144,4.740177555590043e-5,3,
121.0,0.2,success,318.93854841369046,1.413533025384984,2.0974502838501716,9.121141085322302e-6,4,
121.5,0.2,success,318.2600421607143,1.4628942614550657,2.0656440293254494,4.751081901044114e-5,2,
122.0,0.2,success,317.5740176527778,1.5200482315716948,2.0258653013010863,2.6907708945350116e-5,2,
122.5,0.2,success,316.88060238888886,1.5911802226482754,1.97192019400346,9.715508397528021e-5,0,
123.0,0.2,success,316.1797517539682,1.6984328992441262,1.8721825881345393,9.600081960778576e-5,0,
123.0625,0.2,failure,,,,,0,no_sign_change
123.09375,0.2,success,316.0481875,1.74946505958811,1.8169886363606929,4.009335493255375e-6,0,
123.1015625,0.2,failure,,,,,0,no_sign_change
123.109375,0.2,failure,,,,,0,no_s_shape
123.125,0.2,failure,,,,,0,no_s_shape
123.25,0.2,failure,,,,,0,no_s_shape
123.5,0.2,failure,,,,,0,no_s_shape
124.0,0.2,failure,,,,,0,no_s_shape
124.5,0.2,failure,,,,,0,no_s_shape
125.0,0.2,failure,,,,,0,no_s_shape
125.5,0.2,failure,,,,,0,no_s_shape
126.0,0.2,failure,,,,,0,no_s_shape
126.5,0.2,failure,,,,,0,no_s_shape
127.0,0.2,failure,,,,,0,no_s_shape
127.5,0.2,failure,,,,,0,no_s_shape
128.0,0.2,failure,,,,,0,no_s_shape
128.5,0.2,failure,,,,,0,no_s_shape
129.0,0.2,failure,,,,,0,no_s_shape
129.5,0.2,failure,,,,,0,no_s_shape
130.0,0.2,failure,,,,,0,no_s_shape
130.2,0.2,failure,,,,,0,no_s_shape
130.4,0.2,failure,,,,,0,no_s_shape
130.5,0.2,failure,,,,,0,no_s_shape
130.6,0.2,failure,,,,,0,no_s_shape
130.8,0.2,failure,,,,,0,no_s_shape
131.0,0.2,failure,,,,,0,no_s_shape
131.2,0.2,failure,,,,,0,no_s_shape
131.4,0.2,failure,,,,,0,no_s_shape
131.5,0.2,failure,,,,,0,no_s_shape
131.6,0.2,failure,,,,,0,no_s_shape
131.8,0.2,failure,,,,,0,no_s_shape
132.0,0.2,failure,,,,,0,no_s_shape
132.5,0.2,failure,,,,,0,no_s_shape
133.0,0.2,failure,,,,,0,no_s_shape
133.5,0.2,failure,,,,,0,no_s_shape
134.0,0.2,failure,,,,,0,no_s_shape
134.5,0.2,failure,,,,,0,no_s_shape
135.0,0.2,failure,,,,,0,no_s_shape
135.5,0.2,failure,,,,,0,no_s_shape
136.0,0.2,failure,,,,,0,no_s_shape
136.5,0.2,failure,,,,,0,no_s_shape
137.0,0.2,failure,,,,,0,no_s_shape
137.5,0.2,failure,,,,,0,no_s_shape
138.0,0.2,failure,,,,,0,no_s_shape
138.5,0.2,failure,,,,,0,no_s_shape
139.0,0.2,failure,,,,,0,no_s_shape
139.5,0.2,failure,,,,,0,no_s_shape
140.0,0.2,failure,,,,,0,no_s_shape
140.5,0.2,failure,,,,,0,no_s_shape
141.0,0.2,failure,,,,,0,no_s_shape
141.5,0.2,failure,,,,,0,no_s_shape
142.0,0.2,failure,,,,,0,no_s_shape
142.5,0.2,failure,,,,,0,no_s_shape
143.0,0.2,failure,,,,,0,no_s_shape
143.5,0.2,failure,,,,,0,no_s_shape
144.0,0.2,failure,,,,,0,no_s_shape
144.5,0.2,failure,,,,,0,no_s_shape
145.0,0.2,failure,,,,,0,no_s_shape
145.5,0.2,failure,,,,,0,no_s_shape
146.0,0.2,failure,,,,,0,no_s_shape
146.5,0.2,failure,,,,,0,no_s_shape
147.0,0.2,failure,,,,,0,no_s_shape
147.5,0.2,failure,,,,,0,no_s_shape
148.0,0.2,failure,,,,,0,no_s_shape
148.5,0.2,failure,,,,,0,no_s_shape
149.0,0.2,failure,,,,,0,no_s_shape
149.5,0.2,failure,,,,,0,no_s_shape
150.0,0.2,failure,,,,,0,no_s_shape
160.0,0.2,failure,,,,,0,no_s_shape
170.0,0.2,failure,,,,,0,no_s_shape
180.0,0.2,failure,,,,,0,no_s_shape
190.0,0.2,failure,,,,,0,no_s_shape
200.0,0.2,failure,,,,,0,no_s_shape
