xi,T_maxwell_max_MeV,T_crossover_min_MeV,delta_T_crossover_minus_maxwell_MeV,overlap_in_T,interpretation
0.25,117.0,121.12633179431693,4.1263317943169255,False,diagnostic endpoint separation; not a phase certificate
0.2625,117.0,121.31202112386289,4.312021123862891,False,diagnostic endpoint separation; not a phase certificate
0.275,117.0,121.51669485437945,4.516694854379452,False,diagnostic endpoint separation; not a phase certificate
0.2875,117.0,121.85735610744473,4.85735610744473,False,diagnostic endpoint separation; not a phase certificate
0.3,117.0,121.89756571395658,4.897565713956581,False,diagnostic endpoint separation; not a phase certificate
0.30625,117.0,121.99334362999349,4.99334362999349,False,diagnostic endpoint separation; not a phase certificate
0.3125,116.5,122.09203584081979,5.59203584081979,False,diagnostic endpoint separation; not a phase certificate
0.31875,117.0,122.17903295953944,5.179032959539441,False,diagnostic endpoint separation; not a phase certificate
0.325,117.0,122.27843657353371,5.27843657353371,False,diagnostic endpoint separation; not a phase certificate
0.3375,113.0,122.46569655736401,9.465696557364012,False,diagnostic endpoint separation; not a phase certificate
0.35,113.0,122.65136728119556,9.651367281195562,False,diagnostic endpoint separation; not a phase certificate
0.3625,113.0,122.83213756006116,9.832137560061156,False,diagnostic endpoint separation; not a phase certificate
0.375,113.0,123.00800739396074,10.008007393960739,False,diagnostic endpoint separation; not a phase certificate
0.38125,113.0,123.10084275587653,10.100842755876528,False,diagnostic endpoint separation; not a phase certificate
0.3875,113.0,123.18993451095827,10.189934510958267,False,diagnostic endpoint separation; not a phase certificate
0.39375,113.0,123.27671258977608,10.276712589776082,False,diagnostic endpoint separation; not a phase certificate
0.4,112.5,123.36886053007359,10.86886053007359,False,diagnostic endpoint separation; not a phase certificate
0.4125,109.0,123.54470110353579,14.544701103535786,False,diagnostic endpoint separation; not a phase certificate
0.425,109.0,123.7160005654236,14.716000565423599,False,diagnostic endpoint separation; not a phase certificate
0.43125,109.0,123.80551181207822,14.805511812078223,False,diagnostic endpoint separation; not a phase certificate
0.4375,109.0,123.89116154302212,14.891161543022122,False,diagnostic endpoint separation; not a phase certificate
0.44375,109.0,123.97681127396605,14.97681127396605,False,diagnostic endpoint separation; not a phase certificate
0.45,109.0,124.06246100490993,15.062461004909935,False,diagnostic endpoint separation; not a phase certificate
0.4625,109.0,124.2275124031298,15.227512403129793,False,diagnostic endpoint separation; not a phase certificate
0.475,105.0,124.39895507027914,19.398955070279143,False,diagnostic endpoint separation; not a phase certificate
0.4875,105.0,124.56904620584922,19.56904620584922,False,diagnostic endpoint separation; not a phase certificate
0.5,105.0,124.73515791683195,19.73515791683195,False,diagnostic endpoint separation; not a phase certificate
