target_id,xi,T_MeV,hybrid_status,oracle_status,classification_match,hybrid_candidate_count,oracle_candidate_count,hybrid_crossing_count,oracle_crossing_count,hybrid_geometry_converged,oracle_geometry_converged,hybrid_position_error_MeV,hybrid_density_error,hybrid_area_residual,oracle_position_error_MeV,oracle_density_error,oracle_area_residual,finite_and_converged,file,local_rho_low,local_rho_high,local_mu_low,local_mu_high,hybrid_crossings,oracle_crossings,source_run_id,calculation_sha,source_hybrid_curve_sha256,source_oracle_curve_sha256
xi_0p00_T51,0.0,51.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0013803056450569784,0.004972162460112006,6.761082341524805e-7,0.00013385354890260714,2.4668432568764054e-5,1.1462168074612177e-6,True,rho_mu_xi_0p00_T51_local_audit.png,0.0,2.917718251146477,340.14857373732815,373.1224249029734,"[0.08149576188828467, 1.1951815360568425, 2.485070924323857]","[0.0814964816620811, 1.1951765528382743, 2.4850741328831223]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd,29db61e801b9c635c0118cb07623ae66c5e23f0e278d40f5226eeb83ea2b3c66
xi_0p30_T21,0.3,21.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0008258728877308386,0.0047013526929244875,3.1165135003434854e-6,0.00010845518352198269,3.3461426216546686e-5,5.224511368566513e-7,True,rho_mu_xi_0p30_T21_local_audit.png,0.0,2.746703164243347,361.48269512615093,383.7179293267485,"[0.04904623224157492, 1.1050258050886796, 2.335192967379739]","[0.04904696252410014, 1.1050198055686316, 2.335196165343632]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,6023bd9eb36600fdd5f3b9290821de1c29d4d8682f91988cda20229bb687ee75,a50fc8009ae24919c31e59de1b61f7076cc63f8b85c7cf2a8a0c9ee91f99d06a
xi_0p35_T101,0.35,101.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0002758972868832643,0.004094778409826638,3.7288708807337866e-6,8.783889029473357e-7,1.9359212493186284e-5,4.883501186851297e-6,True,rho_mu_xi_0p35_T101_local_audit.png,0.5369615288976676,2.448033630569216,345.85667627388176,348.76908381759296,"[0.7898975476331643, 1.4900264850519078, 2.1950975857677886]","[0.7898975423541961, 1.4900264971824713, 2.195097580086357]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,e98bf0e68c45601ee237a83a03ad32e7aba7ac336ab71a611b72156942041917,22371a2dfbb35292b18623d2794018fc694e9185f9af4aef20eace6da16aebe6
xi_0p35_T51,0.35,51.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0006301703769509004,0.004329123580818717,1.7694943938179849e-6,4.0063398500933545e-5,2.931363849667523e-5,1.5612633431474603e-6,True,rho_mu_xi_0p35_T51_local_audit.png,0.0,2.660254869303438,362.3906420114202,377.95530658919233,"[0.18349282477480292, 1.1754241452188408, 2.282442371191881]","[0.18349341568417546, 1.1754215098701528, 2.2824437093222354]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,b0c9c1fa1cacac532fd17620a367a313f7fb57204a6d0976b59e36cad815bd59,303ae5d96ed89a4d9e144e844961ca10d7c5fab5d070ff1856fbfad3adcb20ac
xi_m0p10_T41,-0.1,41.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0011678219050281768,0.002853560465181537,5.6791458349522815e-8,0.0002801994944547914,5.280610794428792e-5,2.358517242811814e-6,True,rho_mu_xi_m0p10_T41_local_audit.png,0.0,2.9919040366037963,333.12956750575574,375.7519285766873,"[0.036443934224463875, 1.1705243397864327, 2.5410643618987705]","[0.0364447052498069, 1.1705151638631015, 2.5410711372421977]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,54d2d5f4e36f17e9d330c38da6490cb4b57da31d2773cebb798974dd16cebe18,22dd08875c1ab01100104f190b75bf6bf520a4624c1da63742980c5d9cd8757d
xi_m0p15_T41,-0.15,41.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0014646234515112155,0.004233450519334214,1.418423292482858e-6,0.0003429208383636251,3.0804730404287994e-5,2.1147800042881966e-6,True,rho_mu_xi_m0p15_T41_local_audit.png,0.0,3.024330900786818,328.86811345051376,375.22493833068654,"[0.030832264932826474, 1.1732647613609792, 2.56768898627663]","[0.030832872869555047, 1.17325645686987, 2.5676955115361144]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,079a47c424e5f31395b79314a8df93793e68f38813d8e5781f78ba4704a0072b,48a10b566b7ba8396044d11a1339225c71a6d6a19b383c085902bc5436c84600
xi_m0p20_T41,-0.2,41.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0010208052191842398,0.0028234374378439675,4.664808765565689e-6,0.0004332642365056927,5.6222831018880315e-5,1.5524925724893018e-6,True,rho_mu_xi_m0p20_T41_local_audit.png,0.0,3.0573360784907697,324.3645799802891,374.69812227046566,"[0.025933375607517423, 1.1759928693989548, 2.5949123728931385]","[0.02593390132182808, 1.1759853126566744, 2.5949187122824338]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,df1fb22a828d97dccb6c89246d258a56e58db824ea4ee61f49f8d2379dee3f6f,16eff22553821899f0deb566c1b6e20e0b84230edc6a4c36dbbe4fdb529465b6
xi_m0p25_T41,-0.25,41.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.0012866935998658846,0.003279934256338324,1.0973357203724883e-6,0.0005245428226885451,0.00022001662693267934,1.0454763599925633e-7,True,rho_mu_xi_m0p25_T41_local_audit.png,0.0,3.091246549357524,319.59334145403045,374.1695153495925,"[0.02160627287805303, 1.1787155982333777, 2.6229900504485353]","[0.02160666494320257, 1.1787086128858029, 2.622996332870921]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,ef6565d08e1ac706193c515a451bc23639cb1943910ccf4cddf84a01fc51d9d0,e7edebea5bc2fe485d499055d03ea6ae6b750168e114c48f2cd7207a22d9a2ce
xi_m0p35_T51,-0.35,51.0,ambiguous_near_critical,confirmed_first_order,False,1,1,3,3,false,true,0.002242635703794349,0.004215032616683656,1.7667257316490684e-6,0.0004191135277551439,4.92983067255752e-5,9.410629032074604e-7,True,rho_mu_xi_m0p35_T51_local_audit.png,0.0,3.156694201777954,308.3248246770862,368.04726414962136,"[0.030427126503055273, 1.2125424630317347, 2.6797978390496504]","[0.030427730919052647, 1.212534429465618, 2.679806003837475]",31941614867,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8e776b8039474a1b34520c20d7cf3c2a83d65827cc0ac6b907cf7f134167ec4b,33d67083513935d3aa71e2ee4ac190e796c8c0b9375b6e656862c6f52b486291
