target_id,xi,T_MeV,method,rho,muq_MeV,source_curve_sha256
xi_0p00_T51,0,51,production_hybrid,0.2375,367.484957,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.24375,367.663287,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.25,367.830466,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.25625,367.987047,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.2625,368.133543,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.26875,368.270432,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.275,368.398157,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.28125,368.517133,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.2875,368.627747,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.29375,368.73036,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.3,368.825313,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.30625,368.912924,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.3125,368.993491,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.31875,369.067297,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.325,369.134607,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.33125,369.19567,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.3375,369.250723,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.34375,369.299989,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.35,369.343679,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.35625,369.381993,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.3625,369.415121,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.36875,369.443243,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.375,369.46653,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.38125,369.485145,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
