mode,key,xi,field,role,old,new,abs_delta,rel_delta,signed_rel_delta
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_u,tau_invariance,1.181850939788278,1.181850939788278,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_d,tau_invariance,1.181850939788278,1.181850939788278,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_s,tau_invariance,1.5388377005715825,1.5388377005715825,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_ubar,tau_invariance,0.4028816823921114,0.4028816823921114,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_dbar,tau_invariance,0.4028816823921114,0.4028816823921114,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tau_sbar,tau_invariance,0.6574692430241369,0.6574692430241369,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_u,tau_invariance,0.8461303928726785,0.8461303928726785,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_d,tau_invariance,0.8461303928726785,0.8461303928726785,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_s,tau_invariance,0.6498411103578774,0.6498411103578774,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_ubar,tau_invariance,2.482118308438588,2.482118308438588,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_dbar,tau_invariance,2.482118308438588,2.482118308438588,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,tauinv_sbar,tau_invariance,1.5209836971237425,1.5209836971237425,0.0,0.0,0.0
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,eta,transport_semantic_drift,5.106281754957104,3.7813035171484373,1.3249782378086667,0.25948004857397405,-0.25948004857397405
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,sigma,transport_semantic_drift,0.03232090502648792,0.024554525440247603,0.007766379586240317,0.24028966948405509,-0.24028966948405509
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,zeta,transport_semantic_drift,1.8944445899064322,0.6151154992324791,1.279329090673953,0.6753056265093189,-0.6753056265093189
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,eta_over_s,transport_semantic_drift,0.26138101407437697,0.19355785584604301,0.06782315822833396,0.25948004857397416,-0.25948004857397416
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,zeta_over_s,transport_semantic_drift,0.09697307586616324,0.03148661211382815,0.06548646375233509,0.675305626509319,-0.675305626509319
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.5000000000,-0.5,sigma_over_T,transport_semantic_drift,0.03172406741216619,0.024101101739006897,0.007622965673159295,0.240289669484055,-0.240289669484055
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_u,tau_invariance,1.1662560220030085,1.1662562822704192,2.6026741073437165e-07,2.2316485209210953e-07,2.2316490189467187e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_d,tau_invariance,1.1662560220030085,1.1662562822704192,2.6026741073437165e-07,2.2316485209210953e-07,2.2316490189467187e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_s,tau_invariance,1.7519165936330048,1.751916593643496,1.049116349349788e-11,5.988392102434053e-12,5.988392102469914e-12
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_ubar,tau_invariance,0.3939285558108767,0.39392868271286496,1.2690198825104915e-07,3.221445754523748e-07,3.2214467922953574e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_dbar,tau_invariance,0.3939285558108767,0.39392868271286496,1.2690198825104915e-07,3.221445754523748e-07,3.2214467922953574e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_sbar,tau_invariance,0.8098500405568387,0.8098500405553447,1.4940271242380732e-12,1.844819472023248e-12,-1.844819472023248e-12
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_u,tau_invariance,0.857444661492535,0.8574444701410239,1.9135151108073956e-07,2.231648521172879e-07,-2.231648521172879e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_d,tau_invariance,0.857444661492535,0.8574444701410239,1.9135151108073956e-07,2.231648521172879e-07,-2.231648521172879e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_s,tau_invariance,0.5708034295892297,0.5708034295858115,3.418154648215932e-12,5.988321847813278e-12,-5.988321847813278e-12
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_ubar,tau_invariance,2.538531378974454,2.5385305612003406,8.177741133152949e-07,3.2214457543781436e-07,-3.2214457543781436e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_dbar,tau_invariance,2.538531378974454,2.5385305612003406,8.177741133152949e-07,3.2214457543781436e-07,-3.2214457543781436e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_sbar,tau_invariance,1.234796505427619,1.234796505429897,2.277955601925896e-12,1.8448024366029616e-12,1.844802436606365e-12
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,eta,transport_semantic_drift,2.4124836141384565,2.329005282448458,0.08347833168999852,0.03460265230435988,-0.03460265230435988
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,sigma,transport_semantic_drift,0.01824465647483607,0.017616931397748482,0.0006277250770875889,0.03440596856144583,-0.03440596856144583
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,zeta,transport_semantic_drift,0.4774173785133244,0.4161645751603156,0.06125280335300881,0.12830032191905072,-0.12830032191905072
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,eta_over_s,transport_semantic_drift,0.1619277039151264,0.156324575880232,0.005603128034894406,0.034602652291242625,-0.034602652291242625
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,zeta_over_s,transport_semantic_drift,0.03204461139498734,0.02793327743761912,0.004111333957368221,0.12830032190720675,-0.12830032190720675
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,sigma_over_T,transport_semantic_drift,0.017907750771371498,0.017291617261325484,0.0006161335100460137,0.03440596856144575,-0.03440596856144575
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_u,tau_invariance,1.1694534966842873,1.1694536033626795,1.0667839211997432e-07,9.122071351375403e-08,9.122072183497337e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_d,tau_invariance,1.1694534966842873,1.1694536033626795,1.0667839211997432e-07,9.122071351375403e-08,9.122072183497337e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_s,tau_invariance,1.8067668788249527,1.8067668788249565,3.774758283725532e-15,2.089233717955065e-15,2.0892337179550694e-15
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_ubar,tau_invariance,0.39444875024692233,0.3944488022618844,5.201496205975431e-08,1.3186746102785802e-07,1.3186747841688758e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_dbar,tau_invariance,0.39444875024692233,0.3944488022618844,5.201496205975431e-08,1.3186746102785802e-07,1.3186747841688758e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tau_sbar,tau_invariance,0.846489242989251,0.8464892429892524,1.4432899320127035e-15,1.7050304465960336e-15,1.7050304465960365e-15
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_u,tau_invariance,0.8551002693439858,0.855100191341129,7.800285672932006e-08,9.122071355346682e-08,-9.122071355346682e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_d,tau_invariance,0.8551002693439858,0.855100191341129,7.800285672932006e-08,9.122071355346682e-08,-9.122071355346682e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_s,tau_invariance,0.5534748349219015,0.5534748349219004,1.1102230246251565e-15,2.0059141890015927e-15,-2.0059141890015927e-15
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_ubar,tau_invariance,2.5351835932399496,2.535183258931726,3.34308223770563e-07,1.3186746106356705e-07,-1.3186746106356705e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_dbar,tau_invariance,2.5351835932399496,2.535183258931726,3.34308223770563e-07,1.3186746106356705e-07,-1.3186746106356705e-07
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,tauinv_sbar,tau_invariance,1.181349920606963,1.181349920606961,1.9984014443252818e-15,1.6916253257955336e-15,-1.6916253257955336e-15
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,eta,xi0_transport_invariance,2.143614830691621,2.1436149716556137,1.409639924787598e-07,6.575994026104732e-08,6.575994458541734e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,sigma,xi0_transport_invariance,0.016587273667395878,0.016587275056167174,1.388771295879332e-09,8.372510199395196e-08,8.372510900384525e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,zeta,xi0_transport_invariance,0.390005208387745,0.3900052331366458,2.4748900817606057e-08,6.345786854848382e-08,6.345787257538516e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,eta_over_s,xi0_transport_invariance,0.15113860719331926,0.151138617132186,9.938866729619633e-09,6.575994221865276e-08,6.575994654302305e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,zeta_over_s,xi0_transport_invariance,0.027497870956064388,0.027497872701020835,1.7449564466975875e-09,6.345787056584954e-08,6.345787459275113e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.0000000000,0.0,sigma_over_T,xi0_transport_invariance,0.01628097318367994,0.016280974546806194,1.3631262542335154e-09,8.372510197805801e-08,8.37251089879513e-08
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|0.3500000000,0.35,tau_u,tau_invariance,1.350384583961132,1.3512022229096434,0.000817638948511501,0.0006051195999003159,0.0006054859913411416
