xi,source_T_min_MeV,display_T_floor_MeV,extension_gap_MeV,extension_method,source_T_second_MeV,source_mu_first_MeV,source_mu_second_MeV,display_mu_floor_MeV,synthetic_row,status
-0.25,5.0,0.0,5.0,linear_T_from_first_two_native_rows,11.0,348.5783793244541,348.41121206122756,348.71768537714286,True,display_extrapolated_noncertified
-0.24375,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,348.8841208614272,348.828546934129,349.07862960697094,True,display_extrapolated_noncertified
-0.2375,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,349.2455848194759,349.19015938595487,349.4395738367994,True,display_extrapolated_noncertified
-0.23125,7.0,0.0,7.0,linear_T_from_first_two_native_rows,9.0,349.59438250353065,349.53901530915664,349.7881676838397,True,display_extrapolated_noncertified
-0.225,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,349.9838843922989,349.9431801875855,350.08564490408236,True,display_extrapolated_noncertified
-0.21875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,350.3288136777504,350.2881511847563,350.4304699102357,True,display_extrapolated_noncertified
-0.2125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,350.6712384846309,350.6306117793217,350.7728052479039,True,display_extrapolated_noncertified
-0.20625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,351.01119722736365,350.97060544752253,351.11267667696643,True,display_extrapolated_noncertified
-0.2,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,351.3487215577128,351.30816899100824,351.45010297447413,True,display_extrapolated_noncertified
-0.19375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,351.68266575903,351.64214754241493,351.7839613005676,True,display_extrapolated_noncertified
-0.1875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,352.0166099603472,351.9761260938217,352.11781962666095,True,display_extrapolated_noncertified
-0.18125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,352.34588887624415,352.3054402349578,352.44701047946,True,display_extrapolated_noncertified
-0.175,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,352.6751677921411,352.634754376094,352.7762013322589,True,display_extrapolated_noncertified
-0.16875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,352.9999057961534,352.95952991389737,353.1008455017936,True,display_extrapolated_noncertified
-0.1625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,353.32464380016575,353.2843054517008,353.42548967132814,True,display_extrapolated_noncertified
-0.15625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,353.6449674922378,353.6046611762279,353.74573328226256,True,display_extrapolated_noncertified
-0.15,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,353.9652911843098,353.92501690075505,354.06597689319676,True,display_extrapolated_noncertified
-0.14375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,354.28131038921055,354.2410711648426,354.3819084501304,True,display_extrapolated_noncertified
-0.1375,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,354.5973295941112,354.55712542893014,354.6978400070639,True,display_extrapolated_noncertified
-0.13125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,354.90915959380277,354.8689891730817,355.0095856456055,True,display_extrapolated_noncertified
-0.125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,355.22098959349427,355.1808529172332,355.32133128414694,True,display_extrapolated_noncertified
-0.11875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,355.52873506204,355.48506777580855,355.63790327761876,True,display_extrapolated_noncertified
-0.1125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,9.0,355.8364805305858,355.74208473818203,355.9544752710905,True,display_extrapolated_noncertified
-0.10625,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,356.04593779929183,355.9770640537344,356.35586965430025,True,display_extrapolated_noncertified
-0.1,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,356.34979086040164,356.28100823985596,356.6593126528572,True,display_extrapolated_noncertified
-0.09375,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,356.6478656372767,356.57917849177744,356.95695779202345,True,display_extrapolated_noncertified
-0.0875,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,356.94594041415183,356.8773487436989,357.25460293119,True,display_extrapolated_noncertified
-0.08125,9.0,0.0,9.0,linear_T_from_first_two_native_rows,11.0,357.2440151910269,357.17551899562034,357.5522480703564,True,display_extrapolated_noncertified
-0.075,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,357.6359275086344,357.59606120950787,357.73559325645067,True,display_extrapolated_noncertified
