surface,xi,xi_role,xi_left,xi_right,axis_low,axis_high,source_rows,coverage_status
crossover,-0.0875,derived_uniform,-0.1,-0.075,0.0,273.38593530219055,26,interpolated_common_support
crossover,-0.08125,derived_uniform,-0.1,-0.075,0.0,273.38593530219055,26,interpolated_common_support
crossover,-0.075,native_uniform,-0.075,-0.075,0.0,276.2545796646466,14,native_support
crossover,-0.06875,derived_uniform,-0.075,-0.05,0.0,276.2545796646466,26,interpolated_common_support
crossover,-0.0625,derived_uniform,-0.075,-0.05,0.0,276.2545796646466,26,interpolated_common_support
crossover,-0.05625,derived_uniform,-0.075,-0.05,0.0,276.2545796646466,26,interpolated_common_support
crossover,-0.05,native_uniform,-0.05,-0.05,0.0,279.1117848357144,14,native_support
crossover,-0.04375,derived_uniform,-0.05,-0.0375,0.0,279.1117848357144,26,interpolated_common_support
crossover,-0.0375,native_uniform,-0.0375,-0.0375,0.0,280.5098584130912,14,native_support
crossover,-0.03125,derived_uniform,-0.0375,-0.025,0.0,280.5098584130912,26,interpolated_common_support
crossover,-0.025,native_uniform,-0.025,-0.025,0.0,281.8881603682182,14,native_support
crossover,-0.01875,derived_uniform,-0.025,-0.0125,0.0,281.8881603682182,25,interpolated_common_support
crossover,-0.0125,native_uniform,-0.0125,-0.0125,0.0,289.2552560269977,15,native_support
crossover,-0.00625,derived_uniform,-0.0125,0.0,0.0,289.2552560269977,27,interpolated_common_support
crossover,0.0,native_uniform,0.0,0.0,0.0,290.60441249479464,15,native_support
crossover,0.00625,derived_uniform,0.0,0.0125,0.0,290.60441249479464,27,interpolated_common_support
crossover,0.0125,native_uniform,0.0125,0.0125,0.0,291.9348860075793,15,native_support
crossover,0.01875,derived_uniform,0.0125,0.025,0.0,291.9348860075793,27,interpolated_common_support
crossover,0.025,native_uniform,0.025,0.025,0.0,293.2547656750959,15,native_support
crossover,0.03125,native_uniform,0.03125,0.03125,0.0,293.94395716666156,15,native_support
crossover,0.0375,native_uniform,0.0375,0.0375,0.0,294.6281993189096,15,native_support
crossover,0.04375,native_uniform,0.04375,0.04375,0.0,295.3075368664902,15,native_support
crossover,0.05,native_uniform,0.05,0.05,0.0,295.9038327874416,15,native_support
crossover,0.05625,derived_uniform,0.05,0.0625,0.0,295.9038327874416,28,interpolated_common_support
crossover,0.0625,native_uniform,0.0625,0.0625,0.0,297.2394349148531,15,native_support
crossover,0.06875,derived_uniform,0.0625,0.075,0.0,297.2394349148531,28,interpolated_common_support
crossover,0.075,native_uniform,0.075,0.075,0.0,298.47992254992306,15,native_support
crossover,0.08125,derived_uniform,0.075,0.0875,0.0,298.47992254992306,28,interpolated_common_support
crossover,0.0875,native_uniform,0.0875,0.0875,0.0,299.7790542904596,15,native_support
crossover,0.09375,derived_uniform,0.0875,0.1,0.0,299.7790542904596,28,interpolated_common_support
crossover,0.1,native_uniform,0.1,0.1,0.0,301.0599258911781,15,native_support
crossover,0.10625,derived_uniform,0.1,0.1125,0.0,301.0599258911781,28,interpolated_common_support
crossover,0.1125,native_uniform,0.1125,0.1125,0.0,302.32285812782,15,native_support
crossover,0.11875,derived_uniform,0.1125,0.125,0.0,302.32285812782,28,interpolated_common_support
crossover,0.125,native_uniform,0.125,0.125,0.0,303.6403038252052,15,native_support
crossover,0.13125,native_uniform,0.13125,0.13125,0.0,304.18429621345,15,native_support
crossover,0.1375,native_uniform,0.1375,0.1375,0.0,304.79613790197857,15,native_support
crossover,0.14375,native_uniform,0.14375,0.14375,0.0,305.40372231503625,15,native_support
crossover,0.15,native_uniform,0.15,0.15,0.0,306.007085282863,15,native_support
crossover,0.15625,derived_uniform,0.15,0.1625,0.0,306.007085282863,28,interpolated_common_support
crossover,0.1625,native_uniform,0.1625,0.1625,0.0,307.27048899073515,15,native_support
crossover,0.16875,derived_uniform,0.1625,0.175,0.0,307.27048899073515,28,interpolated_common_support
crossover,0.175,native_uniform,0.175,0.175,0.0,308.44728317638373,15,native_support
crossover,0.18125,derived_uniform,0.175,0.1875,0.0,308.44728317638373,28,interpolated_common_support
crossover,0.1875,native_uniform,0.1875,0.1875,0.0,309.67510761716113,15,native_support
crossover,0.19375,derived_uniform,0.1875,0.2,0.0,309.67510761716113,28,interpolated_common_support
crossover,0.2,native_uniform,0.2,0.2,0.0,310.8189242991599,15,native_support
crossover,0.20625,derived_uniform,0.2,0.225,0.0,310.8189242991599,28,interpolated_common_support
crossover,0.2125,derived_uniform,0.2,0.225,0.0,310.8189242991599,28,interpolated_common_support
crossover,0.21875,derived_uniform,0.2,0.225,0.0,310.8189242991599,28,interpolated_common_support
crossover,0.225,native_uniform,0.225,0.225,0.0,313.1885363481739,15,native_support
crossover,0.23125,derived_uniform,0.225,0.25,0.0,313.1885363481739,27,interpolated_common_support
crossover,0.2375,derived_uniform,0.225,0.25,0.0,313.1885363481739,27,interpolated_common_support
crossover,0.24375,derived_uniform,0.225,0.25,0.0,313.1885363481739,27,interpolated_common_support
crossover,0.25,native_uniform,0.25,0.25,0.0,321.7314134372287,16,native_support
crossover,0.25625,derived_uniform,0.25,0.2625,0.0,321.7314134372287,28,interpolated_common_support
