xi,method,calculation_sha,equilibrium_requests,fixedrho_requests,unique_solves,requested_point_calls,uncached_equivalent_requests,cache_hits,targeted_additions,residual_calls,jacobian_calls,newton_iterations,trust_region_iterations,nonconverged_attempts,fallback_count,governed_rescue_count,retry_count,exception_count,runner_seconds,stage
-0.5,rho_support_cascade,9d325b62ef366f1de70cd3b2a3555e71bd12664a,3143,3143,3143,9374,9374,6231,89,34931,28582,11533,10835,16,2,2,0,4,92.167676989,discovery
0.0,rho_support_cascade,9d325b62ef366f1de70cd3b2a3555e71bd12664a,2693,2693,2693,7978,7978,5285,117,27925,22403,9150,8037,19,0,0,0,0,112.608471918,discovery
0.5,rho_support_cascade,9d325b62ef366f1de70cd3b2a3555e71bd12664a,4517,4517,4517,13410,13410,8893,171,49583,39647,15473,16178,41,11,22,0,0,138.749460384,discovery
-0.5,c2_dense_baseline,9d325b62ef366f1de70cd3b2a3555e71bd12664a,8974,8974,8974,13468,13468,4494,0,96034,77830,31567,28602,59,9,9,0,18,245.553689767,validation
0.0,c2_dense_baseline,9d325b62ef366f1de70cd3b2a3555e71bd12664a,10256,10256,10256,15392,15392,5136,0,106180,85164,34649,30615,71,2,2,0,4,325.589317293,validation
0.5,c2_dense_baseline,9d325b62ef366f1de70cd3b2a3555e71bd12664a,16025,16025,16025,24050,24050,8025,0,175011,139228,54213,57105,166,46,91,0,4,437.761136242,validation
-0.5,high_resolution_oracle,9d325b62ef366f1de70cd3b2a3555e71bd12664a,17934,17934,17934,26908,26908,8974,0,191849,155459,63001,57170,123,14,14,0,28,417.319167109,validation
0.0,high_resolution_oracle,9d325b62ef366f1de70cd3b2a3555e71bd12664a,20496,20496,20496,30752,30752,10256,0,212324,170315,69345,61209,146,3,3,0,6,467.147429568,validation
0.5,high_resolution_oracle,9d325b62ef366f1de70cd3b2a3555e71bd12664a,32025,32025,32025,48050,48050,16025,0,349995,278376,108382,114293,334,93,184,0,8,796.892115257,validation
