xi,method,canonical_T_CEP_MeV,canonical_muq_CEP_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV,delta_T_last_first_order_MeV,delta_muq_last_first_order_MeV,evaluated_temperature_count,first_order_count,monotone_count,coarse_T_last_first_order_MeV,coarse_muq_last_first_order_MeV,coarse_T_first_monotone_MeV,fine_T_last_first_order_MeV,fine_muq_last_first_order_MeV,fine_T_first_monotone_MeV,stage
-0.5,rho_support_cascade,147.0947265625,202.39421356350303,ambiguous,false,139.9697265625,221.71544480212202,147.2197265625,7.25,0.125,-7.125,19.321231238618992,19,4,8,147.0947265625,202.24668375963472,147.2197265625,147.0947265625,202.24663071096734,147.2197265625,discovery
0.0,rho_support_cascade,130.3369140625,292.3807955235169,ambiguous,false,130.5869140625,291.917328649552,131.0869140625,0.5,0.125,0.25,-0.46346687396487596,16,3,6,130.9619140625,291.2621194332251,131.0869140625,130.9619140625,291.2616844378794,131.0869140625,discovery
0.5,rho_support_cascade,97.0849609375,355.4358732646064,ambiguous,false,101.4599609375,352.986957005522,107.0849609375,5.625,0.125,4.375,-2.448916259084399,27,7,7,106.9599609375,348.37872606250517,107.0849609375,106.9599609375,348.37873107487684,107.0849609375,discovery
-0.5,c2_dense_baseline,147.0947265625,202.39421356350303,ambiguous,false,147.0947265625,202.24667989806485,147.2197265625,0.125,0.125,0.0,-0.14753366543817492,14,2,8,147.0947265625,202.24667421126023,147.2197265625,147.0947265625,202.24667989806485,147.2197265625,validation
0.0,c2_dense_baseline,130.3369140625,292.3807955235169,ambiguous,false,130.5869140625,291.91732262969987,131.0869140625,0.5,0.125,0.25,-0.46347289381702694,16,5,6,130.9619140625,291.26170430895553,131.0869140625,130.9619140625,291.2617023892464,131.0869140625,validation
0.5,c2_dense_baseline,97.0849609375,355.4358732646064,ambiguous,false,106.9599609375,348.37871017951863,107.0849609375,0.125,0.125,9.875,-7.05716308508778,25,12,7,106.9599609375,348.3787126814026,107.0849609375,106.9599609375,348.37871017951863,107.0849609375,validation
-0.5,high_resolution_oracle,147.0947265625,202.39421356350303,ambiguous,false,147.0947265625,202.24667891813786,147.2197265625,0.125,0.125,0.0,-0.14753464536516958,14,4,8,147.0947265625,202.24667989806485,147.2197265625,147.0947265625,202.24667891813786,147.2197265625,validation
0.0,high_resolution_oracle,130.3369140625,292.3807955235169,ambiguous,false,130.5869140625,291.91732242625426,131.0869140625,0.5,0.125,0.25,-0.46347309726263575,16,5,6,130.9619140625,291.26170238832776,131.0869140625,130.9619140625,291.26170277940076,131.0869140625,validation
0.5,high_resolution_oracle,97.0849609375,355.4358732646064,ambiguous,false,106.9599609375,348.37871014565826,107.0849609375,0.125,0.125,9.875,-7.057163118948154,25,12,7,106.9599609375,348.37871017951863,107.0849609375,106.9599609375,348.37871014565826,107.0849609375,validation
