T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,phi_u,phi_d,phi_s,Phi1,Phi2,omega_fm4,gap_residual_max,committed_state_max_abs_delta,committed_gap_residual_max
240.0,0.0,0.2,5.136221729911374,-0.08664994043481772,-0.07771072165085703,-1.2109558884830967,0.744645589008435,0.744645589008435,-26.613327494039062,1.6458445523073705e-13,0.0,1.6458445523073705e-13
150.0,0.0,0.2,5.136221729911374,-1.9940932513442124,-1.8471229269038976,-2.227322595958714,0.061478404858555935,0.061478404858555935,-21.517220737805552,2.0237515662446856e-16,0.0,2.0237515662446856e-16
50.0,0.0,0.2,5.136221729911374,-2.0171438978841794,-1.8696801585336555,-2.236646805313526,4.185937853978045e-05,4.185937853978045e-05,-21.504404494519008,5.777045564067093e-16,0.0,5.777045564067093e-16
240.0,0.0,0.4,10.272443459822748,-0.09765938336473869,-0.07004524796273039,-1.1273140861315936,0.7520519901779774,0.7520519901779774,-26.395432780503448,5.684341886080802e-14,0.0,5.684341886080802e-14
150.0,0.0,0.4,10.272443459822748,-2.3556209369862913,-1.8913195266766978,-2.2511047524483954,0.0897695851894253,0.08976958518942531,-20.67451624113754,2.7896567892188477e-16,0.0,3.573419969937751e-16
50.0,0.0,0.4,10.272443459822748,-2.3968673496534216,-1.932449764940678,-2.2689379297296437,8.86599435050635e-05,8.86599435050635e-05,-20.650705358933116,7.153782776999687e-16,0.0,8.264005801624843e-16
240.0,0.0,0.8,20.544886919645496,-0.11454349196456831,-0.060214821771450745,-1.0169062720954403,0.771215849283664,0.771215849283664,-24.122964202440905,3.4826434565192976e-14,0.0,3.4826434565192976e-14
150.0,0.0,0.8,20.544886919645496,-3.3640517714124236,-2.139095195156215,-2.4588555287974456,0.2298706057413839,0.2298706057413839,-16.380437005077077,3.1973588056289475e-16,0.0,1.4591614938406432e-16
50.0,0.0,0.8,20.544886919645496,-3.552932181917334,-2.2943016488998884,-2.5354605929639797,0.0002349028389868329,0.0002349028389868329,-16.287649198995823,5.433203043627127e-16,0.0,6.054242918984808e-16
