T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
120.000000,3.525000,0.000000,334.868050,334.868050,334.868050,334.868050,1004.604150,0.000000,0.000000,21.861713,2.868790,-17.245762,0.779823,0.779823,0.132354,-0.182654,-0.182654,-1.930870,0.291838,0.322952,40.389616,40.389616,441.495019,3,0.000000,true,
120.000000,3.500000,0.000000,334.098168,334.098168,334.098168,334.098168,1002.294504,0.000000,0.000000,21.855135,2.848832,-17.278240,0.774669,0.774669,0.130661,-0.186340,-0.186340,-1.932773,0.290653,0.321868,41.100328,41.100328,441.815902,3,0.000000,true,
120.000000,3.475000,0.000000,333.327339,333.327339,333.327339,333.327339,999.982016,0.000000,0.000000,21.848595,2.828899,-17.310656,0.769507,0.769507,0.128985,-0.190160,-0.190160,-1.934663,0.289463,0.320780,41.836790,41.836790,442.136115,3,0.000000,true,
120.000000,3.450000,0.000000,332.555784,332.555784,332.555784,332.555784,997.667352,0.000000,0.000000,21.842097,2.808992,-17.343009,0.764337,0.764337,0.127326,-0.194121,-0.194121,-1.936539,0.288269,0.319689,42.600287,42.600287,442.455802,3,0.000000,true,
120.000000,3.425000,0.000000,331.783747,331.783747,331.783747,331.783747,995.351242,0.000000,0.000000,21.835641,2.789113,-17.375298,0.759159,0.759159,0.125683,-0.198229,-0.198229,-1.938402,0.287070,0.318594,43.392176,43.392176,442.775116,3,0.000000,true,
120.000000,3.400000,0.000000,331.011496,331.011496,331.011496,331.011496,993.034487,0.000000,0.000000,21.829231,2.769265,-17.407522,0.753972,0.753972,0.124057,-0.202491,-0.202491,-1.940252,0.285868,0.317496,44.213892,44.213892,443.094224,3,0.000000,true,
120.000000,3.375000,0.000000,330.239322,330.239322,330.239322,330.239322,990.717965,0.000000,0.000000,21.822868,2.749449,-17.439678,0.748776,0.748776,0.122448,-0.206916,-0.206916,-1.942090,0.284661,0.316395,45.066948,45.066948,443.413307,3,0.000000,true,
120.000000,3.350000,0.000000,329.467545,329.467545,329.467545,329.467545,988.402635,0.000000,0.000000,21.816555,2.729670,-17.471766,0.743572,0.743572,0.120855,-0.211513,-0.211513,-1.943916,0.283451,0.315290,45.952942,45.952942,443.732556,3,0.000000,true,
120.000000,3.325000,0.000000,328.696516,328.696516,328.696516,328.696516,986.089549,0.000000,0.000000,21.810296,2.709928,-17.503784,0.738360,0.738360,0.119280,-0.216288,-0.216288,-1.945730,0.282237,0.314183,46.873557,46.873557,444.052183,3,0.000000,true,
120.000000,3.300000,0.000000,327.926620,327.926620,327.926620,327.926620,983.779859,0.000000,0.000000,21.804092,2.690228,-17.535729,0.733139,0.733139,0.117723,-0.221253,-0.221253,-1.947532,0.281019,0.313072,47.830563,47.830563,444.372413,3,0.000000,true,
120.000000,3.275000,0.000000,327.158274,327.158274,327.158274,327.158274,981.474821,0.000000,0.000000,21.797948,2.670573,-17.567601,0.727909,0.727909,0.116183,-0.226416,-0.226416,-1.949324,0.279798,0.311959,48.825823,48.825823,444.693491,3,0.000000,true,
120.000000,3.250000,0.000000,326.391937,326.391937,326.391937,326.391937,979.175810,0.000000,0.000000,21.791866,2.650966,-17.599397,0.722670,0.722670,0.114660,-0.231787,-0.231787,-1.951105,0.278573,0.310844,49.861289,49.861289,445.015681,3,0.000000,true,
120.000000,3.225000,0.000000,325.628108,325.628108,325.628108,325.628108,976.884324,0.000000,0.000000,21.785851,2.631410,-17.631115,0.717422,0.717422,0.113155,-0.237378,-0.237378,-1.952876,0.277346,0.309726,50.939006,50.939006,445.339270,3,0.000000,true,
120.000000,3.200000,0.000000,324.867333,324.867333,324.867333,324.867333,974.601998,0.000000,0.000000,21.779906,2.611911,-17.662752,0.712166,0.712166,0.111669,-0.243199,-0.243199,-1.954637,0.276116,0.308607,52.061109,52.061109,445.664566,3,0.000000,true,
120.000000,3.175000,0.000000,324.110204,324.110204,324.110204,324.110204,972.330611,0.000000,0.000000,21.774035,2.592471,-17.694307,0.706900,0.706900,0.110200,-0.249261,-0.249261,-1.956389,0.274884,0.307486,53.229822,53.229822,445.991905,3,0.000000,true,
120.000000,3.150000,0.000000,323.357365,323.357365,323.357365,323.357365,970.072094,0.000000,0.000000,21.768244,2.573095,-17.725777,0.701625,0.701625,0.108750,-0.255577,-0.255577,-1.958132,0.273649,0.306364,54.447452,54.447452,446.321645,3,0.000000,true,
120.000000,3.125000,0.000000,322.609514,322.609514,322.609514,322.609514,967.828543,0.000000,0.000000,21.762536,2.553789,-17.757159,0.696340,0.696340,0.107319,-0.262159,-0.262159,-1.959867,0.272412,0.305240,55.716384,55.716384,446.654177,3,0.000000,true,
120.000000,3.100000,0.000000,321.867409,321.867409,321.867409,321.867409,965.602228,0.000000,0.000000,21.756918,2.534557,-17.788451,0.691046,0.691046,0.105907,-0.269020,-0.269020,-1.961595,0.271174,0.304116,57.039070,57.039070,446.989919,3,0.000000,true,
120.000000,3.075000,0.000000,321.131865,321.131865,321.131865,321.131865,963.395596,0.000000,0.000000,21.751393,2.515405,-17.819649,0.685742,0.685742,0.104515,-0.276172,-0.276172,-1.963317,0.269934,0.302992,58.418017,58.418017,447.329321,3,0.000000,true,
120.000000,3.050000,0.000000,320.403760,320.403760,320.403760,320.403760,961.211281,0.000000,0.000000,21.745969,2.496338,-17.850751,0.680429,0.680429,0.103142,-0.283628,-0.283628,-1.965032,0.268694,0.301868,59.855771,59.855771,447.672866,3,0.000000,true,
120.000000,3.025000,0.000000,319.684036,319.684036,319.684036,319.684036,959.052109,0.000000,0.000000,21.740651,2.477362,-17.881753,0.675105,0.675105,0.101790,-0.291403,-0.291403,-1.966743,0.267453,0.300745,61.354898,61.354898,448.021069,3,0.000000,true,
120.000000,3.000000,0.000000,318.973699,318.973699,318.973699,318.973699,956.921098,0.000000,0.000000,21.735446,2.458485,-17.912653,0.669771,0.669771,0.100458,-0.299509,-0.299509,-1.968449,0.266212,0.299622,62.917959,62.917959,448.374480,3,0.000000,true,
120.000000,2.975000,0.000000,318.273818,318.273818,318.273818,318.273818,954.821454,0.000000,0.000000,21.730360,2.439711,-17.943446,0.664426,0.664426,0.099147,-0.307958,-0.307958,-1.970151,0.264972,0.298502,64.547475,64.547475,448.733683,3,0.000000,true,
120.000000,2.950000,0.000000,317.585524,317.585524,317.585524,317.585524,952.756571,0.000000,0.000000,21.725400,2.421048,-17.974129,0.659071,0.659071,0.097858,-0.316765,-0.316765,-1.971851,0.263732,0.297383,66.245901,66.245901,449.099296,3,0.000000,true,
120.000000,2.925000,0.000000,316.910005,316.910005,316.910005,316.910005,950.730014,0.000000,0.000000,21.720573,2.402504,-18.004699,0.653705,0.653705,0.096590,-0.325940,-0.325940,-1.973550,0.262494,0.296267,68.015578,68.015578,449.471965,3,0.000000,true,
120.000000,2.900000,0.000000,316.248501,316.248501,316.248501,316.248501,948.745504,0.000000,0.000000,21.715886,2.384084,-18.035153,0.648328,0.648328,0.095345,-0.335494,-0.335494,-1.975249,0.261258,0.295155,69.858691,69.858691,449.852370,3,0.000000,true,
