T_MeV,mu_transition_MeV,rho_hadron,rho_quark,area_residual,converged
120.0,308.60596782600373,0.9623452859599951,2.503214710914439,1.7444501535419184e-5,true
121.0,307.1796161273496,1.0039619861593223,2.493403777718299,4.5917056948481874e-5,true
122.0,305.72233170637685,1.0487206527016484,2.4817000312015756,8.744251222605616e-5,true
123.0,304.234192817589,1.0972870192786484,2.467625942604988,5.268387142825918e-5,true
124.0,302.7146192238725,1.1498556185135997,2.450908379022113,1.3935421952514537e-5,true
125.0,301.1637412048144,1.2079590531710445,2.4300891932046147,8.045236334254105e-5,true
126.0,299.581155978581,1.2717755114545894,2.4047820228189694,5.395485711175858e-5,true
127.0,297.96723089006775,1.3438621942615279,2.3734562363703446,4.2095567154056164e-5,true
128.0,296.3217837184209,1.426262259785064,2.332713708007951,8.152229566435493e-5,true
129.0,294.6449349255332,1.5246708035321828,2.278620135897157,1.5213550524299245e-5,true
130.0,292.93697350560035,1.651762463527095,2.1979002317929752,9.243466163353899e-5,true
131.0,291.19863999540866,1.8952415503469748,1.990319117355086,1.674846393473876e-5,true
