surface,xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,layer,status,interpolation_method,source_layer,source_xi_left,source_xi_right,source_axis_low,source_axis_high,xi_gap,reference_write
spinodal,-0.5,5.0,372.76017116838176,301.013810557583,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,7.0,372.61304434848984,300.99609593696607,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,9.0,372.41071027469235,300.9716519508826,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,11.0,372.15190782062257,300.940042756925,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,13.0,371.83720002993664,300.90081805639255,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,15.0,371.4683924406324,300.85351147665233,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,19.0,370.57766402738747,300.7326936679738,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,21.0,370.0600261633574,300.65815837630095,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,23.0,369.49695288702907,300.5734463608277,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,25.0,368.8898174649333,300.47798034852525,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,27.0,368.239682270819,300.37113553768467,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,29.0,367.5476785320644,300.2522585721741,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,31.0,366.8143335160914,300.1206142379687,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,33.0,366.03994174774954,299.9754679915048,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,35.0,365.22486893154917,299.81603185620355,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,37.0,364.36889431683437,299.6414318803652,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,39.0,363.4719688102487,299.45079524343527,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,41.0,362.5335373813247,299.2431421339918,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,43.0,361.5531348698171,299.0174678858619,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,45.0,360.53000720185304,298.7726916425806,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,47.0,359.46328452407744,298.50767023101923,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,49.0,358.3519476579963,298.22118418786005,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,51.0,357.19485953741355,297.9119431446776,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,53.0,355.9907221659737,297.57857725902574,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,55.0,354.73814065354816,297.2196287436009,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,57.0,353.4355636768497,296.83355121837866,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,59.0,352.0813416053012,296.41870351178125,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,61.0,350.67370410841005,295.9733443016263,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,63.0,349.2107519556999,295.49562689111093,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,65.0,347.69048647406333,294.983595678852,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,67.0,346.11082030213083,294.43517181998214,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,69.0,344.46949577068244,293.84817462718235,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,71.0,342.76426202930634,293.22026341438465,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,73.0,340.9926804600725,292.5490034391499,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,75.0,339.15225398089257,291.831805433535,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,77.0,337.2404041198849,291.0659427729622,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,79.0,335.25445556656075,290.2485521735025,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,81.0,333.19168509173846,289.3766192012881,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,83.0,331.0492423103262,288.4469847271145,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,85.0,328.82424570270797,287.4563421952943,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,87.0,326.51375081890995,286.4012340589893,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,89.0,324.1147109105998,285.2780629425228,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,91.0,321.62406800878546,284.0830673619073,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,93.0,319.0386657532827,282.81236607675714,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,94.0,317.70942713405617,282.1473685892293,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,95.0,316.3552922621941,281.4619261702104,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,96.0,314.9758517244238,280.7555072348802,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,97.0,313.570692025472,280.02758886064623,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,98.0,312.1393957365427,279.2776243193133,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,99.0,310.6815415431757,278.5050757881905,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,100.0,309.19670420220893,277.70938423858803,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,101.0,307.6844544271507,276.88999791573644,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,102.0,306.1443587157026,276.0463499347442,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,103.0,304.5759746881644,275.17786896639274,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,104.0,302.97887238247944,274.2839858392513,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,105.0,301.3526003434321,273.3641197779957,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,106.0,299.69670373784663,272.4176876105522,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,107.0,298.01073967505283,271.44410685488685,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,108.0,296.29424046765484,270.4427876270309,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,109.0,294.5467549442797,269.41313869533616,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,110.0,292.7678092657413,268.35456820734726,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,111.0,290.9569410964993,267.2664811159254,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,112.0,289.1136842255757,266.14828146828603,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,113.0,287.2375602110619,264.9993728172661,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,114.0,285.3281007659611,263.81915573484565,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
spinodal,-0.5,115.0,283.3848348443959,262.60703148982896,strict_reference_v1,native_uniform_xi,none_native,strict_spinodal_v6,-0.5,-0.5,5.0,145.0,0.0,False
