x_value,target_y,model_y,abs_diff,rel_diff,T_MeV,muB_MeV
1.7319053873842354,0.0,0.000974,0.000974,,23.39809,888.098158
1.9245934287962394,0.0,0.00212,0.00212,,35.14701,857.472132
2.1336041839833046,0.0,0.003448,0.003448,,46.298632,826.553895
2.3602397452231383,0.0,0.004861,0.004861,,56.828841,795.453291
2.6395124606570173,0.004255884398832843,0.006484,0.002228115601167157,0.5235376228212889,67.969024,760.205717
2.910482399740949,0.009046846233644712,0.007901,0.001145846233644712,0.12665698123434158,77.1983,728.868784
3.2222282507849065,0.01685231172666868,0.009334,0.007518311726668678,0.44612940044130545,86.264372,695.867452
3.5731162289185607,0.025589324455332352,0.010715,0.014874324455332351,0.5812706967429463,94.874564,662.12402
3.9733572837718643,0.035396991852631676,0.012035,0.023361991852631676,0.6599993567220253,103.068599,627.42042
4.42878501087126,0.04607106556580565,0.013266,0.03280506556580565,0.7120535451681382,110.753354,592.107504
4.936270595756841,0.058997788170978005,0.014359,0.04463878817097801,0.7566179945867288,117.742433,557.16432
5.467600368571602,0.07322151085138529,0.015291,0.057930510851385286,0.7911679256245406,123.707366,524.741712
5.888053091660722,0.08350565443741365,0.015902,0.06760365443741365,0.8095697817455184,127.665202,501.641746
6.505596946588725,0.09891150023405593,0.016644,0.08226750023405593,0.831728363631984,132.528715,471.176809
7.2513617714227685,0.10861462511597486,0.017353,0.09126162511597485,0.8402333020855056,137.245822,438.981892
8.082963353905761,0.1149945107263517,0.017969,0.0970255107263517,0.8437403673749246,141.405327,407.902456
9.010064174905896,0.12026103459897486,0.018503,0.10175803459897487,0.8461430166329392,145.049827,378.06227
10.0433812041291,0.12645785965929357,0.018962,0.10749585965929356,0.8500528156091841,148.223908,349.560357
11.19549254888298,0.13065627539253144,0.019357,0.11129927539253144,0.8518479120742908,150.974088,322.455834
12.474003510279877,0.1341995622249077,0.019694,0.1145055622249077,0.8532484035455016,153.334658,296.90814
13.911755035342908,0.1368754014996897,0.019984,0.11689140149968968,0.8539986017864188,155.376632,272.618752
15.507665896640798,0.14084966490686335,0.02023,0.12061966490686335,0.8563716852760916,157.111008,249.923915
17.286936964981102,0.14355683743503111,0.020437,0.12311983743503112,0.8576382681232506,158.584931,228.697965
19.43898476593518,0.14646344366363118,0.020627,0.12583644366363117,0.8591662227513092,159.923254,207.393784
21.561084854644164,0.1488471152174221,0.020768,0.1280791152174221,0.8604742861850965,160.915973,189.945765
23.85481195087023,0.14965582589308646,0.020884,0.12877182589308644,0.8604531439028678,161.737461,174.112977
26.747029900252063,0.15204305346152425,0.020996,0.13104705346152423,0.8619075352540639,162.516928,157.553552
29.757530615735078,0.15338385164909796,0.021082,0.13230185164909797,0.862553979618206,163.120823,143.361227
33.20316630075904,0.15565273235267585,0.021157,0.13449573235267584,0.8640756273262022,163.637146,129.962206
36.63903084095792,0.15744340881698382,0.021213,0.1362304088169838,0.8652658745171191,164.024918,118.882554
41.60557468561779,0.15825704201598323,0.021272,0.13698504201598322,0.8655857601720394,164.436268,105.839613
45.74099929864027,0.15989777876258815,0.021309,0.13858877876258816,0.86673360840341,164.687995,96.980174
51.225470722114146,0.16138514481600508,0.021345,0.14004014481600507,0.8677387561021468,164.937809,87.289888
57.10398954171831,0.16250713268871841,0.021374,0.1411331326887184,0.8684734654635634,165.133841,78.845579
63.65674723933735,0.16407557524041838,0.021398,0.14267757524041838,0.8695844889244135,165.294563,71.170923
70.96304504634944,0.16389331701276466,0.021417,0.14247631701276467,0.8693235307554856,165.42614,64.202901
78.50196188905399,0.16426321156777368,0.021432,0.14283121156777367,0.8695264764675726,165.526746,58.312065
88.18648683598869,0.16456429238992443,0.021446,0.14311829238992443,0.8696801129300572,165.621381,52.163695
98.30743870845596,0.16499968649648644,0.021457,0.14354268649648644,0.8699573286737311,165.69287,46.986251
109.5895136229097,0.16574234023328205,0.021465,0.14427734023328204,0.8704917526216411,165.751054,42.305539
122.16627992501242,0.166532889681841,0.021472,0.145060889681841,0.8710645083921742,165.798358,38.077057
153.32406765114246,0.167297175542084,0.021483,0.145814175542084,0.8715877902278398,165.870482,30.519767
170.92056076883148,0.16779737751955182,0.021487,0.1463103775195518,0.8719467472160205,165.895282,27.443642
190.53739996265887,0.167949672223227,0.02149,0.14645967222322698,0.87204500184176,165.915374,24.671467
211.70706121543765,0.16826516057757968,0.021492,0.14677316057757966,0.8722730247531485,165.931196,22.246401
236.7842750635543,0.16811654833470036,0.021494,0.14662254833470034,0.8721482197147661,165.944801,19.926234
265.7727553835071,0.16793348924379625,0.021496,0.14643748924379624,0.8719969429754815,165.956041,17.782379
290.3155328456979,0.1692842263342661,0.021497,0.1477872263342661,0.8730123859410721,165.963075,16.297818
