xi,method,T_MeV,coarse_status,fine_status,result_status,geometry_converged,position_error_MeV,density_error,maxwell_area_gate,area_residual,rho_hadron,rho_quark,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark
-0.5,independent_oracle,5.0,invalid,invalid,ambiguous_near_critical,false,Inf,Inf,Inf,36.070883874675374,0.0,2.4440848021005483,372.76019724699586,301.01380525614445,0.10501143759851464,1.8607416832483379
-0.5,independent_oracle,20.0,valid,valid,ambiguous_near_critical,false,0.02396597701454084,0.0027822430386452894,5.338977887401861e-5,5.338977887401861e-5,0.0028819496502144612,2.799033262964369,370.3246475721155,300.6966608491273,0.14959175705222805,1.8660789411135614
-0.5,independent_oracle,60.0,valid,valid,confirmed_first_order,true,0.00047651781932245285,8.234234747348662e-5,2.521669747116606e-5,2.521669747116606e-5,0.03290129076390859,2.7854524181938634,351.3843172479596,296.19995073848446,0.34525466842270425,1.9371951090285813
-0.5,independent_oracle,100.0,valid,valid,ambiguous_near_critical,false,0.00012193556227657609,1.2813585616666678e-5,8.732738487699681e-5,7.282065462802578e-5,0.23085648522333171,2.866821377663161,309.1967035282454,277.7093853612026,0.7007237232291321,2.189840208788513
-0.5,independent_oracle,130.0,valid,valid,confirmed_first_order,true,2.135940860625851e-6,6.960959717416948e-6,4.5904090033910164e-5,4.5904090033910164e-5,0.8111095544855913,2.8892068805819915,249.89183357678766,240.17813325908202,1.2996029654736143,2.490007626141605
-0.5,independent_oracle,147.0947265625,valid,valid,confirmed_first_order,true,1.1824523085124383e-6,0.0002673737336191806,3.3047036658171093e-6,3.3047036658171093e-6,2.1986682105252124,2.255298013612438,202.24685005483818,202.24662187673192,2.213480979129374,2.246598895403262
-0.5,independent_oracle,147.2197265625,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.5,independent_oracle,160.0,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0,independent_oracle,5.0,valid,valid,ambiguous_near_critical,false,0.008608936360531061,0.0025487245225591184,3.5929731334302445e-5,3.342229464833097e-5,0.0026950855939448528,2.5043623878317436,378.5232465597817,346.48627634452345,0.23198822007193123,1.8897680883068642
0.0,independent_oracle,20.0,valid,valid,ambiguous_near_critical,false,0.0007284788353558724,0.000518807012525907,6.314251100772339e-5,6.314251100772339e-5,0.009243947212651498,2.499498097328875,377.366265786824,346.2045166180525,0.26029839506472396,1.8932911320670054
0.0,independent_oracle,60.0,valid,valid,ambiguous_near_critical,false,9.19660144518275e-5,2.1980949917899117e-5,6.205622524825544e-5,6.205622524825544e-5,0.118162071584553,2.4844072160218977,365.70126441980636,342.24893071032926,0.4621890045023064,1.940751415884113
0.0,independent_oracle,100.0,valid,valid,confirmed_first_order,true,1.5185602819656197e-6,1.671142161796535e-5,2.014193409710845e-5,2.014193409710845e-5,0.46475646339808857,2.5299638240126923,336.3251499147179,326.0727166696207,0.8637263794321326,2.1039562058071914
0.0,independent_oracle,120.0,valid,valid,confirmed_first_order,true,1.1383521041352651e-6,1.762456041465299e-5,2.12575405974725e-5,2.12575405974725e-5,0.9620060004618767,2.503497445578181,309.9887412401598,307.1170340092759,1.2943478906054533,2.202364374659384
0.0,independent_oracle,130.9619140625,valid,valid,ambiguous_near_critical,false,5.413031658463296e-7,0.00011673051734684137,7.012919604251296e-5,7.012919604251296e-5,1.8685647413308122,2.0138631598819225,291.26312165894984,291.26122982442433,1.9064743609363524,1.9915169026766524
0.0,independent_oracle,131.0869140625,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0,independent_oracle,145.0,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,independent_oracle,5.0,valid,valid,ambiguous_near_critical,false,8.363011193068814e-5,2.33714382825434e-5,5.1647657141906105e-5,5.1647657141906105e-5,0.08273038246404996,2.2070761459117247,384.8461162146268,373.73700472248964,0.40904754319741415,1.7403547445401883
0.5,independent_oracle,20.0,valid,valid,ambiguous_near_critical,false,8.321914276621101e-5,4.9435536884689935e-5,5.74265657101529e-5,5.74265657101529e-5,0.10924499009550086,2.201541262652619,384.146361042735,373.4609288307779,0.4311501540477843,1.7416091537948943
0.5,independent_oracle,60.0,valid,valid,confirmed_first_order,true,2.3616494218003936e-6,3.0343679283950653e-5,4.675065443217647e-5,4.675065443217647e-5,0.3217417369542798,2.1560723336442815,376.3131689514491,369.6065600103371,0.6399002104616294,1.7589694939577043
0.5,independent_oracle,90.0,valid,valid,confirmed_first_order,true,1.0213885843768367e-6,1.8997899582817723e-5,2.1484885185969445e-5,1.7754891583724736e-5,0.718477017176272,2.0589244391631247,361.7905346694157,359.773430959124,0.9833584912582757,1.7750557548624084
0.5,independent_oracle,100.0,valid,valid,confirmed_first_order,true,1.967869138752576e-7,2.0466933209117855e-5,1.9792108185312355e-5,1.921932545587251e-5,1.0005975296385254,1.943034328728866,354.4118137262542,353.80779866007606,1.1944767576369386,1.7441394348172807
0.5,independent_oracle,106.9599609375,valid,valid,confirmed_first_order,true,5.465585104502679e-7,0.00013258511241631687,3.8874595582498434e-5,3.8874595582498434e-5,1.4765475606384193,1.5998616317359835,348.37964662332695,348.37839798927087,1.5082990925978106,1.5805813261150623
0.5,independent_oracle,107.0849609375,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,independent_oracle,120.0,invalid,invalid,confirmed_monotone,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.5,memoized_dense,5.0,invalid,invalid,ambiguous_near_critical,false,Inf,Inf,Inf,37.890514945360664,0.0,2.423797341701101,372.76017116538594,301.0138105583955,0.10507931379559649,1.8607509433404121
-0.5,memoized_dense,20.0,valid,valid,ambiguous_near_critical,false,0.05698474797657127,0.005482462680067576,9.721018974828493e-5,9.721018974828493e-5,0.005669726796827739,2.798396052869554,370.3246401985948,300.69666731378055,0.14965303087171597,1.8660820336559658
