muB_MeV,xi,mode,alpha_T,T_MeV_candidate,T_MeV_legacy,delta_T_MeV,tau_u_ubar_ratio_candidate,tau_u_ubar_ratio_legacy,n_u_over_n_ubar_candidate,n_u_over_n_ubar_legacy,phase_kind_candidate,phase_kind_legacy,phase_structure_candidate,phase_structure_legacy,max_transport_relative_diff,eta_over_s_relative_diff,sigma_over_T_relative_diff,zeta_over_s_relative_diff
900.0,-0.003,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,7.406220440709079,7.406248422155773,153.6835712180076,153.68357116519783,first_order,first_order,first_order_possible,first_order_possible,4.63882420442093e-06,8.080469766669173e-07,8.502121982444222e-07,8.100246923109969e-07
900.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,125.73725802686799,125.73725803129287,-4.4248764652365935e-09,16.411827880930414,16.411827879012765,118.74253456811839,118.74253454410892,first_order,first_order,first_order_possible,first_order_possible,1.5135485435965914e-10,1.217998616891179e-10,7.408498146156292e-11,1.5135485435965914e-10
900.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,10.202756482309347,10.20275673320449,47.37855454293143,47.378554535601374,first_order,first_order,no_transition,no_transition,2.3158262152507317e-07,8.091765509429408e-08,6.21190171388174e-08,9.588811185446432e-08
900.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,11.636876816709353,11.636878183604438,51.56728610177032,51.5672860930345,first_order,first_order,no_transition,no_transition,2.309904832637921e-07,9.802194964425692e-08,1.0869008425922512e-07,9.064959891344806e-08
900.0,0.5,mode_a_fixed_muB_phase_scaled,1.2,150.8847096322416,150.88470963755142,-5.309829020916368e-09,10.077168130369005,10.077102990512241,56.49308551273457,56.493085502616125,first_order,first_order,no_transition,no_transition,7.819169254653384e-06,1.177883722025959e-06,1.3115909283097824e-06,1.1717620455342919e-06
