reference_mode,muB_MeV,xi,alpha_T,T_MeV,species,channel,density,rate,contribution,species_total,contribution_share
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,ud_to_ud,0.9908227294808208,0.07272939256947493,0.07206193525916928,0.191802442835817,0.37570916299983903
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,uu_to_uu,0.9908227294808208,0.06534441483535813,0.06474473146349659,0.191802442835817,0.3375594726857474
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,us_to_us,0.2141516760563225,0.14119666234479322,0.030237501894696105,0.191802442835817,0.15764920116569853
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,udbar_to_udbar,0.008344294932599918,1.3332363145057589,0.011124917023088593,0.191802442835817,0.0580019569021419
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,uubar_to_uubar,0.008344294932599918,0.83191132236347,0.006941713431569999,0.191802442835817,0.03619199697843322
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,uubar_to_ddbar,0.008344294932599918,0.7094639476437716,0.005919976423186257,0.191802442835817,0.03086496884846123
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,usbar_to_usbar,0.0017638838264249779,0.36027672811843087,0.0006354862937654092,0.191802442835817,0.003313233577058171
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,u,uubar_to_ssbar,0.008344294932599918,0.016320258085883308,0.00013618104684475892,0.191802442835817,0.0007100068426205081
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,dubar_to_dubar,0.9908227294808208,1.3332363145057597,1.321000844181547,3.1478286789634238,0.41965461875661897
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,uubar_to_uubar,0.9908227294808208,0.83191132236347,0.8242766471101723,3.1478286789634238,0.26185562531363865
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,uubar_to_ddbar,0.9908227294808208,0.7094639476437716,0.70295300507264,3.1478286789634238,0.22331361607141897
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,subar_to_subar,0.2141516760563225,1.297872781343464,0.27794163143258377,3.1478286789634238,0.0882963019207607
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,uubar_to_ssbar,0.9908227294808208,0.016320258085883308,0.016170482662486337,3.1478286789634238,0.005137027555073695
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,ubardbar_to_ubardbar,0.008344294932599918,0.3229563371520884,0.0026948429275492018,3.1478286789634238,0.0008560958052001135
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,ubarubar_to_ubarubar,0.008344294932599918,0.26652547910338614,0.00222396720469115,3.1478286789634238,0.0007065083368588852
candidate_runtime,900.0,-0.5,1.0,125.73725802686799,ubar,ubarsbar_to_ubarsbar,0.0017638838264249779,0.3215962203720518,0.0005672583717536652,3.1478286789634238,0.00018020624042997877
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,ud_to_ud,1.3930785958244716,0.06568660795150733,0.09150660756955839,0.29643142255128135,0.30869402029647564
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,uu_to_uu,1.3930785958244716,0.0621014583007751,0.08651221232829574,0.29643142255128135,0.2918456200888403
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,us_to_us,0.6249977880984992,0.09894127171993414,0.06183807597661142,0.29643142255128135,0.2086083703420939
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,udbar_to_udbar,0.029403146830115984,0.7686095221543358,0.02259953863492922,0.29643142255128135,0.07623867416086631
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,uubar_to_uubar,0.029403146830115984,0.6692200708193368,0.019677176003961575,0.29643142255128135,0.06638019625114983
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,uubar_to_ddbar,0.029403146830115984,0.29372837675103164,0.00863653858978221,0.29643142255128135,0.0291350306774179
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,usbar_to_usbar,0.011588773082526038,0.3998117674033419,0.00463332784816101,0.29643142255128135,0.015630353247586173
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,u,uubar_to_ssbar,0.029403146830115984,0.03496039406669766,0.001027945599981827,0.29643142255128135,0.003467734935570121
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,dubar_to_dubar,1.3930785958244716,0.7686095221543358,1.0707334738600802,3.0244176179952675,0.3540296378017448
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,uubar_to_uubar,1.3930785958244716,0.6692200708193368,0.9322761565545551,3.0244176179952675,0.3082498101477512
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,subar_to_subar,0.6249977880984992,0.8787676176806343,0.549227817302984,3.0244176179952675,0.18159787657467724
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,uubar_to_ddbar,1.3930785958244716,0.29372837675103164,0.4091867146381285,3.0244176179952675,0.13529438269485997
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,uubar_to_ssbar,1.3930785958244716,0.03496039406669766,0.048702576675905364,3.0244176179952675,0.016103125569076608
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,ubardbar_to_ubardbar,0.029403146830115984,0.20793726044064215,0.006114009800188269,3.0244176179952675,0.002021549459244631
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,ubarubar_to_ubarubar,0.029403146830115984,0.19024078495290087,0.005593677733046663,3.0244176179952675,0.0018495057361669607
candidate_runtime,900.0,-0.5,1.2,150.8847096322416,ubar,ubarsbar_to_ubarsbar,0.011588773082526038,0.22290465194059098,0.0025831914303789563,3.0244176179952675,0.0008541120164784724
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,ud_to_ud,0.5460923957751375,0.11576143886613845,0.06321644148878666,0.1363433393830824,0.46365625027833673
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,uu_to_uu,0.5460923957751375,0.09121490671053793,0.04981176693596332,0.1363433393830824,0.36534066982185126
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,us_to_us,0.09205976608837092,0.1842498852867335,0.016962001341305863,0.1363433393830824,0.12440652706655446
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,uubar_to_uubar,0.0035533557129569754,0.6245803076711712,0.002219356004463782,0.1363433393830824,0.016277700212608708
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,uubar_to_ddbar,0.0035533557129569754,0.578092819873973,0.0020541694241185894,0.1363433393830824,0.01506615162437097
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,udbar_to_udbar,0.0035533557129569754,0.5134495276077395,0.0018244688122400216,0.1363433393830824,0.01338142970896313
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,usbar_to_usbar,0.0007782099192741356,0.29032661902490114,0.00022593505475450106,0.1363433393830824,0.001657103719014053
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,u,uubar_to_ssbar,0.0035533557129569754,0.008217674730174426,2.9200321449687467e-05,0.1363433393830824,0.00021416756830081474
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,uubar_to_uubar,0.5460923957751375,0.6245803076711712,0.34107855657012237,1.0097888270935205,0.33777216326689835
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,uubar_to_ddbar,0.5460923957751375,0.578092819873973,0.3156920929853829,1.0097888270935205,0.31263179440600547
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,dubar_to_dubar,0.5460923957751375,0.5134495276077395,0.28039088264092304,1.0097888270935205,0.2776727916944509
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,subar_to_subar,0.09205976608837092,0.6987567349300764,0.06432738157033664,1.0097888270935205,0.06370379612486941
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,uubar_to_ssbar,0.5460923957751375,0.008217674730174426,0.004487609681101758,1.0097888270935205,0.004444107085259068
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,ubardbar_to_ubardbar,0.0035533557129569754,0.5645984270304825,0.002006219046215287,1.0097888270935205,0.0019867708895034975
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,ubarubar_to_ubarubar,0.0035533557129569754,0.42719215224809354,0.0015179656747211492,1.0097888270935205,0.001503250614378767
candidate_runtime,900.0,-0.003,1.0,125.73725802686799,ubar,ubarsbar_to_ubarsbar,0.0007782099192741356,0.37023291220187643,0.0002881189247172504,1.0097888270935205,0.000285325918634438
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,ud_to_ud,0.9205310783329619,0.09936558659396029,0.09146911057652557,0.2799254997118796,0.3267623373743102
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,uu_to_uu,0.9205310783329619,0.0886323297863212,0.08158881411336495,0.2799254997118796,0.2914661729543836
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,us_to_us,0.3231549228745117,0.1506787007978773,0.04869256393516966,0.2799254997118796,0.1739482969050255
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,udbar_to_udbar,0.017851066982975467,1.4138673969087903,0.025239041607263975,0.2799254997118796,0.09016342431554789
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,uubar_to_uubar,0.017851066982975467,0.9260089389403227,0.01653024759585774,0.2799254997118796,0.05905231075008142
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,uubar_to_ddbar,0.017851066982975467,0.7489422579395321,0.013369418412859477,0.2799254997118796,0.047760630691452866
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,usbar_to_usbar,0.005870650780011521,0.45543845672790173,0.0026737201312369,0.2799254997118796,0.009551541870922421
candidate_runtime,900.0,0.0,1.2,150.8847096322416,u,uubar_to_ssbar,0.017851066982975467,0.020311578010832377,0.00036258333960130035,0.2799254997118796,0.0012952851382760716
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,dubar_to_dubar,0.9205310783329619,1.4138673969087903,1.3015088794962666,3.2574585580029516,0.3995473330884621
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,uubar_to_uubar,0.9205310783329619,0.9260089389403227,0.852420007108697,3.2574585580029516,0.26168253315593665
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,uubar_to_ddbar,0.9205310783329619,0.7489422579395321,0.6894246243102007,3.2574585580029516,0.21164494099745843
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,subar_to_subar,0.3231549228745117,1.1803033277288075,0.3814208308407323,3.2574585580029516,0.11709153748208229
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,uubar_to_ssbar,0.9205310783329619,0.020311578010832377,0.018697438808955604,3.2574585580029516,0.005739885397166322
candidate_runtime,900.0,0.0,1.2,150.8847096322416,ubar,ubardbar_to_ubardbar,0.017851066982975467,0.3720528157122663,0.006641539734484293,3.2574585580029516,0.0020388715976653953
