path_family,path_profile,path_segment,path_point_index,path_order_key,path_label,freezeout_profile,sigma_target,sqrt_s_NN_GeV,T_MeV,muB_MeV,muq_MeV,xi,equilibrium_converged,equilibrium_iterations,equilibrium_residual_norm,Phi,Phibar,m_u,m_d,m_s,M_pi,Gamma_pi,converged_pi,residual_pi,root_sign_flipped_pi,threshold_pi,gap_pi,M_K,Gamma_K,converged_K,residual_K,root_sign_flipped_K,threshold_K,gap_K,M_eta,Gamma_eta,converged_eta,residual_eta,root_sign_flipped_eta,thr_uu_eta,thr_ss_eta,thr_min_eta,gap_uu_eta,gap_ss_eta,gap_min_eta,M_eta_prime,Gamma_eta_prime,converged_eta_prime,residual_eta_prime,root_sign_flipped_eta_prime,thr_uu_eta_prime,thr_ss_eta_prime,thr_min_eta_prime,gap_uu_eta_prime,gap_ss_eta_prime,gap_min_eta_prime,M_sigma_pi,Gamma_sigma_pi,converged_sigma_pi,residual_sigma_pi,root_sign_flipped_sigma_pi,threshold_sigma_pi,gap_sigma_pi,M_sigma_K,Gamma_sigma_K,converged_sigma_K,residual_sigma_K,root_sign_flipped_sigma_K,threshold_sigma_K,gap_sigma_K,M_sigma,Gamma_sigma,converged_sigma,residual_sigma,root_sign_flipped_sigma,thr_uu_sigma,thr_ss_sigma,thr_min_sigma,gap_uu_sigma,gap_ss_sigma,gap_min_sigma,M_sigma_prime,Gamma_sigma_prime,converged_sigma_prime,residual_sigma_prime,root_sign_flipped_sigma_prime,thr_uu_sigma_prime,thr_ss_sigma_prime,thr_min_sigma_prime,gap_uu_sigma_prime,gap_ss_sigma_prime,gap_min_sigma_prime,message
isentropic,default,fixed_sigma,0,100.000000,sigma=45.000000,,45.000000,NaN,100.000000,313.887999,104.629333,0.000000,true,44,0.000000,0.001846,0.010616,1.862832,1.862832,2.784450,0.683977,0.000000,true,0.000000,false,3.725665,-3.041687,2.522047,0.000000,true,0.000000,false,4.647283,-2.125236,2.608643,0.000000,true,0.000000,false,3.725665,5.568901,3.725665,-1.117022,-2.960258,-1.117022,4.853147,1.360517,true,0.000000,false,3.725665,5.568901,3.725665,1.127483,-0.715753,1.127483,4.459509,1.276473,true,0.000000,false,3.725665,0.733845,5.322527,1.218999,true,0.000000,false,4.647283,0.675244,3.692625,0.000000,true,0.000000,false,3.725665,5.568901,3.725665,-0.033040,-1.876276,-0.033040,6.072085,0.973283,true,0.000000,false,3.725665,5.568901,3.725665,2.346420,0.503184,2.346420,
isentropic,default,fixed_sigma,1,110.000000,sigma=45.000000,,45.000000,NaN,110.000000,309.288528,103.096176,0.000000,true,22,0.000000,0.003959,0.017191,1.862240,1.862240,2.784123,0.683981,0.000000,true,0.000000,false,3.724479,-3.040498,2.522033,0.000000,true,0.000000,false,4.646363,-2.124329,2.608538,0.000000,true,0.000000,false,3.724479,5.568246,3.724479,-1.115942,-2.959708,-1.115942,4.852329,1.359987,true,0.000000,false,3.724479,5.568246,3.724479,1.127849,-0.715918,1.127849,4.458525,1.276483,true,0.000000,false,3.724479,0.734046,5.321631,1.218739,true,0.000000,false,4.646363,0.675269,3.691469,0.000000,true,0.000000,false,3.724479,5.568246,3.724479,-0.033011,-1.876777,-0.033011,6.071414,0.973054,true,0.000000,false,3.724479,5.568246,3.724479,2.346935,0.503168,2.346935,
isentropic,default,fixed_sigma,2,120.000000,sigma=45.000000,,45.000000,NaN,120.000000,300.110743,100.036914,0.000000,true,8,0.000000,0.007931,0.026273,1.860826,1.860826,2.783313,0.683984,0.000000,true,0.000000,false,3.721652,-3.037668,2.521984,0.000000,true,0.000000,false,4.644139,-2.122154,2.608245,0.000000,true,0.000000,false,3.721652,5.566625,3.721652,-1.113407,-2.958380,-1.113407,4.850340,1.358747,true,0.000000,false,3.721652,5.566625,3.721652,1.128688,-0.716285,1.128688,4.456136,1.276552,true,0.000000,false,3.721652,0.734484,5.319460,1.218169,true,0.000000,false,4.644139,0.675322,3.688714,0.000000,true,0.000000,false,3.721652,5.566625,3.721652,-0.032938,-1.877911,-0.032938,6.069765,0.972541,true,0.000000,false,3.721652,5.566625,3.721652,2.348113,0.503140,2.348113,
isentropic,default,fixed_sigma,3,130.000000,sigma=45.000000,,45.000000,NaN,130.000000,285.758742,95.252914,0.000000,true,8,0.000000,0.015128,0.038518,1.857718,1.857718,2.781467,0.683972,0.000000,true,0.000000,false,3.715437,-3.031465,2.521838,0.000000,true,0.000000,false,4.639186,-2.117348,2.607515,0.000000,true,0.000000,false,3.715437,5.562935,3.715437,-1.107922,-2.955420,-1.107922,4.845893,1.356037,true,0.000000,false,3.715437,5.562935,3.715437,1.130456,-0.717042,1.130456,4.450793,1.276747,true,0.000000,false,3.715437,0.735356,5.314607,1.217000,true,0.000000,false,4.639186,0.675421,3.682665,0.000000,true,0.000000,false,3.715437,5.562935,3.715437,-0.032772,-1.880270,-0.032772,6.066033,0.971483,true,0.000000,false,3.715437,5.562935,3.715437,2.350596,0.503099,2.350596,
isentropic,default,fixed_sigma,4,140.000000,sigma=45.000000,,45.000000,NaN,140.000000,266.579183,88.859728,0.000000,true,86,0.000000,0.028009,0.055282,1.851165,1.851165,2.777457,0.683917,0.000000,true,0.000000,false,3.702331,-3.018413,2.521453,0.000000,true,0.000000,false,4.628623,-2.107170,2.605806,0.000000,true,0.000000,false,3.702331,5.554915,3.702331,-1.096525,-2.949109,-1.096525,4.836368,1.350296,true,0.000000,false,3.702331,5.554915,3.702331,1.134037,-0.718547,1.134037,4.439353,1.277158,true,0.000000,false,3.702331,0.737022,5.304220,1.214655,true,0.000000,false,4.628623,0.675597,3.669917,0.000000,true,0.000000,false,3.702331,5.554915,3.702331,-0.032414,-1.884998,-0.032414,6.057963,0.969383,true,0.000000,false,3.702331,5.554915,3.702331,2.355632,0.503048,2.355632,
isentropic,default,fixed_sigma,5,150.000000,sigma=45.000000,,45.000000,NaN,150.000000,244.471331,81.490444,0.000000,true,47,0.000000,0.051815,0.080330,1.837106,1.837106,2.768655,0.683754,0.000000,true,0.000000,false,3.674213,-2.990459,2.520496,0.000000,true,0.000000,false,4.605762,-2.085266,2.601823,0.000000,true,0.000000,false,3.674213,5.537311,3.674213,-1.072389,-2.935487,-1.072389,4.815702,1.337848,true,0.000000,false,3.674213,5.537311,3.674213,1.141489,-0.721609,1.141489,4.414524,1.277941,true,0.000000,false,3.674213,0.740311,5.281668,1.209787,true,0.000000,false,4.605762,0.675907,3.642585,0.000000,true,0.000000,false,3.674213,5.537311,3.674213,-0.031627,-1.894725,-0.031627,6.040308,0.965112,true,0.000000,false,3.674213,5.537311,3.674213,2.366095,0.502997,2.366095,
isentropic,default,fixed_sigma,6,160.000000,sigma=45.000000,,45.000000,NaN,160.000000,224.689231,74.896410,0.000000,true,25,0.000000,0.103319,0.128271,1.801875,1.801875,2.746340,0.683320,0.000000,true,0.000000,false,3.603749,-2.920430,2.517945,0.000000,true,0.000000,false,4.548215,-2.030270,2.591140,0.000000,true,0.000000,false,3.603749,5.492681,3.603749,-1.012609,-2.901540,-1.012609,4.763769,1.306323,true,0.000000,false,3.603749,5.492681,3.603749,1.160020,-0.728912,1.160020,4.351919,1.279692,true,0.000000,false,3.603749,0.748170,5.224779,1.197837,true,0.000000,false,4.548215,0.676564,3.574148,0.000000,true,0.000000,false,3.603749,5.492681,3.603749,-0.029601,-1.918532,-0.029601,5.995648,0.954911,true,0.000000,false,3.603749,5.492681,3.603749,2.391899,0.502968,2.391899,
isentropic,default,fixed_sigma,7,170.000000,sigma=45.000000,,45.000000,NaN,170.000000,234.763847,78.254616,0.000000,true,37,0.000000,0.288795,0.300828,1.639393,1.639393,2.645735,0.682524,0.000000,true,0.000000,false,3.278785,-2.596262,2.508397,0.000000,true,0.000000,false,4.285128,-1.776731,2.536704,0.000000,true,0.000000,false,3.278785,5.291470,3.278785,-0.742081,-2.754766,-0.742081,4.531381,1.160093,true,0.000000,false,3.278785,5.291470,3.278785,1.252596,-0.760089,1.252596,4.066091,1.290617,true,0.000000,false,3.278785,0.787306,4.964759,1.144068,true,0.000000,false,4.285128,0.679631,3.259265,0.000000,true,0.000000,false,3.278785,5.291470,3.278785,-0.019520,-2.032205,-0.019520,5.794577,0.910979,true,0.000000,false,3.278785,5.291470,3.278785,2.515792,0.503107,2.515792,
isentropic,default,fixed_sigma,8,180.000000,sigma=45.000000,,45.000000,NaN,180.000000,255.943420,85.314473,0.000000,true,6,0.000000,0.462236,0.468272,1.338467,1.338467,2.472186,0.688224,0.000000,true,0.000000,false,2.676934,-1.988710,2.502554,0.000000,true,0.000000,false,3.810653,-1.308099,2.399117,0.000000,true,0.000000,false,2.676934,4.944372,2.676934,-0.277817,-2.545255,-0.277817,4.138812,0.879436,true,0.000000,false,2.676934,4.944372,2.676934,1.461879,-0.805559,1.461879,3.556523,1.327412,true,0.000000,false,2.676934,0.879589,4.497362,1.049518,true,0.000000,false,3.810653,0.686709,2.679838,0.000232,true,0.000000,false,2.676934,4.944372,2.676934,0.002904,-2.264534,0.002904,5.448927,0.842057,true,0.000000,false,2.676934,4.944372,2.676934,2.771993,0.504555,2.771993,
isentropic,default,fixed_sigma,9,190.000000,sigma=45.000000,,45.000000,NaN,190.000000,258.868641,86.289547,0.000000,true,24,0.000000,0.554697,0.558631,0.954911,0.954911,2.281057,0.718290,0.000000,true,0.000000,false,1.909821,-1.191531,2.521145,0.000000,true,0.000000,false,3.235967,-0.714822,2.163467,0.638011,true,0.000000,false,1.909821,4.562113,1.909821,0.253646,-2.398646,0.253646,3.733906,0.503335,true,0.000000,false,1.909821,4.562113,1.909821,1.824085,-0.828207,1.824085,2.972642,1.418611,true,0.000000,false,1.909821,1.062821,3.938715,0.938592,true,0.000000,false,3.235967,0.702748,1.959419,0.013904,true,0.000000,false,1.909821,4.562113,1.909821,0.049598,-2.602694,0.049598,5.071821,0.778445,true,0.000000,false,1.909821,4.562113,1.909821,3.162000,0.509708,3.162000,
