g_fm,m_fixed_fm,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
0.0,3.1592695934446384,0.0,0.07891275099296403,-0.13874643093049915,0.15961765054413413,-0.7969190859797978
0.01,3.1592695934446384,1.973269804,0.07847403436032797,-0.13822136201738588,0.15894438960443738,-0.7987547971410697
0.02,3.1592695934446384,3.946539608,0.07803614834363526,-0.1376955981117287,0.15827102763189654,-0.8005985778172128
0.03,3.1592695934446384,5.919809411999999,0.07759909294323082,-0.13716913921320453,0.15759756336347228,-0.8024505014783098
0.04,3.1592695934446384,7.893079216,0.07716286815946038,-0.1366419853214871,0.1569239955366666,-0.8043106425675121
0.05,3.1592695934446384,9.866349020000001,0.07672747399266981,-0.1361141364362477,0.15625032288952645,-0.806179076518321
0.06,3.1592695934446384,11.839618823999999,0.07629291044320544,-0.13558559255715427,0.15557654416064656,-0.8080558797722569
0.07,3.1592695934446384,13.812888628000001,0.07585917751141368,-0.13505635368387195,0.15490265808917317,-0.8099411297969223
0.08,3.1592695934446384,15.786158432,0.07542627519764165,-0.13452641981606292,0.15422866341480748,-0.8118349051044724
0.09,3.1592695934446384,17.759428235999998,0.07499420350223668,-0.13399579095338632,0.15355455887780894,-0.8137372852705035
0.1,3.1592695934446384,19.732698040000002,0.0745629624255461,-0.13346446709549825,0.15288034321899835,-0.8156483509533723
0.11,3.1592695934446384,21.705967844,0.0741325519679179,-0.13293244824205191,0.15220601517976173,-0.8175681839139526
0.12,3.1592695934446384,23.679237647999997,0.07370297212970013,-0.13239973439269712,0.151531573502053,-0.8194968670358501
0.13,3.1592695934446384,25.652507452000002,0.07327422291124104,-0.13186632554708094,0.15085701692839804,-0.8214344843460777
0.14,3.1592695934446384,27.625777256000003,0.07284630431288922,-0.13133222170484707,0.15018234420189733,-0.8233811210362137
0.15,3.1592695934446384,29.599047059999997,0.0724192163349936,-0.13079742286563625,0.14950755406622995,-0.825336863484049
