xi,T_MeV,coarse_status,fine_status,result_status,coarse_area_residual,fine_area_residual,position_error_MeV,density_error,maxwell_area_gate,geometry_converged,coarse_reason,fine_reason
-0.5,20.0,valid,valid,confirmed_first_order,3.9784517463739187e-7,4.628709048102499e-6,1.0424460697322502e-5,1.6491138059571142e-6,4.628709048102499e-6,true,ok,ok
0.0,5.0,valid,valid,confirmed_first_order,2.8228957859267023e-6,2.684471584943269e-6,8.008373185930395e-6,7.476151225149774e-6,2.8228957859267023e-6,true,ok,ok
0.0,20.0,valid,valid,confirmed_first_order,3.163654306537238e-6,3.146413703851863e-6,8.265915312222205e-6,8.780385340190211e-6,3.163654306537238e-6,true,ok,ok
0.5,5.0,valid,valid,confirmed_first_order,1.1005906740121227e-7,4.691607971607492e-6,2.6360029892202874e-6,8.221748183934174e-6,4.691607971607492e-6,true,ok,ok
0.5,20.0,valid,valid,confirmed_first_order,3.862669154406325e-6,4.095567159433801e-6,5.2446470135691925e-6,4.589507719698904e-6,4.095567159433801e-6,true,ok,ok
