source,path,sha256,raw_curve_copy_in_repository
base_final_aggregate,external:base/curve_points.csv,9b1316bdce6a68f7e9249a50c181ebb82b8891ad6d479dfe245591406ba6db4a,false
tolerance_revalidation_aggregate,external:tolerance/curve_points.csv,75d682e6ff505a08e6a3534635a2abb8999a144c2c4f5b71ddea400711a9cb95,false
